	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
17.67336	0.271	28.539	7.192	1.955	0.387	1.723	0.412	18.241	0.407	31.611	7.234	2.039	0.499	2.101	0.683	16.427	0.576	28.708	7.438	2.292	0.544	1.65	0.597	16.604	0.622	17.764	0.815	19.951	0.586	24.136
17.84009	0.282	27.807	7.079	1.998	0.461	1.861	0.357	18.461	0.386	31.362	7.122	2.115	0.573	2.113	0.693	17.607	0.621	30.286	7.296	2.308	0.62	1.695	0.641	17.432	0.731	18.082	0.826	20.622	0.597	25.132
18.00665	0.39	28.126	7.245	2.075	0.444	2.036	0.534	19.309	0.56	29.724	7.318	2.222	0.556	2.188	0.803	18.49	0.598	29.448	7.424	2.375	0.63	1.672	0.78	17.48	0.709	18.799	0.935	21.434	0.706	26.193
18.17341	0.556	27.542	7.423	2.015	0.378	1.877	0.564	19.403	0.433	29.558	7.469	2.037	0.684	2.292	0.644	18.995	0.705	28.096	7.677	2.494	0.672	1.715	0.755	18.084	0.783	18.994	0.875	20.668	0.678	26.082
18.34015	0.443	28.609	7.592	2.094	0.396	2.022	0.421	19.776	0.482	30.464	7.507	2.211	0.509	2.113	0.693	19.949	0.717	28.65	7.264	2.629	0.717	1.759	0.737	18.523	0.764	19.91	0.954	22.386	0.501	27.73
18.50681	0.545	27.633	7.376	2.196	0.401	2.027	0.522	20.786	0.519	30.13	7.612	2.218	0.514	2.216	0.73	19.513	0.692	30.434	7.69	2.734	0.723	1.99	0.711	18.923	0.77	20.504	0.96	22.852	0.763	27.01
18.67345	0.352	27.537	7.664	2.293	0.497	2.252	0.554	21.203	0.423	30.483	7.901	2.314	0.514	2.28	0.794	19.738	0.724	29.054	7.305	2.734	0.627	1.99	0.807	20.11	0.77	20.889	0.928	23.494	0.731	26.079
18.84016	0.603	27.486	7.753	2.351	0.461	2.086	0.55	21.605	0.386	30.753	7.411	2.436	0.509	2.498	0.725	20.622	0.717	29.516	7.36	2.79	0.717	1.952	0.833	20.993	0.828	21.354	0.954	23.894	0.854	27.249
19.00684	0.428	28.024	7.809	2.465	0.507	2.263	0.564	21.973	0.498	31.132	7.822	2.551	0.684	2.292	0.74	21.051	0.705	29.285	7.227	2.847	0.672	2.004	0.851	21.425	0.848	21.564	0.939	25.1	0.678	26.403
19.17349	0.548	27.932	7.989	2.488	0.692	2.287	0.525	22.335	0.49	29.658	7.905	2.67	0.709	2.604	0.829	21.575	0.824	29.256	7.181	2.931	0.662	2.186	0.906	21.69	0.838	22.534	1.059	25.139	0.734	25.157
19.34024	0.553	27.95	7.933	2.59	0.472	2.453	0.561	24.149	0.623	31.251	8.235	2.676	0.585	2.675	0.802	22.232	0.927	28.697	7.576	3.228	0.765	2.193	0.912	23.794	0.941	23.322	1.161	26.665	0.932	27.133
19.5069	0.521	29.653	8.03	2.686	0.536	2.581	0.626	23.635	0.623	30.544	8.01	2.644	0.714	2.675	0.834	23.035	0.895	29.436	7.768	3.132	0.733	2.097	0.912	22.991	0.941	23.9	1.033	25.927	0.836	26.266
19.67366	0.556	27.864	7.937	2.786	0.507	2.584	0.628	24.254	0.626	31.421	7.661	2.68	0.684	2.806	0.837	23.171	0.834	28.899	7.291	3.297	0.832	2.325	0.851	23.609	0.88	24.005	1.035	26.289	0.839	26.307
19.84021	0.562	27.882	7.624	2.985	0.608	2.686	0.633	24.913	0.503	30.188	7.927	2.975	0.689	2.941	0.906	22.609	0.744	28.983	7.622	3.338	0.742	2.204	0.825	23.144	0.951	24.184	1.234	25.921	0.973	27.031
20.00694	0.621	27.767	7.68	3.075	0.539	2.648	0.628	25.282	0.69	30.522	7.758	3.033	0.716	2.774	0.901	23.171	0.737	28.418	7.612	3.618	0.864	2.389	0.948	24.83	0.944	25.322	1.132	27.092	0.871	28.363
20.17376	0.618	28.561	7.676	3.2	0.697	2.774	0.754	25.401	0.527	30.544	7.818	3.222	0.617	2.899	0.931	23.485	0.734	28.697	7.383	3.71	0.765	2.322	0.912	24.693	0.876	25.345	1.129	27.757	0.932	27.486
20.34035	0.562	28.975	7.528	3.306	0.608	2.879	0.729	26.584	0.599	31.248	7.831	3.264	0.721	3.005	0.938	23.765	0.744	28.886	7.782	3.691	0.774	2.332	0.954	23.851	0.951	26.24	1.17	28.267	1.037	28.51
20.50704	0.638	27.727	7.833	3.286	0.649	3.179	0.738	26.524	0.642	31.127	7.655	3.567	0.634	3.115	0.949	24.505	0.951	28.378	7.801	3.838	0.852	2.539	1.063	25.525	0.996	26.728	1.277	29.623	1.049	28.129
20.67375	0.635	28.811	7.829	3.701	0.711	3.209	0.736	24.746	0.704	30.603	8.39	3.628	0.793	3.144	1.043	26.298	0.851	30.008	8.022	4.091	0.784	2.536	0.963	26.513	1.057	27.812	1.274	27.138	0.949	28.763
20.84038	0.679	28.528	7.877	3.488	0.56	3.188	0.778	23.976	0.65	32.412	7.797	3.738	0.642	3.125	1.053	26.139	0.864	29.919	7.944	4.109	0.893	2.711	1.072	26.292	1.006	27.722	1.286	26.112	0.896	28.543
21.0071	0.583	28.914	7.523	3.81	0.721	3.478	0.842	23.042	0.618	29.74	7.958	3.674	0.835	3.415	1.118	25.463	0.961	31.528	8.395	4.302	0.765	2.743	1.072	27.225	1.167	27.046	1.383	25.436	0.961	28.285
21.17374	0.741	27.907	7.841	4.0	0.751	3.571	0.84	24.257	0.615	29.441	7.889	3.767	0.832	3.347	0.954	26.453	0.829	29.459	8.229	4.491	0.955	2.932	1.133	26.766	1.164	27.069	1.444	27.648	1.054	29.177
21.34034	0.688	27.88	7.954	4.206	0.76	3.744	0.946	25.418	0.819	30.381	8.196	4.006	0.842	3.457	1.126	26.294	0.875	28.499	8.313	4.445	0.807	2.721	1.081	26.416	1.113	27.752	1.391	28.071	1.291	29.344
21.50713	0.726	29.242	7.692	4.273	0.835	3.621	0.828	25.308	0.698	31.29	8.156	4.168	0.916	3.684	1.037	27.92	0.94	30.085	8.848	4.692	0.874	2.914	1.118	27.395	1.179	26.443	1.43	27.859	1.072	28.776
21.67369	0.84	27.852	8.038	4.454	0.721	3.832	0.778	25.746	0.747	32.316	8.279	3.996	0.899	3.737	1.214	26.944	0.832	27.601	9.811	4.914	0.99	3.0	1.136	25.873	1.103	27.722	1.479	30.039	1.186	30.152
21.84052	0.873	29.3	8.263	4.615	0.85	3.993	0.939	26.454	0.65	32.09	8.376	4.447	0.899	4.058	1.053	25.85	1.09	30.144	9.264	5.01	0.893	3.033	1.136	25.101	1.264	26.306	1.447	29.363	1.186	30.41
22.00715	0.9	29.324	8.558	4.839	0.936	4.247	0.993	26.342	0.739	31.923	8.223	4.576	1.051	3.768	1.174	26.184	1.056	30.427	9.664	5.15	0.987	3.259	1.358	25.244	1.294	26.875	1.505	29.547	1.309	29.272
22.17386	0.888	28.963	8.284	4.858	0.829	4.427	0.854	26.338	0.76	30.884	8.108	4.884	1.041	4.237	1.228	26.666	1.043	29.42	10.32	5.26	0.877	3.212	1.345	25.821	1.377	26.353	1.558	28.154	1.297	29.911
22.34053	0.785	28.267	8.888	5.108	0.921	4.55	0.882	26.9	0.852	30.735	8.486	5.005	0.939	4.262	1.319	27.872	1.1	29.368	10.761	5.733	1.0	3.494	1.274	26.061	1.209	27.494	1.552	31.292	1.098	28.506
22.50717	0.776	28.206	8.231	5.227	0.946	4.733	0.971	27.195	0.747	30.127	8.376	5.058	1.028	4.348	1.214	27.717	1.025	29.661	10.938	5.815	1.054	3.419	1.362	26.582	1.264	28.398	1.543	29.62	1.25	30.603
22.67381	0.785	27.043	8.888	5.463	0.921	5.097	1.043	26.739	0.916	31.186	8.969	5.198	1.132	4.649	1.158	28.678	1.036	29.401	10.986	6.12	1.161	3.591	1.435	26.48	1.274	27.494	1.649	28.715	1.291	29.312
22.8406	0.9	27.937	9.397	5.742	0.871	5.182	1.057	27.697	0.868	30.601	9.094	5.382	1.019	4.284	1.271	28.539	0.992	28.846	11.664	6.441	1.116	3.646	1.261	26.825	1.423	28.584	1.505	30.224	1.309	29.498
23.00718	0.955	28.295	9.448	6.15	0.929	5.365	1.05	26.734	0.763	31.409	9.563	5.564	1.043	4.66	1.263	28.093	1.175	28.624	12.937	6.651	1.074	3.602	1.348	27.41	1.381	28.78	1.754	30.871	1.493	30.758
23.17398	1.049	27.351	9.573	6.147	1.023	5.716	1.08	27.208	0.857	31.013	9.591	5.85	1.041	4.753	1.324	28.18	1.107	30.065	12.963	6.807	1.168	4.05	1.377	28.271	1.41	29.608	1.655	30.765	1.394	30.684
23.34065	0.955	28.811	9.706	6.731	1.057	5.978	1.179	29.055	0.86	32.086	9.209	5.983	1.108	4.95	1.327	28.995	1.078	30.01	13.904	7.102	1.106	4.021	1.477	28.28	1.574	29.522	1.69	30.259	1.493	30.565
23.50724	0.943	27.774	10.043	6.876	1.015	6.221	1.169	28.501	0.913	32.143	10.156	6.354	1.13	5.16	1.413	28.089	1.258	29.198	14.395	7.274	1.158	4.199	1.465	29.563	1.496	28.644	1.582	31.508	1.482	29.527
23.67394	0.993	28.895	10.522	7.384	1.03	6.178	1.087	28.203	0.93	32.171	10.573	6.475	1.113	5.183	1.332	28.24	1.182	29.159	14.561	7.5	1.21	4.126	1.451	27.493	1.581	29.348	1.793	32.246	1.467	30.069
23.84068	1.058	29.121	11.07	7.351	1.159	6.533	1.152	28.3	0.93	32.107	10.669	6.894	1.242	5.57	1.429	27.208	1.085	29.062	15.722	7.822	1.21	4.158	1.484	30.524	1.517	29.671	1.696	32.601	1.403	30.423
24.00731	1.0	29.399	11.434	7.779	1.164	6.992	1.189	28.9	1.032	30.159	10.712	6.999	1.15	5.836	1.467	26.709	1.383	30.533	16.413	8.188	1.216	4.36	1.555	29.028	1.62	29.756	1.863	31.686	1.473	30.056
24.17416	1.081	28.447	11.281	7.758	1.216	7.134	1.37	28.53	0.857	29.659	11.396	7.236	1.234	6.171	1.485	28.309	1.204	30.29	15.799	8.612	1.264	4.598	1.474	29.399	1.571	31.058	1.687	33.117	1.555	30.684
24.34071	1.155	29.895	11.683	8.48	1.32	7.468	1.377	27.462	1.026	30.043	12.056	7.507	1.145	6.086	1.494	28.143	1.182	29.256	17.206	8.919	1.371	4.642	1.742	28.525	1.678	30.638	1.793	30.956	1.757	31.552
24.50753	1.181	28.618	12.253	8.762	1.251	8.041	1.211	29.99	1.021	32.57	12.593	7.788	1.269	6.272	1.682	28.286	1.272	30.268	17.353	9.262	1.364	5.085	1.574	29.312	1.574	29.941	1.754	31.645	1.558	30.597
24.67415	1.155	29.508	13.198	9.061	1.224	8.146	1.281	28.655	1.026	29.752	13.056	8.152	1.371	6.57	1.494	30.046	1.311	28.095	18.27	9.661	1.468	5.223	1.58	29.105	1.613	31.09	1.954	33.375	1.499	29.875
24.84077	1.267	29.654	13.838	9.212	1.268	8.295	1.39	30.252	1.04	31.673	12.922	8.271	1.449	6.655	1.604	27.381	1.232	30.466	19.888	10.013	1.42	5.373	1.693	29.38	1.599	30.594	1.711	31.62	1.708	31.893
25.00753	1.287	28.131	14.494	9.613	1.387	8.698	1.38	30.632	1.029	31.246	13.61	8.608	1.438	6.735	1.754	27.83	1.314	29.072	19.567	10.279	1.471	5.614	1.68	30.147	1.714	30.552	1.892	32.03	1.502	30.982
25.17413	1.258	28.011	14.919	10.296	1.455	9.09	1.382	29.932	1.032	30.32	14.874	9.161	1.473	7.256	1.79	27.903	1.286	30.049	19.736	10.705	1.378	5.328	1.587	29.899	1.62	32.014	1.992	31.266	1.602	31.475
25.34072	1.112	29.189	15.077	10.125	1.37	9.596	1.427	30.595	1.078	31.047	14.71	9.12	1.454	7.277	1.513	28.4	1.4	30.163	21.777	11.188	1.427	6.221	1.765	31.499	1.703	30.292	1.878	32.221	1.714	31.235
25.50751	1.389	29.054	15.176	10.736	1.386	9.881	1.54	29.394	1.16	30.524	15.652	9.957	1.405	7.982	1.691	29.07	1.422	28.896	21.631	11.161	1.512	5.956	1.784	30.461	1.756	31.066	2.09	33.61	1.635	31.23
25.67418	1.295	28.87	16.832	11.291	1.388	9.983	1.413	29.144	1.195	31.537	16.046	10.059	1.505	7.89	1.791	27.85	1.457	30.233	22.318	11.523	1.451	6.09	1.82	30.568	1.921	31.367	2.029	32.812	1.735	32.955
25.84087	1.264	28.676	16.544	11.499	1.46	10.454	1.42	31.179	1.134	30.92	15.596	10.785	1.446	8.071	1.698	27.824	1.325	30.456	23.141	11.782	1.61	6.498	1.69	30.758	1.724	30.357	1.902	32.352	1.705	30.462
26.00747	1.318	28.743	16.813	12.149	1.51	10.875	1.535	30.506	1.186	30.828	16.739	10.885	1.497	8.329	1.686	27.726	1.317	31.011	22.068	12.409	1.634	6.853	1.907	32.478	1.814	31.012	1.923	31.778	1.823	32.698
26.17427	1.38	28.12	18.003	12.176	1.475	11.161	1.532	30.334	1.151	31.303	18.478	11.527	1.559	8.616	1.78	28.331	1.411	29.029	22.997	12.274	1.405	7.042	1.871	30.431	1.907	30.808	2.211	32.899	1.917	31.491
26.34094	1.435	28.156	18.275	12.871	1.661	11.534	1.621	29.852	1.175	32.597	18.005	11.705	1.551	9.216	1.804	28.304	1.4	30.809	22.617	13.158	1.588	7.158	1.862	29.69	1.832	31.293	2.201	32.771	1.779	32.301
26.50753	1.318	30.198	18.462	13.087	1.478	12.2	1.632	30.7	1.251	32.477	17.644	11.985	1.691	9.623	1.912	28.825	1.447	29.233	24.137	13.509	1.537	7.726	1.939	30.085	1.652	32.273	2.181	33.977	1.92	32.212
26.67427	1.373	29.264	18.992	13.329	1.599	12.476	1.624	33.028	1.243	29.7	19.207	11.904	1.651	9.673	1.807	28.797	1.533	30.399	25.339	13.941	1.689	7.615	1.897	30.475	2.126	31.368	2.204	32.199	1.814	31.891
26.84093	1.454	29.507	19.446	14.197	1.58	12.793	1.799	29.814	1.257	31.139	20.407	12.707	1.696	9.794	2.015	29.038	1.616	29.382	23.96	14.266	1.706	8.253	2.108	31.561	1.95	31.842	2.22	32.736	1.894	31.133
27.00765	1.503	28.165	20.317	14.072	1.567	13.09	1.688	30.314	1.275	31.218	20.467	12.776	1.683	10.222	1.903	28.313	1.598	30.69	25.436	14.652	1.624	8.035	1.929	31.962	1.932	31.594	2.269	32.523	1.879	31.374
27.17439	1.535	27.648	19.089	14.557	1.567	14.059	1.785	30.379	1.372	31.057	20.403	13.681	1.586	10.222	2.0	29.088	1.695	29.624	25.436	15.815	1.818	8.746	1.994	31.703	1.932	32.047	2.366	32.975	1.814	31.826
27.34098	1.541	29.122	20.234	15.215	1.669	13.812	1.694	29.979	1.248	32.305	21.064	13.434	1.85	10.878	2.071	28.913	1.605	30.322	24.549	16.12	1.728	8.723	2.195	32.079	1.939	32.456	2.114	32.123	1.885	30.392
27.50765	1.599	28.876	20.995	15.203	1.599	14.318	1.785	30.67	1.436	33.189	21.405	14.521	1.747	11.611	1.871	28.894	1.63	29.721	25.404	16.429	1.818	9.23	1.994	31.606	2.191	32.855	2.463	32.199	2.073	32.085
27.67436	1.635	28.983	20.167	15.462	1.79	15.286	1.847	29.614	1.274	30.485	22.978	14.782	1.875	11.638	1.935	28.478	1.572	29.829	24.724	16.641	1.856	9.578	2.128	31.461	2.231	31.518	2.206	32.443	2.269	31.938
27.84103	1.537	28.659	21.787	16.013	1.79	15.383	1.847	30.067	1.306	31.976	21.844	15.235	1.875	12.285	2.032	29.385	1.67	29.926	25.534	17.483	1.63	9.773	2.128	30.813	2.328	32.198	2.433	32.605	1.945	32.23
28.00773	1.755	28.857	22.52	16.997	1.743	16.04	1.865	31.272	1.553	33.637	22.807	15.214	1.797	12.519	2.117	28.77	1.792	30.157	23.293	17.83	1.881	10.329	2.152	31.76	2.192	32.729	2.358	32.581	1.967	32.074
28.17441	1.554	28.449	22.559	16.921	1.809	16.875	1.801	31.248	1.389	32.249	23.035	15.754	1.958	12.711	2.115	29.338	1.619	30.847	25.942	17.736	1.936	10.426	2.208	30.956	2.116	32.403	2.514	32.747	2.188	32.34
28.34103	1.793	29.656	21.95	17.691	2.008	16.637	1.871	31.942	1.429	31.677	22.53	16.395	1.802	13.699	2.22	29.048	1.767	29.625	25.517	17.846	1.79	10.989	2.451	32.657	2.394	33.562	2.429	33.057	2.038	31.932
28.50778	1.742	28.721	22.911	18.398	1.798	16.795	1.855	30.13	1.606	31.714	23.391	17.101	2.013	13.275	2.203	29.543	1.648	29.826	25.755	18.739	1.867	11.247	2.268	31.524	2.08	33.301	2.442	33.512	2.117	33.427
28.6745	1.644	29.11	22.392	18.819	1.798	17.41	1.92	31.75	1.477	33.238	23.488	17.685	1.98	14.053	2.3	29.543	1.843	29.437	26.695	19.711	1.932	11.539	2.268	30.908	2.177	33.074	2.54	34.484	2.052	32.909
28.84117	1.648	29.865	22.886	18.891	1.898	18.422	2.084	31.534	1.512	33.151	24.21	17.854	2.016	14.61	2.238	29.52	1.879	31.133	27.223	19.492	2.032	12.161	2.336	32.702	2.343	32.404	2.446	33.717	2.185	32.627
29.00769	1.67	29.835	22.604	19.486	2.019	18.435	2.044	31.244	1.536	31.889	23.342	17.769	2.072	15.564	2.424	30.01	1.738	29.936	26.288	20.407	2.022	12.759	2.229	31.989	2.235	32.987	2.501	33.361	2.207	33.115
29.17449	1.959	28.691	23.549	18.867	1.914	19.273	1.971	32.245	1.562	30.908	24.032	18.252	1.935	15.231	2.223	30.778	1.901	30.674	26.37	19.834	2.086	12.813	2.357	32.603	2.3	32.859	2.465	34.334	2.333	32.884
29.34126	1.839	30.147	22.49	19.695	1.895	18.837	2.082	32.885	1.542	30.353	24.59	18.301	2.11	15.706	2.397	29.608	1.843	31.22	26.728	20.716	2.029	13.16	2.462	31.297	2.242	33.268	2.345	33.22	2.181	32.552
29.5078	1.774	30.925	23.008	19.695	1.895	19.972	2.082	31.005	1.542	34.016	24.461	18.69	2.11	15.965	2.3	29.089	1.875	30.442	26.306	21.008	2.061	12.836	2.43	33.145	2.372	33.592	2.442	32.831	2.052	32.228
29.67453	1.784	30.631	23.161	20.364	1.935	20.511	2.057	31.165	1.55	31.582	23.512	19.782	2.086	16.503	2.341	30.188	1.886	32.321	27.242	21.683	2.169	13.957	2.343	32.236	2.35	33.723	2.452	34.874	2.321	32.291
29.84123	1.797	30.185	24.588	20.393	1.946	20.215	2.003	31.076	1.724	31.688	24.616	19.453	2.292	17.049	2.353	29.577	1.868	30.674	27.345	21.166	2.054	14.307	2.389	32.668	2.398	33.151	2.562	33.392	2.398	32.332
30.00785	1.901	29.296	23.792	21.057	2.114	20.911	2.171	32.071	1.633	33.202	25.738	20.215	2.103	17.452	2.327	30.148	2.07	30.629	26.616	21.735	2.061	14.384	2.558	33.891	2.47	34.181	2.536	34.16	2.242	34.237
30.17457	1.939	29.346	24.021	20.934	2.027	20.595	2.052	34.42	1.642	32.503	25.085	19.962	2.307	17.074	2.498	30.039	1.943	31.424	26.218	21.406	2.13	14.755	2.466	31.729	2.343	33.928	2.51	34.301	2.217	32.53
30.34124	1.982	29.344	24.369	20.826	2.23	21.232	2.255	30.753	1.748	32.696	24.494	20.438	2.413	17.029	2.344	30.879	2.084	31.098	26.051	23.314	2.238	15.585	2.444	31.76	2.451	34.513	2.65	33.522	2.519	33.178
30.50788	2.121	29.663	23.763	22.589	2.146	20.955	2.074	30.715	1.695	33.174	26.38	20.548	2.361	18.181	2.55	29.968	1.929	31.61	27.996	21.857	2.148	15.831	2.517	32.173	2.458	34.434	2.789	32.864	2.301	33.007
30.67474	2.027	31.099	24.613	21.625	2.214	21.351	2.173	31.211	1.73	32.375	23.699	21.949	2.299	18.869	2.715	30.431	1.868	31.588	27.52	23.226	2.313	16.129	2.844	33.869	2.559	32.987	2.63	33.166	2.499	33.115
30.84131	1.972	30.514	24.864	21.647	2.125	21.924	2.344	32.247	1.707	33.54	25.377	21.161	2.307	19.409	2.53	29.909	2.041	31.619	27.645	24.648	2.422	16.668	2.563	32.41	2.635	32.923	2.802	32.939	2.606	32.952
31.00805	2.218	30.732	23.083	22.201	2.243	22.445	2.236	32.367	1.824	32.721	25.278	21.876	2.263	19.25	2.486	30.519	2.026	31.124	28.093	23.638	2.569	17.386	2.452	33.016	2.717	33.948	2.627	32.994	2.496	33.72
31.17463	2.046	29.375	24.29	22.21	2.203	21.873	2.324	31.98	1.783	32.852	24.411	23.536	2.417	19.553	2.638	30.458	2.144	32.227	28.129	23.611	2.234	17.008	2.733	33.955	2.414	33.946	2.715	34.516	2.486	33.429
31.34129	2.146	30.971	25.269	21.117	2.238	22.884	2.262	32.444	1.818	34.675	26.427	22.67	2.484	20.143	2.739	29.787	2.213	32.432	26.844	23.393	2.303	18.084	2.542	33.739	2.612	33.634	2.945	34.624	2.457	33.828
31.50809	2.131	32.319	23.106	22.061	2.252	22.727	2.438	32.237	1.898	35.831	24.655	22.061	2.531	20.407	2.819	30.127	2.069	32.906	28.187	23.439	2.353	18.509	2.949	33.112	2.566	34.014	2.734	34.387	2.408	34.043
31.67475	2.153	31.607	23.795	23.302	2.211	23.482	2.365	32.659	1.727	33.012	24.565	22.621	2.393	20.287	2.712	30.681	2.22	31.805	25.599	24.351	2.439	18.876	2.841	34.279	2.555	35.049	2.789	35.229	2.463	32.716
31.84147	2.218	31.218	24.508	22.525	2.438	22.704	2.43	32.367	1.922	33.077	25.537	23.463	2.393	20.773	2.648	31.491	2.22	30.995	27.478	24.351	2.213	18.811	2.711	32.983	2.555	33.332	2.886	33.966	2.561	33.525
32.0082	2.221	32.33	24.224	22.532	2.149	22.194	2.465	32.119	1.827	33.865	25.157	23.439	2.428	20.878	2.845	30.691	2.224	30.843	26.418	23.939	2.573	19.11	2.747	34.808	2.461	34.737	2.728	34.463	2.499	34.54
32.17472	2.26	30.439	24.726	22.872	2.349	23.927	2.536	32.95	2.19	34.502	25.66	22.904	2.531	20.407	2.819	31.164	2.329	33.424	26.793	24.25	2.483	19.449	2.949	32.885	2.826	33.592	2.961	34.776	2.473	32.941
32.34143	2.325	30.958	24.143	23.617	2.446	22.273	2.471	33.501	1.931	34.146	26.082	24.46	2.629	20.731	2.754	30.937	2.232	31.349	26.306	24.963	2.58	19.935	2.754	34.636	2.728	33.301	2.993	34.582	2.603	34.562
32.50803	2.274	31.193	23.558	23.973	2.36	23.439	2.644	34.225	2.04	33.961	25.143	23.618	2.511	21.053	3.026	32.599	2.279	32.169	26.635	25.293	2.465	19.934	3.06	33.155	2.678	34.448	3.007	35.08	2.875	34.605
32.67481	2.176	31.583	23.72	24.201	2.425	23.017	2.449	31.986	2.137	32.371	24.981	24.397	2.835	21.312	2.831	31.203	2.279	32.169	26.765	24.904	2.497	20.712	2.833	32.668	2.776	33.15	2.812	33.944	2.713	34.183
32.84148	2.371	31.55	24.369	22.643	2.62	23.471	2.644	31.921	2.105	33.377	25.5	23.293	2.64	21.637	2.831	30.781	2.279	32.753	26.635	24.871	2.432	21.167	2.671	33.545	2.841	34.805	2.844	34.69	2.713	33.47
33.00816	2.27	30.567	23.842	23.349	2.357	23.107	2.641	32.819	2.199	32.523	25.589	24.194	2.702	22.343	2.828	31.583	2.437	33.262	28.248	23.953	2.688	20.542	3.154	34.247	2.772	35.086	2.841	34.971	2.483	34.303
33.17496	2.491	30.643	24.832	23.463	2.319	23.902	2.668	32.766	2.225	34.545	26.577	23.918	2.729	22.1	3.016	31.952	2.56	33.402	30.012	25.362	2.551	21.532	2.822	36.593	2.829	34.771	2.802	35.273	2.574	34.086
33.34155	2.443	30.987	24.645	23.275	2.56	23.876	2.715	31.91	2.338	32.684	26.036	23.829	2.711	21.88	2.935	32.781	2.449	32.839	28.731	25.02	2.505	20.955	2.97	35.352	2.589	34.731	2.981	37.309	2.59	34.14
33.5084	2.368	31.54	24.783	23.965	2.552	24.372	2.576	34.052	2.296	33.529	24.972	25.199	2.735	22.732	2.958	30.577	2.47	32.743	28.345	25.251	2.753	21.418	3.219	35.058	2.934	34.015	3.003	33.609	2.71	34.303
33.67501	2.368	31.54	23.745	23.706	2.552	23.95	2.576	33.144	2.232	35.54	25.621	24.713	2.735	21.435	3.152	30.155	2.632	33.456	28.637	25.835	2.753	22.1	3.024	35.35	2.967	36.156	3.003	35.555	2.677	35.406
33.84167	2.521	31.97	23.767	24.931	2.474	24.428	2.694	33.056	2.318	34.642	25.876	24.577	2.821	22.398	3.142	30.71	2.594	33.694	26.625	25.741	2.617	21.897	3.049	34.324	2.864	35.297	2.994	35.829	2.635	34.833
34.00837	2.653	31.876	23.632	24.371	2.611	25.264	2.863	32.766	2.225	34.708	25.669	25.085	2.729	22.522	3.049	32.99	2.462	31.911	27.71	25.07	2.584	22.732	3.017	33.058	2.764	34.285	2.997	36.084	2.703	35.319
34.17492	2.436	31.453	24.369	24.168	2.62	24.185	2.677	33.414	2.397	33.961	25.24	25.11	2.64	22.74	3.026	31.009	2.668	32.656	26.732	25.488	2.595	22.205	3.06	33.447	2.841	34.156	3.169	34.885	2.713	35.254
34.34166	2.443	31.928	25.457	23.795	2.853	25.207	2.91	34.247	2.241	34.989	26.231	25.355	2.646	22.464	3.064	31.483	2.579	32.352	26.199	26.189	2.797	22.351	3.165	33.956	2.848	33.627	2.916	35.621	2.72	33.945
34.50834	2.663	30.999	24.856	23.454	2.555	24.639	2.677	34.16	2.397	34.448	25.402	24.689	2.997	23.162	3.22	31.463	2.636	33.24	27.154	25.585	2.757	22.757	3.222	33.382	3.035	34.903	3.201	34.496	2.778	34.508
34.67505	2.588	31.681	25.934	25.247	2.449	25.167	2.7	34.614	2.388	34.74	25.961	25.604	2.891	23.819	3.211	31.433	2.657	32.624	27.937	25.945	2.778	22.083	3.114	32.799	3.024	34.803	3.094	34.884	2.768	34.151
34.84174	2.866	32.093	24.216	24.306	2.794	25.426	2.948	32.465	2.472	35.701	25.57	24.662	2.879	23.883	2.939	31.718	2.609	32.971	26.765	26.684	2.731	22.698	3.229	33.858	3.041	34.272	3.372	36.557	2.658	34.497
35.0084	2.723	31.146	23.685	24.98	2.48	25.354	3.025	34.443	2.422	34.046	25.959	25.699	3.022	23.519	3.181	31.997	2.764	33.098	28.334	25.858	2.819	23.506	3.349	35.029	3.001	34.15	3.131	35.201	2.837	36.578
35.17505	2.716	31.84	25.197	24.769	2.832	25.532	2.726	33.608	2.611	35.617	25.194	26.267	3.048	24.088	3.337	33.18	2.659	34.116	27.568	25.838	2.714	23.554	3.342	34.747	2.961	33.315	2.994	34.854	2.83	34.475
35.34178	2.875	30.855	25.384	24.306	2.634	25.947	3.081	33.695	2.542	34.014	25.868	27.265	2.818	24.177	3.334	32.357	2.655	33.521	27.623	25.699	2.97	23.156	3.371	33.891	2.957	35.383	3.186	34.973	2.73	34.14
35.50848	2.702	32.642	25.294	25.028	2.755	25.5	3.072	33.273	2.728	33.69	26.621	25.712	2.906	23.373	3.162	31.775	2.838	33.651	30.549	25.377	2.862	24.169	3.36	33.793	2.783	33.432	3.273	37.699	2.72	35.146
35.67519	2.887	32.513	24.621	25.101	2.811	25.961	3.095	33.695	2.621	34.372	25.816	25.589	2.897	24.224	3.412	31.356	2.924	31.575	28.021	25.867	2.948	24.306	3.478	34.345	2.934	35.118	3.101	36.691	2.872	34.465
