	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
13.67249	0.477	12.615	5.435	1.164	20.052	0.794	0.779	0.963	1.031	11.15	5.331	1.243	24.546	0.796	0.892	1.213	1.192	11.695	4.444	1.038	27.661	0.866	0.95	1.046	0.686	0.827	0.628	0.659	1.075	0.566	0.793	0.914	0.919	0.837	0.673	0.626	1.005	0.813	0.849
13.83917	0.448	13.681	6.074	1.199	21.28	0.913	0.786	1.027	1.032	12.139	5.554	1.389	27.154	0.776	1.065	1.19	1.277	12.73	4.637	1.127	27.88	0.873	0.956	1.187	0.686	0.968	0.773	0.636	1.05	0.625	0.771	0.977	0.815	0.927	0.679	0.688	0.817	0.709	0.827
14.00591	0.437	14.234	6.867	1.239	22.085	0.758	0.714	0.899	1.019	12.466	6.18	1.484	28.325	0.787	1.133	1.12	1.264	14.34	5.181	1.195	30.745	0.857	0.857	1.202	0.619	0.816	0.619	0.705	1.231	0.472	0.839	0.961	0.772	0.939	0.691	0.589	0.912	0.721	0.673
14.17262	0.314	14.705	7.355	1.389	23.864	0.852	0.782	0.911	1.062	13.072	6.863	1.468	30.776	0.771	0.95	1.217	1.363	14.397	5.698	1.235	33.114	0.786	0.953	1.106	0.69	0.775	0.548	0.662	0.94	0.569	0.768	0.917	0.756	1.006	0.703	0.713	0.952	0.733	0.713
14.33929	0.345	16.135	8.329	1.455	25.65	0.835	0.708	1.032	1.178	14.786	7.504	1.589	31.443	0.837	1.043	1.197	1.284	14.88	6.366	1.3	35.027	0.795	1.184	1.084	0.667	0.836	0.668	0.726	1.057	0.688	0.833	0.983	0.932	0.933	0.907	0.611	0.934	0.659	0.75
14.50593	0.302	17.378	9.175	1.464	27.2	0.76	0.717	0.902	1.189	14.97	8.572	1.737	34.052	0.846	1.025	1.29	1.296	16.124	6.851	1.448	36.056	0.888	0.888	1.122	0.54	0.819	0.539	0.652	0.985	0.559	0.759	0.964	0.83	0.914	0.778	0.676	0.86	0.752	0.676
14.67261	0.29	17.939	10.327	1.565	28.951	0.919	0.819	0.977	1.039	16.894	9.502	1.673	35.605	0.837	0.96	1.225	1.256	17.71	7.448	1.522	34.666	0.879	0.879	1.084	0.583	0.892	0.696	0.726	1.168	0.715	0.777	0.983	0.849	0.933	0.685	0.749	0.851	0.798	0.75
14.83936	0.31	19.086	11.739	1.609	31.411	0.877	0.89	0.991	1.197	17.176	10.386	1.854	36.599	0.796	0.975	1.241	1.275	18.666	8.554	1.621	36.882	0.894	1.033	1.046	0.881	0.91	0.767	0.825	1.186	0.622	0.765	0.831	0.836	1.17	0.784	0.71	0.949	0.758	0.849
15.00587	0.789	20.075	13.101	1.649	32.669	0.78	0.792	1.06	1.095	18.67	11.61	2.061	35.078	0.837	0.96	1.28	1.34	18.958	9.418	1.633	35.526	1.017	0.935	1.195	0.611	0.836	0.668	0.781	1.14	0.632	0.777	0.872	0.932	0.849	0.769	0.694	0.934	0.826	0.833
15.17273	0.252	20.242	14.394	1.788	34.899	0.886	0.761	1.029	1.192	19.042	12.761	2.033	35.06	0.804	1.014	1.368	1.158	19.998	10.595	1.775	36.069	0.85	0.934	1.066	0.822	0.874	0.725	0.756	1.151	0.611	0.834	0.925	0.875	0.987	0.823	0.667	1.128	0.797	0.834
15.33931	0.12	21.538	15.911	1.862	34.031	0.796	0.837	0.966	0.979	20.322	14.557	2.274	37.776	0.854	1.061	1.3	1.14	21.036	11.643	1.902	36.197	0.897	0.869	1.022	0.69	0.941	0.77	0.745	1.246	0.708	0.796	1.056	1.033	1.062	0.842	0.685	1.008	0.677	0.88
15.50596	0.236	22.632	17.405	2.026	34.164	0.874	0.75	0.906	1.093	21.936	15.911	2.299	36.829	0.904	1.114	1.271	1.31	21.634	13.106	1.929	36.696	0.837	0.977	1.135	0.667	0.971	0.712	0.771	1.053	0.68	0.821	0.941	0.946	1.086	0.727	0.655	1.06	0.869	0.877
15.6727	0.431	23.633	19.742	2.109	35.416	0.791	0.833	1.017	1.232	22.549	17.024	2.466	36.857	0.877	1.058	1.327	1.254	22.162	14.72	2.096	36.334	0.893	1.061	1.135	0.583	0.804	0.712	0.771	1.275	0.653	0.821	0.996	1.058	1.086	0.867	0.655	1.032	0.841	0.822
15.83929	0.835	24.831	20.5	2.267	35.553	0.894	0.852	1.008	1.304	22.109	19.452	2.568	37.411	0.813	1.077	1.261	1.326	23.554	15.452	2.141	35.97	0.912	1.163	1.207	0.905	0.96	0.731	0.678	1.125	0.726	0.784	0.988	0.965	1.077	0.774	0.729	1.023	0.832	0.868
16.006	0.354	25.447	22.632	2.377	35.741	0.841	0.909	1.038	1.213	23.652	20.585	2.761	36.402	0.871	0.966	1.231	1.264	23.749	17.171	2.222	37.267	0.885	1.135	1.202	0.674	0.927	0.758	0.788	1.175	0.639	0.756	0.989	0.994	1.05	0.747	0.672	0.94	0.721	0.7
16.17275	0.407	27.204	23.617	2.586	35.843	0.821	0.725	1.02	1.069	25.033	22.902	2.97	36.45	0.824	1.005	1.414	1.174	25.817	19.985	2.489	36.177	0.84	0.925	1.139	0.754	0.947	0.716	0.746	1.223	0.767	0.658	0.86	0.81	1.173	0.786	0.63	1.035	0.76	0.825
16.33932	0.752	29.67	26.868	2.739	35.636	0.81	0.852	0.925	1.081	26.28	24.707	3.374	37.216	0.813	1.16	1.345	1.382	26.334	21.625	2.642	36.582	0.995	0.885	1.152	0.655	0.793	0.703	0.817	1.125	0.642	0.812	0.988	0.937	1.188	0.718	0.729	0.939	0.693	0.812
16.50609	0.444	29.991	27.392	3.117	33.955	0.902	0.863	0.962	1.048	27.085	26.788	3.697	36.43	0.821	1.144	1.304	1.264	28.357	22.17	2.882	36.018	1.091	1.036	1.283	0.707	0.98	0.828	0.887	1.229	0.604	0.853	0.97	1.005	1.145	0.841	0.77	1.063	0.816	0.853
16.67275	0.391	32.256	24.755	3.518	35.192	0.894	0.935	0.981	1.053	28.838	27.738	4.014	36.298	0.952	1.16	1.317	1.298	30.644	24.85	3.003	37.194	0.967	1.218	1.207	0.655	0.96	0.814	0.761	1.264	0.67	0.812	0.988	1.049	1.077	0.857	0.784	1.023	0.832	0.868
16.83944	0.552	32.535	20.973	3.823	35.306	1.01	0.995	0.958	1.106	30.627	24.479	4.319	36.301	0.957	1.136	1.207	1.268	31.253	26.395	3.252	35.723	0.888	1.193	1.206	0.678	0.847	0.678	0.791	1.234	0.615	0.759	0.825	0.941	1.219	0.833	0.842	1.082	0.752	0.842
17.00607	0.273	32.239	20.081	4.061	34.531	0.844	1.027	1.015	1.044	32.177	20.313	4.669	35.834	0.93	1.113	1.301	1.372	32.054	28.433	3.38	36.342	1.116	1.2	1.168	0.675	0.892	0.741	0.884	1.253	0.712	0.822	1.023	0.89	1.197	0.894	0.85	1.004	0.785	0.85
17.17274	0.18	32.286	20.382	4.669	34.192	0.902	0.944	1.017	1.148	33.316	19.973	5.276	36.662	0.96	1.169	1.327	1.337	33.904	25.654	3.598	35.527	0.893	1.228	1.246	0.722	1.054	0.657	0.771	1.22	0.68	0.933	1.024	1.03	1.197	0.922	0.821	0.976	0.841	0.877
17.33947	0.243	32.763	22.766	5.095	34.921	0.972	0.929	1.086	1.129	33.518	20.967	5.73	36.306	0.946	1.265	1.31	1.624	33.263	21.526	4.08	35.283	0.906	1.045	1.117	0.647	0.869	0.724	0.755	1.368	0.719	0.861	0.843	0.876	1.182	0.851	0.778	1.045	0.909	0.889
17.506	0.845	33.601	22.178	5.638	34.835	0.975	1.018	0.923	1.172	33.653	21.853	6.775	35.247	0.838	1.215	1.375	1.249	34.362	20.607	4.539	36.005	1.023	1.079	1.268	0.691	0.881	0.732	0.874	1.381	0.701	0.896	0.875	0.909	1.272	0.968	0.673	0.995	0.804	0.813
17.67287	0.378	34.031	22.842	6.509	34.328	0.941	1.149	1.194	1.07	34.091	23.378	7.616	36.518	0.971	1.179	1.307	1.315	34.169	19.99	4.966	35.773	1.042	1.153	1.113	0.698	0.921	0.721	0.807	1.281	0.743	0.941	0.979	1.012	1.346	0.793	0.802	1.097	0.85	0.858
17.83943	0.264	32.37	23.581	7.173	34.526	0.902	0.916	1.101	1.093	34.485	23.089	7.947	36.245	0.988	1.169	1.327	1.393	34.21	21.341	5.657	35.833	1.06	1.228	1.246	0.667	1.138	0.796	0.854	1.47	0.736	0.933	1.108	1.058	1.337	0.867	0.821	1.032	0.924	0.905
18.00621	0.46	33.082	23.912	8.484	34.678	1.005	1.132	1.037	1.175	34.945	23.81	9.036	36.316	1.008	1.274	1.266	1.253	34.289	22.23	6.187	34.873	1.081	1.277	1.244	0.751	0.996	0.846	0.793	1.246	0.76	0.983	0.85	0.912	1.191	0.804	0.732	1.053	0.946	0.844
18.17285	0.347	33.622	23.999	9.427	34.192	0.958	1.111	1.073	0.981	33.65	24.425	9.95	36.162	0.96	1.253	1.355	1.31	33.125	22.287	6.436	35.082	0.921	1.228	1.246	0.722	1.026	0.74	0.993	1.442	0.736	0.794	0.941	0.891	1.114	0.811	0.738	0.976	0.869	0.961
18.3395	0.391	32.534	24.421	10.386	34.246	1.116	1.074	1.064	1.053	34.121	24.874	11.271	35.937	1.063	1.41	1.345	1.326	33.953	23.349	7.758	35.108	1.051	1.246	1.235	0.71	1.015	0.814	0.817	1.348	0.67	0.951	1.015	0.965	1.077	0.774	0.895	0.967	0.748	0.868
18.50618	0.419	32.411	24.586	11.422	33.368	0.997	1.096	1.196	0.997	34.58	24.316	12.949	34.197	1.139	1.209	1.368	1.353	34.534	24.574	8.402	34.454	1.156	1.324	1.15	0.683	0.985	0.837	0.867	1.374	0.75	0.89	1.008	1.042	1.098	0.823	0.806	1.044	0.797	0.918
18.67288	0.477	31.996	25.252	13.504	34.116	1.009	1.138	1.153	1.078	34.497	25.542	13.917	34.696	1.095	1.308	1.247	1.323	33.829	24.27	9.026	34.424	1.115	1.451	1.285	0.711	1.009	0.854	0.885	1.538	0.715	1.074	0.91	1.113	1.337	0.977	0.795	1.031	0.896	0.963
18.83952	0.494	34.077	24.64	14.505	32.562	1.048	1.066	0.997	1.01	34.146	24.54	15.197	35.322	1.023	1.321	1.316	1.31	32.868	24.889	10.778	35.022	1.072	1.157	1.216	0.643	0.968	0.727	0.842	1.358	0.645	0.948	0.978	0.929	1.182	0.85	0.724	1.1	0.909	0.864
19.00622	0.379	33.665	24.603	15.518	33.822	0.953	1.196	1.098	0.949	33.394	25.426	16.547	34.039	1.04	1.255	1.448	1.361	32.963	24.967	11.844	34.102	1.062	1.259	1.35	0.779	1.074	0.914	0.918	1.324	0.582	0.883	0.996	1.059	1.256	0.896	0.799	1.034	0.871	0.911
19.17284	0.251	33.333	25.186	17.328	32.9	1.046	1.262	1.191	1.128	33.368	25.646	17.797	34.712	1.049	1.461	1.291	1.26	34.144	25.132	13.036	35.196	1.24	1.325	1.361	0.763	1.085	0.84	1.012	1.391	0.705	0.977	1.033	1.041	1.35	0.738	0.753	1.044	0.937	0.921
19.33958	0.262	32.407	24.96	18.851	32.991	1.098	1.256	1.075	1.086	33.092	25.642	20.13	34.995	1.101	1.398	1.338	1.33	33.516	24.621	14.651	34.527	1.122	1.374	1.32	0.579	1.017	0.804	1.003	1.378	0.75	0.997	0.916	1.035	1.231	0.788	0.801	1.01	0.93	0.941
19.50623	0.379	32.154	24.939	19.8	33.179	1.037	1.336	1.098	1.089	33.59	25.426	21.891	34.374	1.152	1.339	1.42	1.361	32.739	24.715	16.237	34.354	1.174	1.231	1.35	0.667	1.074	0.886	0.946	1.408	0.694	1.023	0.996	0.975	1.284	0.728	0.743	1.146	1.011	0.995
19.67303	0.397	33.218	24.619	22.173	33.11	1.075	1.231	1.135	1.055	34.102	24.992	22.837	34.888	1.078	1.401	1.283	1.355	33.789	24.639	16.751	33.919	1.264	1.516	1.346	0.687	1.154	0.834	1.033	1.515	0.638	1.055	0.976	1.15	1.207	0.959	0.776	1.097	0.961	0.999
19.83958	0.326	32.679	25.563	21.995	32.423	1.132	1.318	1.164	0.926	33.419	25.294	23.386	33.757	1.19	1.488	1.428	1.338	33.147	25.504	20.224	34.128	1.239	1.548	1.384	0.671	1.024	0.811	1.094	1.469	0.757	1.003	0.978	1.097	1.321	0.85	0.808	1.1	0.992	1.115
20.00629	0.391	33.165	25.55	24.076	32.816	1.158	1.346	1.247	1.1	33.648	25.114	24.937	34.404	1.217	1.517	1.291	1.428	33.584	25.328	20.064	33.488	1.268	1.577	1.361	0.763	1.169	0.896	1.04	1.475	0.844	1.033	1.005	1.125	1.35	0.962	0.893	1.156	1.021	1.061
20.17297	0.419	32.438	24.892	25.262	33.117	1.136	1.374	1.168	1.08	33.271	25.959	25.173	33.779	1.166	1.627	1.284	1.325	33.281	25.326	22.492	33.841	1.239	1.351	1.345	0.655	1.153	0.92	0.951	1.457	0.583	1.057	0.953	1.126	1.182	0.962	0.834	1.156	0.937	1.029
20.33965	0.779	31.831	24.771	24.779	33.174	1.404	1.56	1.129	1.048	33.386	25.729	24.69	33.781	1.239	1.562	1.388	1.376	34.156	25.376	23.15	34.401	1.369	1.593	1.367	0.623	1.175	0.995	0.97	1.508	0.799	1.048	0.97	1.088	1.368	0.758	0.853	1.091	0.816	0.937
20.50629	0.364	32.717	24.809	22.561	32.588	1.303	1.458	1.196	1.247	33.077	25.263	22.556	34.503	1.222	1.543	1.451	1.241	32.752	25.521	25.054	33.59	1.351	1.518	1.456	0.655	1.069	0.892	0.951	1.652	0.861	1.057	0.925	1.153	1.21	0.934	0.918	1.156	0.965	1.057
20.67296	0.565	33.57	25.707	20.129	33.065	1.291	1.532	1.267	0.998	33.669	25.215	21.995	33.784	1.294	1.507	1.39	1.159	33.17	25.032	25.063	34.238	1.482	1.706	1.4	0.631	1.125	0.857	1.084	1.681	0.886	1.161	0.997	1.172	1.563	0.98	0.882	1.118	0.899	0.966
20.83975	0.289	32.335	25.045	20.618	31.864	1.273	1.458	1.333	1.031	33.024	26.088	21.617	34.563	1.36	1.655	1.482	1.359	33.716	25.512	26.437	33.845	1.379	1.631	1.378	0.858	1.242	0.865	1.064	1.575	0.781	1.142	0.979	1.181	1.321	1.046	0.863	1.1	0.909	1.086
21.00628	0.09	32.409	25.066	20.862	32.329	1.187	1.399	1.247	1.111	33.545	25.299	21.191	33.354	1.329	1.708	1.478	1.272	33.37	26.145	25.341	33.138	1.404	1.795	1.542	0.715	1.154	0.946	0.977	1.766	0.806	1.083	0.948	1.234	1.486	0.959	0.915	1.097	0.906	1.139
21.17294	0.256	32.294	25.235	22.433	32.253	1.314	1.55	1.206	1.002	33.547	25.911	22.707	34.667	1.455	1.58	1.57	1.413	33.436	25.025	22.336	34.117	1.527	1.75	1.517	0.742	1.13	0.901	1.07	1.629	0.924	1.038	0.99	1.219	1.525	0.944	0.954	1.109	1.002	1.121
21.33978	0.394	33.0	25.514	21.493	33.299	1.46	1.584	1.269	1.031	33.229	25.938	22.378	33.683	1.435	1.669	1.63	1.47	33.302	26.079	21.312	33.466	1.643	1.922	1.491	0.631	1.16	0.934	1.214	1.742	0.733	1.154	0.97	1.253	1.253	1.006	0.876	1.171	0.98	1.099
21.50635	0.165	32.834	25.747	22.856	32.31	1.404	1.588	1.241	1.103	33.999	25.729	22.962	33.781	1.435	1.813	1.527	1.543	33.404	25.794	20.892	33.815	1.648	1.733	1.478	0.763	1.231	1.079	1.194	1.731	0.882	1.16	1.026	1.255	1.451	1.064	0.909	1.091	0.955	1.132
21.67307	0.537	33.149	25.05	22.889	32.225	1.352	1.698	1.189	0.951	33.155	26.113	23.33	33.776	1.521	1.811	1.717	1.474	32.647	25.587	22.819	33.364	1.591	1.897	1.494	0.69	1.191	1.02	1.134	1.69	0.653	1.102	1.001	1.256	1.506	0.981	0.935	1.174	1.15	1.102
21.83974	0.474	31.95	25.116	23.038	31.799	1.394	1.881	1.342	1.053	33.815	25.875	23.561	33.434	1.48	1.688	1.511	1.493	33.119	26.741	22.356	32.939	1.607	1.997	1.597	0.71	1.377	1.064	1.178	1.765	0.809	1.424	1.099	1.271	1.494	1.024	0.895	1.273	1.165	1.118
22.00646	0.418	32.45	25.728	24.317	31.744	1.422	1.714	1.286	0.998	33.648	26.292	23.367	33.879	1.563	1.772	1.595	1.465	32.535	25.963	22.829	33.579	1.663	1.997	1.597	0.71	1.321	0.814	1.15	1.765	0.753	1.118	0.988	1.271	1.494	0.913	0.979	1.134	1.026	1.201
22.17319	0.415	32.317	25.413	24.669	31.799	1.495	1.816	1.388	1.16	33.15	26.592	24.553	33.798	1.581	1.791	1.587	1.432	32.852	26.097	23.487	34.277	1.626	2.016	1.675	0.734	1.288	1.056	1.17	1.871	0.774	1.193	1.033	1.29	1.596	0.876	0.998	0.986	1.101	1.277
22.33977	0.432	31.856	26.002	23.92	31.892	1.34	1.829	1.483	1.008	33.273	26.401	24.639	33.975	1.593	1.943	1.601	1.281	32.729	25.685	22.988	34.957	1.694	2.113	1.718	0.778	1.303	1.013	1.267	1.97	0.788	1.317	1.045	1.246	1.526	0.971	0.844	1.137	0.974	1.122
22.5064	0.305	32.416	25.663	25.03	31.92	1.516	1.839	1.464	1.048	33.414	26.063	24.607	33.67	1.658	1.953	1.527	1.515	32.846	25.905	24.043	33.481	1.62	2.039	1.618	0.679	1.342	0.995	1.194	1.898	0.715	1.327	1.026	1.228	1.451	0.953	0.937	1.146	0.983	1.216
22.67315	0.515	32.748	26.253	25.313	32.087	1.535	1.885	1.539	1.092	32.604	26.569	25.085	33.056	1.649	1.943	1.712	1.42	32.98	26.047	24.744	33.09	1.778	2.141	1.606	0.862	1.359	0.93	1.128	1.887	0.76	1.457	1.101	1.302	1.609	0.832	0.983	1.137	1.057	1.206
22.83985	0.41	32.623	26.206	25.041	33.429	1.719	1.961	1.444	1.094	33.028	27.474	24.867	33.002	1.749	1.991	1.736	1.506	33.399	26.315	24.668	33.932	1.854	2.247	1.607	0.839	1.471	1.286	1.317	1.972	0.897	1.534	1.173	1.46	1.601	0.99	0.975	1.128	1.104	1.423
23.00652	0.432	32.441	27.033	25.369	32.282	1.507	2.052	1.316	1.092	32.855	26.931	24.946	33.892	1.677	2.082	1.712	1.42	32.645	26.967	24.911	34.288	1.862	2.057	1.634	0.751	1.442	1.013	1.295	1.998	0.76	1.401	1.129	1.33	1.609	0.832	0.983	1.137	1.03	1.29
23.17317	0.503	31.742	27.259	24.983	32.059	1.665	2.07	1.446	1.164	33.327	28.076	24.978	34.281	1.779	2.156	1.674	1.52	33.503	27.191	25.304	33.089	1.796	2.103	1.679	0.738	1.515	1.059	1.257	1.958	0.694	1.447	1.175	1.376	1.683	0.934	1.001	1.211	1.132	1.308
23.33998	0.311	32.433	27.21	25.409	32.671	1.592	2.134	1.373	1.169	33.046	27.886	25.516	33.36	1.65	2.025	1.598	1.58	32.769	26.805	25.006	34.061	1.999	2.334	1.656	0.742	1.381	1.068	1.348	2.019	0.729	1.51	1.157	1.385	1.692	1.027	1.038	1.137	1.168	1.372
23.50657	0.41	32.372	27.24	25.069	32.143	1.579	2.016	1.5	1.317	33.112	28.76	25.202	33.422	1.917	2.019	1.68	1.506	32.616	27.852	25.422	35.134	1.938	2.33	1.831	0.755	1.471	1.146	1.485	2.112	0.897	1.534	1.229	1.544	1.936	1.074	1.199	1.128	1.16	1.451
23.67316	0.833	32.54	27.613	25.421	31.966	1.774	2.067	1.471	1.076	33.345	28.401	25.638	32.99	1.915	2.236	1.754	1.516	32.768	28.046	24.851	33.636	2.044	2.267	1.758	0.734	1.483	1.056	1.337	2.066	0.747	1.638	1.2	1.457	1.68	1.043	1.054	1.125	1.184	1.444
23.83983	0.724	32.951	27.285	25.457	31.799	1.811	2.159	1.537	1.248	32.536	29.156	25.257	33.657	1.98	2.189	1.762	1.493	32.758	28.437	25.47	35.136	2.024	2.275	1.736	0.822	1.627	1.231	1.429	2.21	0.893	1.674	1.238	1.438	1.911	1.024	0.979	1.134	1.11	1.535
24.00654	0.506	32.294	27.822	25.214	32.615	1.759	2.245	1.512	1.169	33.408	29.165	25.822	33.833	2.067	2.47	1.737	1.552	33.964	28.502	25.395	35.424	2.25	2.362	1.684	0.714	1.631	1.207	1.515	2.269	0.729	1.677	1.157	1.469	1.831	0.916	1.093	1.109	1.029	1.511
24.17321	0.56	32.278	28.097	25.881	31.327	1.821	2.445	1.658	1.225	33.145	29.66	24.516	33.655	1.907	2.253	1.824	1.525	33.774	28.522	25.505	34.215	2.31	2.422	1.88	0.853	1.604	1.101	1.492	2.158	0.649	1.737	1.136	1.586	1.725	0.923	1.071	1.199	1.174	1.515
24.33996	0.506	32.655	28.573	26.077	32.615	1.842	2.329	1.595	1.224	32.935	30.75	25.377	33.972	2.095	2.442	1.848	1.552	33.603	28.947	25.59	34.951	2.25	2.501	1.851	0.798	1.575	1.29	1.571	2.353	0.813	1.844	1.269	1.608	1.942	0.916	1.038	1.109	1.113	1.594
24.50657	0.923	31.404	28.322	25.854	31.892	1.926	2.412	1.595	1.085	32.212	30.695	25.738	33.917	2.178	2.442	1.737	1.33	34.298	29.03	25.339	34.478	2.333	2.445	1.906	0.742	1.659	1.318	1.599	2.38	0.813	1.844	1.269	1.608	1.859	1.027	1.038	1.276	1.113	1.538
24.67331	0.385	32.257	28.885	25.338	32.752	1.899	2.522	1.569	1.106	32.599	30.114	25.195	34.358	2.289	2.329	1.845	1.462	32.78	30.392	25.683	34.557	2.165	2.582	1.9	0.762	1.624	1.261	1.624	2.428	0.726	1.842	1.214	1.496	1.747	1.055	1.009	1.248	1.14	1.731
24.84004	0.453	31.955	29.661	25.667	32.225	1.963	2.448	1.605	1.118	32.822	29.891	26.163	34.026	2.16	2.45	1.828	1.557	32.98	30.087	25.347	35.225	2.341	2.842	1.967	0.802	1.775	1.382	1.662	2.412	0.708	2.018	1.306	1.672	1.895	1.176	1.157	1.119	1.011	1.741
25.00676	0.453	33.538	29.911	25.973	32.475	2.074	2.643	1.605	1.062	32.711	31.002	25.385	34.359	2.132	2.506	1.939	1.696	33.202	29.865	25.43	35.614	2.48	2.647	1.828	0.802	1.858	1.215	1.717	2.44	0.708	1.935	1.251	1.7	2.006	0.981	1.185	1.258	1.066	1.685
25.17332	0.481	31.177	30.605	26.056	31.947	1.963	2.476	1.661	1.201	32.072	30.974	25.33	34.442	2.326	2.534	1.828	1.696	32.174	30.92	25.513	35.364	2.424	2.814	1.828	0.802	1.802	1.215	1.828	2.523	0.819	1.935	1.584	1.756	2.09	0.898	1.157	1.174	1.15	1.685
25.33989	0.582	32.066	30.425	26.395	32.133	2.024	2.93	1.555	1.104	31.814	31.074	26.112	34.048	2.361	2.57	1.754	1.432	33.242	30.496	25.63	35.279	2.433	2.796	2.009	0.651	2.012	1.307	1.866	2.539	0.858	2.139	1.256	1.791	2.098	1.098	1.221	1.125	1.128	1.722
25.50665	0.627	32.525	29.68	26.4	33.034	2.231	2.776	1.706	1.203	33.301	32.113	25.614	33.975	2.345	2.639	1.963	1.587	32.534	30.533	25.83	36.099	2.725	2.977	2.136	0.918	1.944	1.236	1.88	2.667	0.788	2.125	1.351	1.971	2.278	1.111	1.234	1.221	1.197	1.652
25.67333	0.491	32.074	30.602	27.047	32.198	2.074	2.951	1.549	1.18	32.24	31.668	26.096	33.834	2.41	2.731	1.97	1.675	33.553	31.228	25.531	35.537	2.649	2.9	1.946	0.754	2.06	1.384	1.999	2.726	0.74	2.272	1.25	1.951	2.119	1.092	1.131	1.146	1.206	1.938
25.84013	0.384	32.462	29.697	26.528	32.078	2.154	2.895	1.823	1.127	32.874	31.993	25.742	34.859	2.379	2.758	1.914	1.595	32.974	30.747	26.014	35.422	2.621	2.928	1.865	0.786	2.007	1.494	2.026	2.647	0.767	2.327	1.218	1.977	2.061	1.145	1.157	1.227	1.231	1.882
26.00669	0.515	32.191	30.599	27.57	32.003	2.231	2.971	1.706	1.092	32.019	31.194	26.144	34.003	2.457	2.751	1.963	1.587	32.088	30.812	25.552	35.932	2.837	3.172	2.024	0.751	2.111	1.598	2.187	2.917	0.788	2.404	1.296	2.082	2.222	1.111	1.15	1.165	1.225	1.903
26.17337	0.528	32.556	31.379	26.731	32.003	2.324	3.205	1.659	1.215	32.549	32.448	25.805	33.67	2.661	2.873	1.918	1.627	32.679	31.147	25.771	35.851	2.819	3.266	2.036	0.93	2.206	1.497	2.309	2.902	0.966	2.582	1.305	2.148	2.455	1.12	1.327	1.258	1.206	2.052
26.34006	0.632	32.607	29.889	27.33	32.776	2.396	3.306	1.814	1.29	32.681	31.797	26.18	34.611	2.817	3.057	1.851	1.73	33.376	31.055	26.314	36.515	2.948	3.284	2.139	0.95	2.449	1.43	2.326	2.866	0.872	2.488	1.459	2.108	2.416	1.219	1.316	1.19	1.166	1.93
26.50662	0.388	32.221	31.379	27.512	32.951	2.213	3.316	1.91	1.271	32.828	32.587	25.917	35.231	2.661	3.04	1.973	1.627	34.101	31.258	26.691	35.432	2.987	3.322	2.036	0.846	2.457	1.441	2.364	3.013	0.855	2.582	1.472	2.092	2.288	1.12	1.327	1.314	1.122	2.052
26.67343	0.635	32.545	30.673	27.28	32.189	2.321	3.396	1.796	1.044	32.707	32.132	26.327	34.803	2.825	3.12	2.081	1.762	33.392	32.447	25.568	36.593	3.15	3.569	2.06	0.759	2.342	1.577	2.389	3.204	0.712	2.746	1.441	2.228	2.312	1.033	1.324	1.088	1.036	1.993
26.84003	1.073	32.218	30.766	27.737	32.059	2.315	3.306	1.817	1.12	32.075	32.921	26.478	35.285	2.819	3.42	2.047	1.615	32.423	32.233	25.552	36.322	3.227	3.562	2.303	0.918	2.529	1.571	2.605	3.252	0.872	2.738	1.379	2.305	2.445	1.055	1.29	1.249	1.141	2.042
27.00684	0.639	32.5	31.741	28.013	32.477	2.491	3.595	1.854	1.271	32.884	32.755	26.419	35.454	3.135	3.43	2.085	1.71	32.4	31.649	26.329	37.133	3.098	3.517	2.203	0.763	2.541	1.497	2.615	3.264	0.882	2.833	1.472	2.482	2.622	1.148	1.216	1.23	1.122	1.996
27.1735	0.581	32.729	31.936	28.232	32.003	2.566	3.672	1.928	1.238	33.026	32.476	26.355	34.844	3.015	3.396	2.106	1.734	33.973	32.153	26.574	36.442	3.426	3.622	2.31	0.815	2.649	1.685	2.637	3.484	0.792	3.078	1.63	2.614	2.726	1.083	1.431	1.277	1.253	2.101
27.34006	1.027	32.528	31.048	28.175	32.265	2.467	3.578	1.772	1.261	32.844	33.047	26.321	35.56	3.114	3.525	2.123	1.841	32.694	31.692	26.767	36.911	3.472	3.893	2.138	0.783	2.701	1.645	2.768	3.595	0.753	2.957	1.502	2.63	2.631	1.095	1.39	1.513	1.266	2.118
27.50678	0.708	32.112	32.187	27.843	32.505	2.78	3.94	1.836	1.366	32.829	33.731	26.192	36.432	3.396	3.469	2.179	1.889	33.605	32.235	26.493	37.108	3.527	3.946	2.299	0.719	2.804	1.758	2.905	3.946	0.781	3.178	1.453	2.855	2.744	1.129	1.337	1.267	1.243	2.341
