	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
11.00613	0.794	0.605	2.497	3.114	2.157	2.714	0.627	0.646	0.974	0.432	2.308	3.121	2.357	3.095	0.52	0.628	0.633	0.305	2.3	2.804	2.318	3.125	0.757	0.752	0.706	0.793	0.783	0.685	0.549	0.947	0.58	0.316	0.476	0.587	0.836	0.529	0.289	0.519	0.408	0.2	0.521	0.67	0.62	0.38	0.183	0.289	0.407	0.407
11.17279	0.637	0.612	2.667	3.204	2.273	2.775	0.633	0.679	1.144	0.466	2.671	3.157	2.445	3.293	0.472	0.716	0.668	0.311	2.471	2.892	2.407	3.214	0.845	0.757	0.659	0.8	0.789	0.665	0.529	0.79	0.919	0.241	0.482	0.675	0.734	0.564	0.296	0.499	0.551	0.206	0.445	0.649	0.63	0.471	0.246	0.46	0.331	0.413
11.33951	0.716	0.58	2.855	3.261	2.46	3.098	0.653	0.617	1.087	0.57	2.622	3.321	2.634	3.591	0.658	0.713	0.693	0.415	2.497	2.943	2.484	3.402	0.785	0.86	0.767	0.825	0.867	0.771	0.496	0.895	0.797	0.346	0.507	0.726	0.841	0.729	0.511	0.686	0.493	0.228	0.467	0.7	0.882	0.637	0.356	0.323	0.436	0.488
11.50628	0.794	0.631	2.961	3.503	2.347	3.095	0.595	0.696	1.056	0.485	2.945	3.481	2.767	3.805	0.464	0.71	0.826	0.466	2.793	3.158	2.59	3.617	0.891	0.939	0.818	0.767	0.809	0.768	0.548	0.892	0.737	0.533	0.667	0.777	1.029	0.588	0.399	0.601	0.435	0.143	0.464	0.752	0.659	0.469	0.352	0.237	0.488	0.512
11.67285	0.671	0.726	3.057	3.684	2.634	3.327	0.661	0.679	1.07	0.58	2.881	3.442	2.891	3.847	0.586	0.642	0.676	0.561	2.808	3.2	2.739	3.795	0.767	0.869	0.67	0.782	0.877	0.727	0.506	0.932	0.597	0.301	0.462	0.818	0.88	0.604	0.412	0.614	0.367	0.21	0.559	0.629	0.569	0.432	0.286	0.307	0.337	0.579
11.83956	0.695	0.697	3.243	3.781	2.822	3.542	0.608	0.682	1.12	0.632	3.058	4.06	2.831	3.951	0.638	0.638	0.808	0.533	3.02	3.468	2.955	3.899	0.739	0.842	0.717	0.885	0.793	0.696	0.559	0.984	0.925	0.407	0.431	0.706	0.656	0.65	0.381	0.666	0.473	0.345	0.503	0.762	0.607	0.529	0.195	0.273	0.471	0.497
12.00626	0.924	0.814	3.966	3.774	2.859	3.716	0.558	0.712	0.94	0.668	3.137	3.806	2.898	4.21	0.565	0.758	0.683	0.485	2.98	3.534	3.019	4.129	0.909	0.875	0.759	0.871	0.748	0.789	0.485	0.994	0.828	0.444	0.606	0.798	0.859	0.694	0.364	0.648	0.538	0.216	0.565	0.718	0.688	0.522	0.322	0.314	0.425	0.612
12.17302	0.77	0.824	4.223	3.924	3.006	3.863	0.758	0.693	1.087	0.651	3.424	4.146	3.046	4.549	0.711	0.686	0.639	0.604	3.401	3.682	3.166	4.386	0.782	0.884	0.771	0.8	0.84	0.799	0.521	0.922	1.037	0.454	0.534	0.726	0.816	0.788	0.457	0.713	0.521	0.335	0.629	0.728	0.62	0.535	0.498	0.407	0.517	0.758
12.33954	0.624	0.897	3.963	3.985	3.432	3.989	0.59	0.663	1.131	0.642	3.536	4.182	3.196	4.889	0.648	0.621	0.736	0.706	3.413	3.724	3.32	4.483	1.021	0.769	0.81	0.814	0.966	0.761	0.487	0.967	0.861	0.445	0.496	0.771	0.912	0.744	0.337	0.676	0.429	0.218	0.54	0.745	0.704	0.542	0.262	0.284	0.426	0.506
12.50636	0.705	0.952	4.1	4.231	3.459	4.507	0.617	0.745	1.213	0.697	3.945	4.427	3.469	4.944	0.757	0.648	0.736	0.706	3.686	3.888	3.483	4.837	0.775	0.906	0.756	0.732	0.966	0.788	0.569	0.83	0.697	0.363	0.523	0.716	0.858	0.662	0.392	0.758	0.483	0.191	0.676	0.772	0.786	0.57	0.289	0.311	0.481	0.67
12.67311	0.797	0.989	4.111	4.599	3.47	4.463	0.653	0.617	1.141	0.789	3.932	4.549	3.453	5.201	0.685	0.659	0.747	0.715	3.752	4.063	3.494	5.04	0.812	0.833	0.74	0.853	0.731	0.771	0.496	1.004	0.797	0.373	0.534	0.863	0.787	0.674	0.402	0.686	0.493	0.201	0.604	0.837	0.746	0.637	0.383	0.377	0.573	0.597
12.83969	0.815	1.143	4.127	4.312	3.65	4.889	0.535	0.854	1.158	0.888	4.19	4.864	3.715	5.653	0.675	0.73	0.9	0.76	4.095	4.297	3.62	5.165	0.885	0.933	0.974	0.76	0.857	0.87	0.541	0.912	0.888	0.445	0.687	0.771	0.858	0.717	0.392	0.703	0.592	0.191	0.676	0.772	0.786	0.624	0.289	0.23	0.508	0.643
13.00637	0.716	1.153	4.63	4.79	3.961	5.036	0.735	0.699	1.168	0.952	4.26	4.877	3.808	5.884	0.631	0.659	0.775	0.742	4.107	4.336	3.739	5.449	0.867	0.915	0.686	0.853	0.895	0.853	0.496	0.977	0.879	0.509	0.452	0.781	0.787	0.729	0.429	0.686	0.439	0.31	0.604	0.782	0.636	0.501	0.301	0.295	0.491	0.488
13.17306	0.739	1.231	4.871	4.758	4.121	5.36	0.595	0.668	1.165	1.031	4.773	4.6	3.886	6.18	0.682	0.737	0.771	0.848	4.158	4.659	4.009	5.582	0.782	0.775	0.764	0.822	0.782	0.85	0.575	0.919	1.037	0.451	0.53	0.859	0.838	0.752	0.344	0.628	0.435	0.116	0.655	0.697	0.659	0.496	0.352	0.319	0.488	0.567
13.33979	0.774	1.321	5.366	5.058	4.372	5.637	0.633	0.597	1.117	1.174	4.825	5.065	4.135	6.4	0.662	0.716	0.668	0.884	4.597	4.582	4.206	6.212	0.872	0.812	0.741	0.8	0.871	0.856	0.529	0.953	0.673	0.404	0.51	0.866	0.843	0.783	0.487	0.771	0.579	0.288	0.663	0.813	0.684	0.689	0.518	0.378	0.495	0.576
13.50647	0.883	1.321	5.393	5.14	4.454	5.937	0.606	0.679	1.062	1.229	5.097	5.337	4.217	6.564	0.662	0.716	0.749	0.966	4.761	4.91	4.315	6.403	0.872	0.894	0.795	0.827	0.844	0.856	0.638	0.899	0.864	0.568	0.564	0.784	0.734	0.783	0.378	0.69	0.497	0.26	0.636	0.813	0.684	0.607	0.273	0.297	0.55	0.767
13.67313	0.743	1.399	5.749	5.281	4.807	6.319	0.653	0.753	1.168	1.225	5.215	5.641	4.627	6.948	0.685	0.741	0.856	1.015	4.953	4.909	4.64	6.705	0.812	0.833	0.822	0.825	0.949	0.771	0.578	1.004	0.579	0.373	0.507	0.781	0.923	0.756	0.429	0.768	0.603	0.282	0.604	0.946	0.746	0.555	0.383	0.486	0.518	0.652
13.83986	0.692	1.648	5.966	5.44	4.917	6.482	0.578	0.679	1.199	1.365	5.588	5.583	4.599	7.6	0.744	0.716	0.886	1.156	5.388	4.991	4.642	7.166	0.927	0.894	0.741	0.8	0.708	0.91	0.474	1.035	0.782	0.404	0.564	0.948	0.734	0.81	0.46	0.771	0.551	0.26	0.636	0.895	0.848	0.634	0.327	0.378	0.468	0.576
14.00656	0.665	1.621	6.014	5.538	5.295	7.049	0.664	0.712	1.089	1.447	5.792	5.737	4.839	7.837	0.691	0.77	0.721	1.185	5.599	5.342	4.858	7.296	0.902	0.87	0.683	0.771	0.98	0.882	0.449	0.845	0.952	0.459	0.482	0.812	0.869	0.696	0.378	0.744	0.47	0.344	0.638	0.894	0.809	0.654	0.377	0.43	0.632	0.743
14.17311	0.798	1.753	6.69	5.697	5.563	7.045	0.689	0.818	1.168	1.579	6.304	5.733	5.189	8.295	0.579	0.685	0.799	1.291	5.785	5.12	5.126	7.428	0.899	0.976	0.761	0.794	0.841	0.96	0.5	1.005	0.946	0.456	0.56	0.836	0.729	0.856	0.429	0.714	0.439	0.178	0.716	0.782	0.641	0.568	0.291	0.345	0.547	0.549
14.33991	0.709	1.964	7.07	5.834	5.559	7.587	0.706	0.753	1.134	1.627	6.417	5.978	5.213	8.513	0.707	0.706	0.793	1.31	6.138	5.606	5.285	8.08	0.836	0.912	0.784	0.871	0.779	0.9	0.601	0.889	0.683	0.421	0.554	0.91	0.723	0.771	0.449	0.652	0.487	0.278	0.627	0.803	0.779	0.594	0.261	0.258	0.54	0.622
14.50654	0.859	2.033	7.013	6.164	6.016	8.211	0.659	0.704	1.175	1.833	6.836	6.278	5.591	8.759	0.774	0.748	0.864	1.568	6.3	5.763	5.685	8.706	0.9	1.03	0.748	0.832	0.792	1.051	0.557	1.011	0.891	0.516	0.623	0.897	0.767	0.818	0.491	0.72	0.446	0.371	0.856	0.762	0.728	0.564	0.446	0.467	0.607	0.603
14.67326	0.753	2.09	7.457	6.136	6.223	8.465	0.539	0.831	1.232	1.888	6.929	6.39	5.848	9.224	0.835	0.668	0.781	1.573	6.579	5.917	5.651	8.875	0.802	1.042	0.823	0.831	0.797	0.943	0.675	0.988	0.753	0.385	0.598	0.819	0.766	0.809	0.439	0.724	0.531	0.243	0.755	0.792	0.726	0.546	0.352	0.381	0.531	0.752
14.84006	0.801	2.274	7.919	6.382	6.737	9.172	0.61	0.793	1.171	2.182	7.153	6.826	6.009	10.286	0.637	0.852	0.803	1.838	7.177	5.696	6.082	9.473	0.766	0.788	0.928	0.88	0.817	1.127	0.503	0.872	0.789	0.459	0.646	0.839	0.869	0.941	0.514	0.799	0.47	0.235	0.72	0.867	0.673	0.681	0.404	0.349	0.55	0.634
15.00661	0.719	2.493	8.01	6.503	6.961	9.453	0.633	0.761	1.281	2.183	7.932	6.918	6.044	10.816	0.717	0.88	0.913	1.811	7.378	6.136	6.305	10.138	1.008	1.003	0.741	0.909	0.871	1.074	0.61	0.981	1.001	0.568	0.592	0.921	0.898	0.973	0.46	0.771	0.551	0.342	0.663	0.895	0.712	0.607	0.273	0.433	0.74	0.767
15.17327	0.631	2.649	8.682	6.656	7.28	10.153	0.627	0.755	1.219	2.312	8.248	7.181	6.553	11.079	0.71	0.764	0.797	1.94	7.968	6.292	6.433	10.4	0.784	0.833	0.787	0.874	0.701	0.985	0.468	0.947	0.934	0.479	0.557	0.914	0.754	0.938	0.453	0.737	0.408	0.336	0.793	0.888	0.702	0.625	0.428	0.371	0.543	0.652
15.33992	0.682	2.754	9.277	6.788	7.848	10.884	0.679	0.753	1.188	2.526	8.678	7.095	6.875	12.054	0.707	0.951	0.82	2.182	7.936	6.396	6.728	10.886	0.863	0.912	0.811	0.898	0.834	1.091	0.546	0.971	0.737	0.476	0.663	0.856	0.887	1.016	0.531	0.979	0.568	0.333	0.817	0.993	0.833	0.703	0.506	0.422	0.73	0.867
15.50669	0.689	2.814	9.248	7.139	8.175	11.616	0.607	0.736	1.277	2.695	8.916	7.202	7.121	12.349	0.715	0.93	0.935	2.27	8.424	6.862	7.031	11.809	0.817	0.867	0.761	0.958	0.759	1.124	0.582	0.95	0.728	0.537	0.642	0.917	0.784	1.073	0.538	0.823	0.521	0.341	0.716	0.891	0.831	0.677	0.454	0.399	0.765	0.74
15.67339	0.781	3.288	9.834	7.372	8.597	12.176	0.561	0.826	1.205	2.951	9.342	7.516	7.434	13.672	0.725	0.941	0.864	2.444	8.629	6.684	7.424	12.287	0.663	0.958	0.772	0.887	0.769	1.134	0.537	1.015	0.746	0.575	0.571	0.819	0.794	1.004	0.439	0.751	0.477	0.405	0.808	0.82	0.683	0.663	0.303	0.329	0.639	0.695
15.84005	0.757	3.26	10.141	7.46	8.828	13.104	0.736	0.757	1.316	3.14	10.176	7.661	7.909	14.348	0.676	0.807	0.919	2.609	9.262	7.11	7.85	13.322	0.889	0.859	0.905	0.914	0.692	1.163	0.625	0.992	0.901	0.524	0.574	0.877	0.822	1.025	0.469	0.836	0.562	0.276	0.76	0.931	0.692	0.598	0.324	0.436	0.589	0.65
16.00673	0.923	3.619	10.784	7.668	9.331	14.239	0.653	0.701	1.239	3.337	10.394	8.112	8.168	15.297	0.678	0.838	0.924	2.885	9.661	7.23	8.16	14.132	0.808	0.94	0.831	0.947	0.831	1.303	0.572	1.022	0.765	0.609	0.632	0.907	0.936	1.143	0.527	0.785	0.592	0.304	0.87	0.935	0.708	0.718	0.442	0.388	0.51	0.758
16.1734	0.72	3.818	11.184	7.77	9.981	15.312	0.619	0.695	1.279	3.454	10.592	8.162	8.898	15.986	0.666	0.959	0.908	2.788	9.926	6.935	8.543	14.96	0.771	0.931	0.703	0.903	0.791	1.179	0.616	0.954	0.855	0.65	0.672	0.84	0.73	1.013	0.459	0.772	0.497	0.348	0.75	0.813	0.65	0.585	0.312	0.344	0.498	0.722
16.34011	0.869	4.109	11.545	7.723	10.691	15.816	0.599	0.891	1.239	3.826	11.046	8.221	9.038	17.255	0.705	0.892	1.006	3.103	10.395	7.475	9.003	15.764	0.89	0.967	0.858	1.028	0.722	1.303	0.599	1.131	0.71	0.69	0.632	0.989	0.854	1.143	0.364	0.948	0.674	0.386	0.87	1.017	0.735	0.718	0.388	0.47	0.673	0.758
16.50684	0.736	4.221	11.877	8.163	11.131	16.856	0.602	0.894	1.27	4.102	11.977	8.58	9.532	18.485	0.681	1.005	0.928	3.406	10.591	7.778	9.742	16.667	1.001	0.861	0.78	0.95	0.834	1.307	0.739	1.188	0.879	0.476	0.635	0.883	0.804	1.228	0.504	0.897	0.541	0.334	0.846	1.02	0.713	0.75	0.446	0.392	0.676	0.734
16.67355	0.764	4.543	12.595	8.637	11.688	17.975	0.715	0.899	1.296	4.451	12.333	8.675	9.846	19.465	0.818	0.868	0.899	3.539	11.336	8.151	10.112	18.058	0.678	0.946	0.804	0.975	0.807	1.414	0.577	1.025	0.804	0.585	0.662	0.965	0.748	1.142	0.558	0.87	0.433	0.309	0.848	1.02	0.837	0.715	0.359	0.362	0.677	0.71
16.84024	0.818	4.978	13.247	8.909	12.747	18.898	0.66	0.79	1.486	4.668	12.578	9.463	10.661	21.094	0.818	0.868	0.98	3.783	11.933	8.205	10.547	18.791	0.895	0.865	0.885	1.057	0.699	1.414	0.55	1.08	0.804	0.531	0.743	0.938	0.748	1.196	0.503	0.924	0.514	0.309	0.902	0.993	0.674	0.688	0.332	0.444	0.758	0.71
17.00684	0.9	5.261	13.336	8.885	13.569	19.928	0.706	0.862	1.27	4.951	13.228	9.683	11.588	22.27	0.734	0.951	0.984	4.089	12.376	8.44	11.223	20.257	0.836	0.994	0.947	1.116	0.861	1.554	0.628	1.134	0.655	0.639	0.663	1.101	0.832	1.343	0.477	0.925	0.568	0.442	0.953	1.048	0.779	0.703	0.588	0.503	0.621	0.84
17.17363	0.828	5.627	14.634	9.474	14.158	21.692	0.687	0.815	1.39	5.318	13.548	9.944	11.795	23.737	0.881	0.962	1.077	4.509	12.611	9.026	11.865	21.777	0.763	0.921	0.822	1.127	0.844	1.483	0.692	1.171	1.164	0.677	0.564	1.002	0.816	1.355	0.487	1.099	0.551	0.506	0.909	1.14	0.712	0.879	0.518	0.569	0.713	0.931
17.34018	1.046	5.9	15.261	9.501	15.439	22.646	0.687	0.925	1.444	5.372	14.174	10.462	12.476	25.154	0.826	1.043	1.131	4.755	13.211	9.271	12.628	23.003	0.927	0.976	0.822	1.045	0.871	1.51	0.774	1.253	0.782	0.758	0.673	1.002	0.898	1.355	0.623	1.071	0.551	0.451	0.909	1.086	0.875	0.798	0.518	0.433	0.659	0.794
17.50699	0.876	6.382	15.875	10.008	16.49	23.695	0.682	0.864	1.464	6.045	15.223	10.56	13.446	26.582	0.792	1.036	1.069	4.937	13.935	9.561	13.217	24.351	0.866	1.051	0.896	1.201	0.674	1.585	0.631	1.246	0.825	0.561	0.721	1.023	0.809	1.374	0.616	1.01	0.572	0.581	0.902	1.079	0.865	0.762	0.51	0.507	0.788	0.761
17.67361	0.893	6.777	16.647	10.509	17.724	24.489	0.619	0.911	1.508	6.522	16.128	11.115	14.192	27.593	0.782	0.998	1.194	5.17	14.189	9.602	14.127	25.962	0.911	0.961	0.858	1.136	0.827	1.574	0.54	1.399	0.97	0.66	0.71	1.094	0.88	1.443	0.47	1.0	0.616	0.353	0.974	0.878	0.742	0.776	0.334	0.442	0.642	0.752
17.84032	0.954	7.059	17.477	10.765	18.499	25.839	0.624	0.943	1.379	6.776	16.796	11.399	15.13	28.781	0.734	0.788	1.147	5.505	14.773	10.047	14.874	27.367	0.863	0.885	0.865	1.143	0.67	1.581	0.601	1.216	0.846	0.476	0.663	1.019	0.805	1.424	0.477	1.088	0.623	0.333	0.981	0.993	0.697	0.757	0.397	0.449	0.703	0.704
18.00696	1.05	7.513	18.293	11.033	19.916	27.398	0.581	0.873	1.475	7.312	16.281	12.212	15.726	29.66	0.802	0.938	1.162	5.931	15.507	10.53	15.96	28.873	0.766	0.897	0.826	1.131	0.711	1.65	0.477	1.257	0.925	0.516	0.513	1.088	0.765	1.441	0.49	1.102	0.637	0.345	1.048	1.089	0.689	0.775	0.441	0.464	0.662	0.661
18.17371	0.924	8.072	18.831	11.678	21.382	28.377	0.726	0.936	1.54	7.926	17.721	12.257	16.973	29.96	0.757	1.139	1.173	6.216	16.371	10.653	16.932	29.962	0.748	0.906	0.81	1.169	0.694	1.606	0.541	1.321	1.107	0.499	0.523	1.125	0.858	1.562	0.473	1.167	0.592	0.382	0.976	1.099	0.649	0.788	0.344	0.475	0.645	0.725
18.34037	1.07	8.932	19.615	12.16	22.659	29.194	0.735	0.944	1.632	8.213	18.727	12.711	18.302	30.396	0.767	1.041	1.266	6.802	17.373	11.351	18.07	31.08	0.894	0.997	0.767	1.18	0.704	1.754	0.633	1.414	1.125	0.619	0.588	1.19	0.787	1.493	0.593	1.041	0.575	0.364	0.986	1.11	0.664	0.746	0.465	0.486	0.764	0.734
18.50708	1.129	9.167	20.607	12.487	23.628	29.735	0.761	0.997	1.528	8.912	19.48	13.174	19.238	30.805	0.769	1.155	1.272	7.224	18.281	11.643	19.084	31.325	1.004	1.024	0.884	1.296	0.761	1.814	0.661	1.472	0.879	0.731	0.784	1.249	0.874	1.667	0.597	1.209	0.606	0.502	1.179	1.196	0.68	0.758	0.475	0.52	0.685	0.761
18.67369	1.293	9.96	22.056	13.198	23.6	29.681	0.651	1.079	1.664	9.76	20.738	14.186	20.851	31.297	0.851	1.1	1.436	7.662	18.609	12.6	20.67	31.325	0.894	1.106	0.884	1.35	0.734	1.814	0.607	1.472	1.125	0.731	0.702	1.167	0.901	1.667	0.679	1.318	0.634	0.338	1.097	1.141	0.789	0.84	0.475	0.493	0.794	0.761
18.8405	1.026	10.913	22.777	13.625	23.801	30.339	0.716	1.062	1.67	10.358	21.181	14.886	22.583	31.57	0.777	1.133	1.332	7.962	19.523	12.841	21.558	31.462	0.985	1.006	0.916	1.355	0.741	1.929	0.669	1.533	0.898	0.711	0.681	1.228	0.934	1.669	0.522	1.352	0.586	0.319	0.996	1.175	0.842	0.841	0.395	0.607	0.774	0.797
19.00721	1.091	11.804	23.073	14.245	22.73	30.857	0.807	1.207	1.681	10.811	22.517	15.78	23.016	31.898	0.923	1.062	1.343	8.496	20.583	13.048	23.054	31.489	1.076	1.015	0.791	1.366	0.724	1.858	0.652	1.517	0.861	0.639	0.691	1.129	0.863	1.818	0.587	1.389	0.678	0.411	0.923	1.049	0.829	0.827	0.408	0.509	0.784	0.752
19.17372	1.057	11.804	23.679	14.809	22.793	31.205	0.641	1.042	1.7	11.331	22.732	15.851	23.103	32.187	0.809	1.218	1.469	9.185	21.601	13.731	23.499	31.508	0.854	1.012	0.834	1.329	0.69	1.903	0.62	1.564	0.773	0.605	0.602	1.285	0.99	1.558	0.47	1.327	0.507	0.352	0.973	1.178	0.726	0.811	0.367	0.444	0.723	0.64
19.34048	1.323	12.519	24.626	15.749	22.838	31.668	0.659	1.059	1.749	12.565	23.985	17.174	23.067	32.762	0.91	1.157	1.437	9.733	22.657	14.392	24.117	31.972	0.9	1.084	0.83	1.433	0.792	1.952	0.666	1.694	0.728	0.598	0.705	1.279	0.849	1.747	0.573	1.375	0.61	0.48	1.156	1.117	0.81	0.755	0.528	0.549	0.743	0.794
19.50723	1.258	13.867	24.302	16.275	22.952	32.078	0.868	1.132	1.738	13.694	24.368	17.836	22.526	33.17	0.764	1.146	1.426	10.509	22.688	15.139	24.068	32.436	0.863	1.103	0.845	1.504	0.728	2.023	0.739	1.656	0.901	0.615	0.749	1.296	0.838	1.871	0.562	1.447	0.572	0.47	1.146	1.243	0.632	0.878	0.543	0.537	0.733	0.785
19.67388	1.269	14.807	25.564	16.952	23.033	32.452	0.654	1.136	1.777	13.977	24.877	18.65	22.363	33.685	0.855	1.24	1.467	10.757	23.949	15.532	23.74	33.221	1.062	1.136	0.943	1.518	0.846	2.146	0.61	1.722	0.885	0.57	0.65	1.334	0.905	1.835	0.628	1.376	0.719	0.396	1.1	1.2	0.849	0.845	0.506	0.524	0.77	0.819
19.84061	1.18	15.811	25.812	17.701	23.287	32.933	0.789	1.19	1.769	14.983	25.742	19.344	22.642	34.135	0.849	1.287	1.648	11.661	24.634	16.564	23.092	33.946	0.894	1.078	0.904	1.59	0.813	2.109	0.633	1.769	0.989	0.673	0.698	1.436	0.923	1.875	0.648	1.505	0.821	0.446	1.068	1.246	0.827	0.965	0.438	0.596	0.818	0.816
20.00725	1.297	16.639	25.893	19.577	23.526	33.464	0.818	1.164	2.024	16.794	26.135	20.756	23.183	34.725	0.937	1.24	1.795	12.234	25.289	16.981	23.576	34.452	0.925	1.054	0.888	1.627	0.819	2.201	0.747	1.859	1.186	0.735	0.705	1.471	0.96	1.999	0.628	1.54	0.774	0.478	1.183	1.227	0.794	0.872	0.506	0.715	0.77	0.901
20.17385	1.548	16.741	25.588	20.073	23.53	33.987	0.696	1.042	1.973	17.631	25.787	21.906	22.857	35.16	0.89	1.299	1.66	13.249	25.938	18.367	23.39	34.89	0.8	0.985	0.807	1.629	0.718	2.312	0.702	1.918	1.128	0.687	0.738	1.367	0.936	1.885	0.661	1.518	0.725	0.461	1.082	1.232	0.808	0.974	0.449	0.69	0.805	0.64
20.34064	1.55	18.978	25.389	21.234	23.869	34.604	0.934	1.142	1.976	18.34	25.77	22.823	22.898	35.812	1.053	1.384	1.721	14.188	26.619	19.319	23.618	35.374	0.904	1.197	0.951	1.717	0.771	2.291	0.835	1.866	0.952	0.714	0.739	1.505	0.912	2.008	0.607	1.63	0.617	0.485	0.943	1.316	0.777	0.936	0.514	0.668	0.695	0.77
20.50733	1.433	19.566	26.385	22.039	24.1	35.159	0.764	1.219	2.051	19.83	27.065	23.874	23.183	36.475	0.964	1.377	1.713	14.477	27.067	19.908	23.658	35.902	1.007	1.136	0.888	1.71	0.737	2.283	0.61	1.886	1.104	0.653	0.815	1.498	0.96	1.944	0.6	1.622	0.528	0.396	1.046	1.282	0.849	0.872	0.424	0.661	0.715	0.983
20.6739	1.528	21.068	26.133	22.69	24.152	35.64	0.807	1.125	2.036	20.649	25.633	25.181	23.535	36.954	0.951	1.335	1.835	15.382	26.35	21.192	24.148	36.6	0.967	1.097	0.845	1.749	0.833	2.295	0.734	1.926	0.998	0.721	0.637	1.566	0.863	2.092	0.614	1.772	0.705	0.493	1.033	1.295	0.747	0.909	0.544	0.646	0.757	0.889
20.84067	1.539	22.594	26.131	24.847	24.01	36.271	0.815	1.298	2.184	21.819	25.961	25.48	23.695	37.504	0.933	1.428	1.955	16.959	26.84	22.307	24.58	37.286	0.977	1.215	0.966	1.788	0.898	2.525	0.771	2.101	1.098	0.813	0.729	1.467	1.065	2.104	0.706	1.728	0.688	0.557	1.042	1.36	0.871	1.086	0.584	0.657	0.767	0.898
21.00739	1.432	23.742	26.319	25.17	24.394	36.911	0.959	1.387	2.186	23.023	25.815	26.458	24.241	38.169	1.019	1.485	1.901	17.57	26.152	23.431	24.39	37.706	0.955	1.248	0.857	1.897	0.983	2.444	0.666	2.103	0.837	0.762	0.759	1.552	0.93	2.129	0.682	1.84	0.664	0.453	1.02	1.281	0.728	0.919	0.528	0.63	0.771	0.904
21.174	1.687	24.423	26.319	25.584	24.581	37.45	0.824	1.334	2.277	24.496	26.071	26.599	24.047	38.712	0.943	1.521	1.967	19.578	26.975	24.518	24.713	38.33	1.15	1.443	0.951	1.881	0.853	2.482	0.78	2.057	0.87	0.824	0.712	1.642	0.83	2.254	0.635	1.958	0.781	0.567	1.271	1.371	0.804	0.853	0.569	0.723	0.777	0.907
21.34074	1.672	27.426	26.368	25.878	24.878	37.956	0.894	1.404	2.29	26.186	26.636	26.92	24.453	39.353	0.875	1.589	1.952	20.726	26.831	25.28	24.737	38.889	0.973	1.267	0.88	1.948	0.812	2.604	0.768	2.262	1.01	0.782	0.698	1.573	0.898	2.155	0.676	1.971	0.712	0.499	1.176	1.357	0.867	0.945	0.553	0.817	0.763	0.84
21.50745	1.785	29.485	26.295	26.68	24.995	38.513	0.897	1.407	2.293	27.808	26.153	27.53	24.57	39.637	0.851	1.62	2.092	20.596	27.223	26.136	25.1	39.228	1.168	1.27	0.966	1.924	0.925	2.69	0.825	2.375	1.344	0.731	0.702	1.659	1.038	2.159	0.679	1.947	0.716	0.475	1.261	1.278	0.844	0.95	0.502	0.739	0.794	0.843
21.67414	1.76	30.597	25.746	27.355	25.022	38.877	0.795	1.469	2.322	29.604	26.224	27.769	24.678	40.108	0.992	1.594	2.092	22.977	26.725	25.806	24.964	39.754	1.064	1.412	0.939	2.007	0.983	2.608	0.803	2.349	0.973	0.789	0.677	1.689	0.958	2.266	0.818	2.003	0.691	0.453	1.238	1.499	0.892	1.055	0.61	0.794	0.907	0.876
21.84076	1.771	32.154	26.098	27.71	25.128	39.401	0.995	1.477	2.443	31.571	26.416	28.397	25.085	40.577	1.111	1.687	2.077	24.175	27.079	26.459	25.643	40.251	1.374	1.339	0.869	1.991	0.966	2.701	0.758	2.36	1.019	0.799	0.688	1.617	0.887	2.443	0.665	2.178	0.838	0.49	1.111	1.51	0.852	0.987	0.54	0.724	0.835	0.831
22.00745	1.88	31.908	25.934	27.546	25.128	39.865	0.886	1.641	2.525	33.293	26.334	28.588	25.358	40.987	0.947	1.769	2.241	25.24	27.407	27.196	25.752	40.606	1.046	1.503	0.923	2.018	0.912	2.756	0.758	2.497	1.265	0.936	0.797	1.645	0.941	2.388	0.747	2.124	0.784	0.626	1.111	1.373	0.743	0.987	0.65	0.806	0.781	1.077
22.17421	2.044	33.52	25.879	27.928	25.619	40.357	0.968	1.723	2.579	33.894	25.924	29.162	25.03	41.425	1.193	1.824	2.268	27.59	27.188	27.415	25.534	41.207	1.128	1.449	0.923	2.155	0.966	2.756	0.731	2.442	1.156	0.936	0.715	1.727	0.969	2.443	0.692	2.178	0.756	0.572	1.193	1.455	0.906	0.987	0.65	0.696	0.917	0.885
