	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
23.83985	0.707	43.902	29.448	30.579	41.312	7.357	2.758	15.154	0.567	47.199	29.434	29.675	41.646	7.065	1.875	14.342	0.664	48.36	29.586	33.402	42.603	7.759	2.153	14.459	2.041	15.811	1.459	1.706	2.118	3.649	2.234	1.596	14.837	1.452	1.46	1.363	2.993	2.155	1.489	12.689	0.699	1.219	1.735	2.372	1.775
24.00644	0.732	44.232	29.897	30.313	41.673	7.381	2.697	15.034	0.363	47.614	29.911	29.638	43.435	7.175	1.785	13.907	0.688	48.375	30.291	31.991	41.905	7.869	2.15	14.624	2.065	16.061	1.598	1.874	2.058	3.587	2.115	1.678	14.802	1.278	1.285	1.758	3.103	2.065	1.6	12.57	0.725	0.93	1.76	2.339	1.801
24.17305	0.745	45.97	29.76	30.319	41.775	7.742	2.767	15.057	0.521	47.555	29.918	29.788	43.138	7.335	1.714	13.901	0.763	48.657	29.985	33.004	42.094	8.203	2.136	14.59	2.083	15.858	1.355	1.773	2.129	3.694	2.247	1.522	15.37	1.29	1.298	1.522	3.007	1.912	1.441	12.676	0.708	0.856	1.744	2.269	1.785
24.33982	0.709	46.162	30.495	30.738	41.715	7.894	2.845	15.632	0.58	48.106	30.052	29.978	43.14	7.487	1.598	14.189	1.002	49.115	29.921	32.815	42.699	8.195	2.133	14.85	1.976	15.523	1.405	1.738	2.21	3.576	2.201	1.663	15.262	1.308	1.406	1.773	3.108	2.214	1.719	12.783	0.663	0.841	1.876	2.584	1.691
24.50644	0.667	46.828	30.086	30.76	41.813	7.446	2.918	15.436	0.507	48.165	29.73	30.028	43.179	7.756	1.841	13.993	0.812	49.405	30.859	32.201	42.68	8.088	2.09	14.855	1.959	15.498	1.65	1.724	2.368	3.755	2.126	1.648	14.836	1.325	1.392	1.665	3.146	1.879	1.62	12.762	0.681	0.973	1.864	2.483	1.85
24.67314	0.716	47.25	29.795	31.014	41.48	7.644	2.88	15.328	0.416	48.88	29.955	29.938	43.335	7.353	1.864	14.172	0.724	49.515	30.542	32.75	42.406	8.32	2.14	14.833	1.956	16.11	1.527	1.917	2.13	3.788	2.21	1.842	15.274	1.43	1.355	1.439	3.262	1.908	1.582	12.708	0.698	1.105	1.652	2.506	2.042
24.83978	0.883	47.342	30.661	31.134	41.271	7.675	2.76	15.485	0.443	48.433	29.874	30.087	43.072	7.556	1.976	14.5	0.899	49.494	30.119	32.794	42.661	8.328	2.281	14.904	2.245	16.615	1.465	1.797	2.241	3.885	2.156	1.667	15.605	1.538	1.436	1.821	3.497	1.942	1.777	11.997	0.688	0.924	1.846	2.446	1.865
25.00655	0.648	47.377	30.753	31.054	41.58	7.792	2.984	15.181	0.672	48.819	30.627	30.063	42.865	7.501	1.916	14.829	0.643	49.589	30.759	32.319	44.24	8.566	2.105	15.291	2.19	16.805	1.46	1.878	2.352	3.837	2.217	1.693	14.929	1.388	1.46	1.685	3.244	2.062	1.628	12.781	0.708	1.059	1.782	2.675	1.83
25.17311	0.713	48.503	30.91	30.951	41.474	7.754	2.848	15.678	0.63	48.772	30.468	30.248	43.714	7.522	2.045	14.78	0.981	49.825	30.862	32.433	43.709	8.422	2.203	15.357	2.094	16.618	1.671	1.945	2.651	3.899	2.325	1.85	15.343	1.394	1.353	1.571	3.384	2.174	1.722	12.176	0.825	0.976	1.873	2.718	1.838
25.33983	0.907	48.642	30.965	31.178	42.409	8.127	2.839	16.35	0.567	48.684	30.869	30.389	43.872	7.577	1.923	14.816	0.893	50.109	31.178	32.35	43.637	8.28	2.225	14.787	2.352	16.484	1.721	1.936	2.412	4.192	2.382	1.786	15.207	1.673	1.46	1.805	3.327	2.116	1.597	12.409	0.756	1.08	1.834	2.742	1.887
25.5066	0.728	49.2	31.144	31.241	41.767	7.927	2.891	15.93	0.479	48.956	30.702	30.539	43.492	7.783	1.921	14.713	0.896	50.176	31.36	32.596	42.94	8.491	2.395	15.638	2.325	16.703	1.89	1.903	2.524	4.087	2.241	1.783	16.292	1.435	1.657	1.814	3.39	2.18	1.852	11.895	0.949	1.042	1.914	2.769	1.968
25.67315	0.667	48.954	31.453	31.261	42.045	7.894	3.003	16.098	0.504	48.942	30.838	30.588	44.579	7.836	1.917	14.765	0.833	50.163	31.814	33.02	43.68	8.688	2.247	15.777	2.147	16.899	1.655	2.16	2.578	4.082	2.294	1.808	15.967	1.519	1.538	1.895	3.732	2.232	1.79	12.324	0.715	1.097	1.911	3.083	2.052
25.83987	1.009	49.021	31.518	31.47	42.067	7.838	3.2	16.691	0.532	49.389	31.337	30.507	44.026	7.81	1.886	14.633	0.749	50.809	31.649	32.658	43.185	8.464	2.476	15.646	2.497	17.206	1.853	2.068	2.719	4.527	2.5	1.806	16.012	1.715	1.562	1.933	3.594	2.122	1.814	12.1	0.618	1.147	1.933	2.851	1.989
26.00663	0.835	49.224	32.097	31.556	41.401	8.099	3.258	16.778	0.879	49.331	31.25	30.652	44.345	7.868	1.943	15.067	0.865	50.346	31.939	33.035	44.402	8.696	2.389	15.733	2.352	17.119	1.737	1.981	2.632	4.382	2.5	1.835	16.012	1.628	1.504	1.933	3.652	2.267	1.785	12.592	0.734	1.118	1.846	2.938	1.989
26.17342	0.738	49.24	31.693	31.645	42.756	8.462	3.161	16.325	0.578	49.462	31.396	30.885	43.788	7.912	2.019	15.136	0.851	50.478	32.2	32.338	43.497	8.448	2.291	16.091	2.31	16.752	1.64	2.173	2.419	4.423	2.602	1.881	15.819	1.532	1.581	1.743	3.752	2.194	1.717	12.084	0.639	1.051	1.952	2.752	2.007
26.33993	0.682	49.654	31.951	31.843	42.194	8.126	3.192	16.641	0.643	49.417	32.06	30.822	44.359	8.011	2.053	15.046	0.776	50.777	32.171	32.605	45.026	8.844	2.237	15.77	2.118	17.566	1.526	2.205	2.567	4.504	2.47	1.944	15.702	1.735	1.583	1.878	3.769	2.239	1.66	12.363	0.635	1.222	1.807	2.991	2.009
26.50659	0.829	49.457	32.137	32.002	43.173	8.466	3.194	16.765	0.611	49.708	32.216	30.923	44.524	8.235	2.139	15.432	0.856	50.695	32.093	33.361	44.493	8.946	2.497	16.445	2.517	16.903	1.672	2.235	2.799	4.516	2.665	1.914	16.173	1.535	1.469	1.864	3.815	2.257	1.981	12.495	0.7	1.199	1.955	2.93	2.098
26.67331	0.822	49.489	32.394	31.966	43.263	8.013	3.216	16.975	0.583	49.779	31.69	31.148	44.326	8.131	1.993	15.815	0.663	50.787	32.268	32.591	44.125	8.62	2.437	15.668	2.207	17.178	1.695	2.113	2.592	4.892	2.765	1.942	15.543	1.612	1.81	1.771	3.833	2.186	1.857	11.993	0.858	1.098	1.974	3.077	2.062
26.84001	1.002	49.66	32.861	31.828	44.042	8.177	3.281	17.055	0.611	49.911	32.592	31.068	45.334	8.061	1.965	15.721	0.827	50.868	32.615	33.535	44.377	8.801	2.352	16.097	2.488	17.772	1.585	1.887	2.741	4.631	2.317	2.001	16.231	1.622	1.497	2.009	3.671	2.257	1.778	12.495	0.555	1.025	1.84	3.045	2.011
27.00668	0.854	49.646	32.243	31.905	43.914	8.433	3.161	17.396	0.491	49.868	32.293	31.001	44.222	8.23	2.106	15.976	0.822	50.739	32.171	33.061	44.481	8.796	2.667	16.641	2.397	17.36	1.669	2.231	2.795	4.828	2.602	2.142	16.427	1.445	1.726	1.859	4.071	2.426	1.862	12.635	0.784	1.109	1.923	3.099	2.094
27.17339	0.715	50.677	32.351	32.246	43.542	8.343	3.427	17.669	0.55	50.229	32.631	31.052	44.225	8.14	2.137	16.568	0.791	51.104	32.363	33.335	44.28	8.383	2.525	16.048	2.452	17.053	1.529	2.149	2.857	4.701	2.627	1.942	16.44	1.625	1.615	1.879	4.325	2.391	1.694	12.598	0.851	1.031	2.075	3.245	2.128
27.34	0.858	50.119	33.19	32.307	43.177	8.562	3.454	17.785	0.457	50.1	32.401	31.402	43.974	8.07	2.102	16.251	0.866	50.835	32.795	33.327	45.441	8.97	2.52	16.425	2.441	17.079	1.584	2.175	2.824	4.88	2.7	2.081	16.151	1.596	1.613	2.119	4.019	2.549	1.751	12.839	0.739	1.264	2.075	3.468	2.271
27.50659	0.849	49.853	32.884	32.234	43.48	8.54	3.445	17.714	0.557	50.114	32.787	31.358	44.823	8.307	2.204	15.981	0.73	50.913	33.062	33.586	44.844	8.48	2.45	16.874	2.564	17.611	1.719	2.166	2.784	4.816	2.908	1.808	15.735	1.474	1.719	1.858	4.05	2.379	1.685	13.357	0.737	1.203	1.954	3.078	2.176
27.67336	0.8	50.432	33.086	32.524	43.353	8.513	3.683	17.733	0.735	49.971	32.729	31.476	45.355	8.164	2.296	16.231	0.818	50.946	33.06	33.264	44.829	8.621	2.629	17.468	2.767	17.311	1.813	2.203	3.193	5.213	2.851	1.93	16.014	1.541	1.526	2.027	4.364	2.551	1.838	13.181	0.691	1.013	2.022	2.997	2.299
27.83998	0.929	50.081	32.905	32.403	44.09	8.282	3.466	17.794	0.712	50.1	32.663	31.528	45.542	8.277	2.218	16.58	0.731	51.196	32.962	33.473	45.072	8.61	2.667	17.241	2.393	17.196	1.911	2.186	3.002	4.707	2.79	1.881	15.616	1.5	1.51	2.015	4.04	2.458	1.996	13.083	0.827	1.09	1.953	3.261	2.255
28.00674	1.021	50.219	33.193	32.694	43.971	8.558	3.529	18.212	0.624	50.315	32.807	31.762	44.704	8.065	2.275	16.6	0.864	51.218	33.359	33.459	45.547	9.103	2.611	17.546	2.584	17.526	1.63	2.306	2.919	4.735	3.063	2.025	16.094	1.538	1.517	2.106	3.965	2.584	1.774	13.118	0.871	1.047	2.078	3.201	2.319
28.17345	0.878	50.562	33.45	32.723	43.828	8.3	3.501	17.383	0.453	50.229	33.264	31.962	45.762	8.494	2.446	16.743	0.864	51.247	33.502	33.888	46.061	8.931	2.754	17.145	2.498	17.354	2.031	2.192	2.947	4.964	2.92	2.111	16.58	1.624	1.803	2.02	4.308	2.67	1.746	12.832	0.699	1.219	1.992	3.458	2.204
28.34008	0.883	50.18	33.298	33.0	44.26	8.526	3.648	18.253	0.482	50.215	33.711	32.154	45.449	8.461	2.163	16.898	0.804	51.407	33.604	34.271	46.004	8.951	2.642	17.272	2.524	17.736	1.92	2.111	2.922	4.952	2.858	1.999	15.879	1.516	1.836	2.097	4.529	2.607	1.837	13.138	0.88	1.084	2.141	3.344	2.209
28.50667	0.68	50.452	33.973	33.048	44.191	8.892	3.759	18.418	0.507	50.515	33.502	32.059	45.094	8.428	2.073	16.435	0.629	51.308	33.965	33.318	46.048	9.031	2.809	17.409	2.805	17.843	1.831	2.164	2.975	5.26	3.225	2.138	16.358	1.57	1.832	1.92	4.524	2.602	1.891	13.39	0.677	1.11	2.252	3.426	2.377
28.6734	0.91	50.599	33.726	33.059	44.638	8.485	3.902	18.651	0.59	50.543	34.223	32.327	45.54	8.505	2.385	16.585	0.764	51.597	33.971	34.119	45.864	9.16	2.722	17.642	2.826	16.991	1.975	2.251	3.317	5.499	2.845	2.051	16.905	1.63	1.833	1.935	4.312	2.676	2.064	13.091	0.854	1.258	2.199	3.564	2.321
28.84007	0.67	50.325	34.087	33.305	43.984	8.508	3.92	18.113	0.467	50.643	34.271	32.431	45.971	8.528	2.547	16.502	0.786	51.181	34.42	34.057	46.097	9.272	2.655	17.988	2.706	17.224	1.992	2.325	3.164	5.5	3.21	2.212	16.282	1.76	1.765	2.247	4.423	2.758	1.881	13.117	1.011	1.158	2.243	3.328	2.253
29.0068	0.873	51.48	34.439	33.315	45.736	8.883	3.837	18.69	0.613	50.657	34.652	32.497	45.356	8.562	2.322	17.107	0.819	51.451	34.801	34.695	46.052	9.192	2.916	17.424	2.682	17.288	1.824	2.328	3.139	5.42	3.272	2.045	16.031	1.506	1.654	2.167	4.514	2.791	1.742	13.465	0.786	1.19	2.246	3.503	2.37
29.1735	0.757	50.501	34.266	33.43	45.087	8.813	3.892	18.546	0.578	50.614	34.45	32.356	46.187	8.435	2.658	16.964	0.751	51.669	34.967	34.315	45.429	9.429	2.853	17.765	2.813	17.655	1.736	2.411	3.106	5.282	3.229	2.267	15.889	1.706	1.709	2.09	4.611	2.661	1.968	13.815	0.761	0.993	2.218	3.325	2.425
29.34009	0.757	50.814	34.494	33.487	44.916	8.813	3.863	18.631	0.493	50.671	34.791	32.413	46.216	8.207	2.203	17.164	0.865	51.498	35.166	35.197	46.909	9.258	2.682	17.765	2.756	16.972	1.793	2.297	3.106	5.367	3.144	2.125	16.402	1.649	1.652	2.346	4.554	2.804	1.94	13.274	0.818	1.078	2.104	3.382	2.482
29.50681	0.809	51.785	34.71	33.791	45.99	8.767	3.971	18.736	0.425	50.641	35.176	32.746	46.777	8.531	2.307	17.384	0.905	51.701	35.746	34.92	46.443	9.091	2.929	17.9	2.796	17.503	1.702	2.376	3.24	5.48	3.182	2.172	16.395	1.674	1.874	2.207	4.588	2.925	1.935	13.704	0.79	1.305	2.272	3.597	2.476
29.67342	0.973	50.422	34.69	33.829	45.427	8.844	3.964	18.808	0.503	50.868	35.582	32.812	46.127	8.692	2.583	17.882	0.783	51.56	35.612	35.04	46.561	9.591	2.751	18.483	2.844	17.689	2.093	2.426	3.347	5.496	3.428	2.392	16.326	1.696	1.782	2.452	4.805	2.773	2.156	13.182	0.784	1.441	2.18	3.362	2.64
29.8402	0.799	51.175	35.476	33.99	44.932	9.123	4.13	19.057	0.754	50.655	36.225	32.973	45.973	8.602	2.381	17.705	0.892	51.632	35.858	34.973	46.719	9.274	2.662	17.539	2.953	17.313	1.947	2.423	3.485	5.547	3.367	2.218	16.546	1.863	1.835	2.446	4.715	2.825	1.897	13.432	0.781	1.268	2.234	3.5	2.693
30.00682	0.694	51.036	35.473	33.933	45.768	9.294	3.996	19.472	0.476	50.91	35.739	33.059	46.667	8.659	2.301	17.922	1.036	51.634	36.25	35.051	46.474	9.298	2.782	17.926	2.841	17.443	2.012	2.6	3.463	5.541	3.395	2.28	16.707	1.758	1.843	2.442	4.599	2.993	1.991	13.315	0.68	1.194	2.215	3.561	2.701
30.17344	0.78	50.724	36.267	34.188	46.023	9.067	4.251	19.84	0.816	50.995	36.618	32.804	47.234	8.858	2.471	18.035	0.61	51.946	37.129	35.051	46.928	9.582	2.895	18.976	3.011	17.557	2.097	2.402	3.491	5.853	3.565	2.309	17.217	1.758	1.73	2.414	4.854	2.965	2.076	13.571	0.878	1.279	2.215	3.334	2.814
30.34019	0.698	51.276	36.022	34.226	45.412	9.015	4.028	19.195	0.678	51.123	36.742	33.267	46.168	9.004	2.56	18.127	0.785	51.932	36.941	35.061	46.912	9.672	2.814	19.238	2.902	17.563	1.987	2.519	3.466	5.859	3.485	2.284	17.139	1.818	1.761	2.448	4.888	3.225	1.994	13.888	0.938	1.367	2.332	3.423	2.818
30.50695	0.836	51.66	36.126	34.273	45.57	9.067	4.194	19.245	0.561	51.193	36.987	33.229	46.496	9.028	2.585	18.29	1.007	51.918	37.214	34.824	47.41	9.724	3.066	18.891	2.926	17.954	2.012	2.402	3.576	6.023	3.48	2.535	16.707	1.815	1.985	2.528	4.967	3.078	2.048	13.911	0.708	1.591	2.414	3.589	2.814
30.67354	0.774	50.876	36.508	34.255	44.802	9.099	4.134	19.888	0.702	51.209	37.911	33.409	47.491	8.976	2.498	18.507	0.783	51.929	37.259	35.58	46.759	9.336	3.177	19.392	2.929	17.774	2.093	2.597	3.659	5.979	3.457	2.477	16.666	1.781	1.867	2.622	4.919	3.17	2.071	13.835	0.813	1.385	2.407	3.618	3.094
30.84026	0.836	51.518	36.778	34.557	45.4	9.379	4.194	19.869	0.504	50.938	37.582	33.541	47.007	9.0	2.726	18.546	1.092	51.804	37.611	35.306	47.07	9.667	3.037	18.437	3.153	17.699	1.983	2.402	3.548	5.881	3.593	2.45	16.253	1.73	1.928	2.528	4.854	3.475	2.048	13.656	0.708	1.591	2.385	3.589	2.984
31.00696	0.756	51.166	36.735	34.518	45.939	9.233	4.311	19.538	0.533	51.121	38.189	33.644	46.836	9.165	2.416	18.471	0.834	51.906	38.131	35.967	47.011	10.309	3.096	19.269	3.036	17.992	2.384	2.746	3.635	6.095	3.815	2.424	16.492	1.736	1.876	2.745	4.931	3.27	2.109	13.505	0.746	1.344	2.363	3.618	2.903
31.17352	0.92	51.054	36.913	34.556	45.66	9.223	4.248	19.497	0.611	51.149	38.48	33.455	46.897	9.41	2.691	18.288	0.995	52.161	37.855	35.69	47.071	9.873	3.032	18.576	2.942	18.092	1.895	2.569	3.854	6.337	3.663	2.246	16.621	1.701	1.982	2.705	5.006	3.458	2.103	13.409	0.995	1.508	2.47	3.695	2.981
31.34024	0.609	51.291	37.941	34.727	46.052	9.265	4.563	19.954	0.646	51.364	38.348	33.796	46.95	9.226	2.755	18.546	0.865	51.918	38.632	35.533	47.693	9.922	3.066	19.118	2.898	17.614	2.267	2.685	3.746	5.966	3.934	2.394	16.962	1.815	1.9	2.839	5.279	3.249	1.991	13.542	0.85	1.421	2.499	3.561	2.928
31.50693	0.826	51.306	37.909	35.18	46.299	9.138	4.524	19.848	0.662	51.179	38.883	33.682	47.367	9.467	2.63	18.497	0.767	51.99	39.081	35.67	47.429	9.877	2.969	19.097	3.054	17.707	2.143	2.477	3.792	6.288	3.834	2.722	16.744	2.061	1.918	2.908	5.037	3.46	2.151	13.696	0.785	1.44	2.489	3.577	3.059
31.67367	0.938	51.041	38.071	34.866	46.614	9.492	4.294	19.958	0.684	51.446	39.353	33.936	47.85	9.226	2.595	18.918	0.954	52.092	39.153	36.252	47.033	10.564	3.02	19.094	2.957	18.467	2.14	2.53	3.842	6.065	3.988	2.348	17.394	1.89	2.142	2.774	4.991	3.584	2.121	13.818	1.015	1.16	2.376	3.739	3.14
31.84038	0.712	51.72	38.099	34.951	46.53	9.577	4.492	19.929	0.599	51.304	39.353	34.021	47.935	9.566	2.51	18.72	0.954	52.035	39.153	35.743	47.91	10.111	3.105	19.659	2.957	17.986	2.14	2.558	4.012	6.319	3.734	2.518	17.055	2.031	2.142	3.029	5.189	3.33	2.291	14.016	0.732	1.386	2.461	4.163	3.112
32.00696	1.247	50.918	38.458	35.006	46.392	9.281	4.431	19.784	0.846	51.316	39.624	33.906	46.807	9.607	2.645	18.576	0.772	52.08	39.619	35.787	47.063	10.09	3.071	19.288	3.058	17.757	2.08	2.753	4.006	6.096	4.114	2.286	16.912	1.917	1.913	3.007	5.142	3.454	2.006	13.769	0.792	1.36	2.601	3.731	2.996
32.17374	0.811	51.297	38.849	35.139	47.103	9.106	4.506	19.817	0.612	51.416	39.875	33.983	47.801	9.829	2.608	18.807	0.681	52.206	39.957	36.689	48.199	9.92	3.062	19.463	3.08	17.507	2.267	2.686	3.997	6.296	4.11	2.389	17.255	2.103	2.015	2.837	5.196	3.649	2.503	14.079	0.919	1.544	2.533	3.836	3.352
32.34029	0.841	51.194	39.312	35.226	46.392	9.686	4.68	20.869	0.449	51.801	40.313	34.324	47.657	9.929	2.869	19.037	0.891	52.444	40.198	36.222	47.52	10.337	3.407	19.807	2.979	18.275	2.072	2.802	4.116	6.434	4.098	2.594	17.002	1.963	2.216	2.914	5.243	3.44	2.109	14.213	0.774	1.655	2.561	3.929	3.243
32.507	1.104	51.48	39.39	35.338	47.026	9.205	4.601	20.46	0.623	51.431	40.445	34.351	48.092	9.844	2.676	19.336	0.808	52.615	40.471	36.128	47.7	10.389	3.441	19.653	3.207	18.234	2.391	2.611	4.178	6.653	4.153	2.514	17.133	2.056	2.279	3.051	5.777	3.494	2.287	13.897	0.899	1.553	2.627	3.99	3.363
32.67371	0.763	51.271	39.577	35.335	46.38	9.333	4.625	20.031	0.56	51.387	40.601	34.292	47.303	9.772	2.811	19.36	0.909	52.405	40.568	36.2	47.445	10.254	3.124	19.845	3.166	18.484	2.331	2.665	4.228	6.344	4.194	2.734	17.329	2.084	2.248	3.058	5.334	3.788	2.257	13.877	0.817	1.47	2.598	3.953	3.162
32.84028	0.7	51.413	40.063	35.288	47.4	9.69	4.618	20.497	0.665	51.612	40.918	34.16	47.73	9.677	2.888	19.346	1.154	52.265	41.138	36.432	48.154	10.215	3.201	19.662	3.298	18.301	2.182	2.658	4.164	6.502	4.41	2.641	17.372	2.162	2.015	3.301	5.296	3.721	2.251	14.035	0.896	1.52	2.648	3.86	3.07
33.00699	0.888	51.146	40.228	35.512	47.391	9.761	4.692	20.731	0.541	51.738	41.477	34.554	47.834	9.86	2.735	19.749	0.915	52.392	41.528	36.258	47.693	10.649	3.387	20.121	3.285	18.647	2.341	2.901	4.294	6.371	4.169	2.545	16.958	1.983	2.061	3.059	5.224	3.79	2.241	14.273	0.888	1.681	2.554	3.932	3.257
33.17362	0.72	51.298	40.439	35.741	47.078	9.775	4.668	20.849	0.689	51.868	41.577	34.415	48.454	9.621	2.911	19.048	0.701	52.772	41.715	36.328	48.513	10.615	3.421	19.873	3.269	18.511	2.26	2.763	4.272	6.849	4.44	2.551	17.581	1.955	2.177	3.278	5.694	3.582	2.242	13.955	0.885	1.538	2.837	4.054	3.091
33.34043	0.697	51.653	40.588	35.757	47.077	9.573	4.643	20.378	0.492	51.597	41.781	34.573	47.887	9.87	2.884	19.537	0.84	52.251	41.409	36.365	47.916	10.548	3.225	19.994	3.378	18.323	2.348	2.739	4.414	6.58	4.574	2.553	17.479	2.074	2.096	2.957	5.488	3.97	2.332	13.776	0.865	1.771	2.645	3.94	3.602
33.5071	0.681	51.161	40.901	35.765	47.946	9.577	4.85	20.795	0.614	51.695	42.373	34.779	47.825	9.958	2.892	19.897	1.071	52.435	42.085	36.226	48.191	10.802	3.206	19.96	3.186	18.542	2.387	2.58	4.479	6.888	4.549	2.618	18.038	1.973	2.136	3.437	5.687	3.69	2.681	13.89	1.19	1.531	2.967	4.117	3.302
33.67371	0.855	51.713	40.881	35.556	46.762	9.685	4.684	20.803	0.502	51.594	42.125	34.88	48.302	10.178	2.837	19.117	1.181	52.367	42.315	36.656	48.637	10.988	3.377	20.447	3.605	19.508	2.024	2.809	4.508	6.593	4.543	2.507	17.823	2.035	2.055	3.061	5.51	3.908	2.376	14.19	0.832	1.51	2.804	3.976	3.39
33.84047	0.929	50.997	41.41	36.089	47.119	9.953	4.73	20.979	0.772	51.663	42.373	34.513	48.349	10.5	2.994	19.688	0.858	52.466	42.28	36.427	48.431	10.83	3.421	20.595	3.338	19.121	2.464	2.771	4.356	6.743	4.612	2.552	18.14	2.11	2.017	2.96	5.578	3.949	2.282	14.033	0.824	1.727	2.794	4.048	3.464
34.00713	0.885	51.612	41.43	35.869	47.548	9.869	4.858	20.724	0.481	51.808	42.96	34.996	48.329	10.194	3.069	19.15	1.052	52.548	43.011	36.642	48.583	10.869	3.58	20.594	3.393	19.712	2.422	3.01	4.29	6.731	4.728	2.541	18.22	2.092	2.255	3.223	5.444	4.011	2.294	14.239	0.942	1.79	2.833	4.126	3.338
34.17378	0.943	51.389	41.82	36.157	47.394	10.422	4.603	21.344	0.703	51.89	42.756	34.918	48.173	10.154	3.01	20.137	0.932	52.381	43.34	37.033	48.735	11.106	3.549	20.369	3.413	19.684	2.45	2.953	4.709	7.134	4.801	2.511	18.336	2.291	2.199	3.066	5.599	3.913	2.295	14.28	1.116	1.654	2.638	3.98	3.45
34.34045	0.939	52.107	42.372	35.978	47.55	10.164	4.994	20.859	0.53	51.791	43.251	34.88	48.133	10.403	2.921	20.13	1.35	52.761	43.3	37.36	48.806	10.566	3.686	21.122	3.436	19.733	2.531	3.063	4.452	7.099	4.937	2.648	18.583	2.316	2.224	3.089	5.847	3.964	2.348	14.528	0.832	1.735	2.55	4.145	3.615
34.50719	0.747	51.617	42.519	35.966	47.97	10.102	4.912	21.204	0.644	51.859	43.396	34.924	48.299	9.975	2.922	20.026	0.896	52.27	43.302	36.692	48.464	10.808	3.406	20.511	3.32	20.386	2.534	2.953	4.425	7.225	4.93	2.705	19.322	2.265	2.2	3.472	5.979	3.928	2.156	14.462	0.813	1.799	2.837	4.06	3.618
34.67373	0.82	51.432	42.715	36.043	47.582	10.239	5.127	20.817	0.579	51.79	43.763	35.057	48.192	10.505	2.914	20.567	1.003	52.592	43.811	37.0	48.303	10.92	3.875	20.377	3.568	20.225	2.468	2.971	4.697	6.946	4.955	2.668	18.879	2.366	2.217	3.415	5.499	4.151	2.285	14.517	1.024	1.73	2.685	4.221	3.467
34.84053	0.85	51.499	42.535	36.216	47.946	10.169	5.301	20.795	0.529	51.976	43.952	35.089	49.037	10.353	2.864	20.094	0.902	52.464	44.058	37.268	49.121	11.309	3.544	20.664	3.525	20.91	2.584	3.059	4.564	7.255	4.916	2.928	19.757	2.396	2.333	3.296	5.884	4.198	2.4	14.341	0.964	1.756	2.826	4.343	3.472
35.00708	0.738	51.856	42.878	36.161	48.298	10.284	5.013	21.211	0.913	51.816	44.091	35.007	48.823	10.297	2.911	20.483	0.883	52.454	43.857	36.379	48.314	10.959	3.647	20.574	3.362	21.039	2.411	3.027	4.807	7.375	4.971	2.694	19.92	2.368	2.161	3.259	5.794	4.081	2.455	14.473	0.833	1.79	2.856	4.216	3.27
35.17379	0.848	51.685	43.419	36.409	48.369	10.436	4.986	21.183	0.495	51.847	44.353	35.226	48.558	10.477	3.195	20.06	0.919	52.423	44.514	36.831	48.837	11.595	3.453	20.967	3.511	21.351	2.524	2.943	4.782	7.031	5.349	2.725	19.948	2.394	2.301	3.387	5.724	4.32	2.51	14.855	0.995	1.842	2.938	4.08	3.439
35.34056	0.962	51.856	43.159	36.47	48.635	10.088	5.069	21.267	0.548	51.844	44.653	35.316	48.795	10.606	3.079	20.707	0.827	52.622	44.756	36.8	48.679	11.296	3.563	21.08	3.475	22.106	2.608	2.943	4.498	7.403	5.167	2.722	20.481	2.452	2.358	3.259	5.85	4.109	2.455	14.81	0.833	2.043	2.856	4.469	3.832
35.5071	1.164	51.797	43.948	36.513	48.057	9.882	5.106	21.394	0.84	51.988	44.912	35.358	48.386	10.684	3.259	20.412	0.843	52.536	44.932	36.572	48.694	11.157	3.546	20.784	3.746	21.956	2.728	2.95	4.705	7.184	5.303	2.845	21.003	2.232	2.28	3.483	5.904	3.824	2.292	14.528	0.917	1.82	2.973	4.426	3.615
35.67381	0.929	51.7	44.11	36.399	47.879	10.121	5.264	21.316	0.659	51.86	45.129	35.244	48.996	11.007	3.022	20.616	1.027	52.719	44.811	37.299	49.415	11.533	3.675	21.213	3.563	22.665	2.689	3.024	4.665	7.362	5.259	2.664	20.869	2.278	2.185	3.297	5.663	4.118	2.591	14.821	0.936	1.811	3.075	4.217	3.689
35.84058	0.774	52.026	44.213	36.355	47.606	10.059	5.412	21.702	0.777	51.674	45.003	35.257	48.917	10.66	2.859	20.385	0.941	52.539	45.245	37.071	48.407	11.206	3.821	20.588	3.363	22.987	2.586	3.062	4.867	7.955	5.389	2.839	21.14	2.264	2.309	3.562	5.763	3.994	2.323	14.749	0.788	2.025	2.752	4.416	3.586
