	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
27.67329	1.192	30.354	28.893	26.79	31.733	5.455	6.652	2.277	1.261	30.463	26.374	28.187	31.001	7.731	10.731	2.403	1.198	32.282	27.162	28.499	32.299	6.315	8.485	2.354	1.561	4.731	1.652	19.34	3.382	1.369	3.06	1.386	9.035	2.633	1.068	1.284	1.245	3.922	1.491
27.84009	1.111	30.759	29.163	27.33	31.679	5.86	7.003	2.601	1.207	30.463	27.023	28.187	31.757	8.002	11.001	2.484	1.144	31.065	27.0	27.689	31.677	6.72	8.782	2.192	1.615	4.812	1.625	20.016	3.49	1.558	3.114	1.44	9.251	2.552	1.23	1.284	1.163	3.949	1.708
28.00662	1.342	31.259	29.529	27.266	31.692	6.005	7.391	2.183	1.383	30.045	26.149	27.798	31.041	8.09	11.951	2.228	1.347	31.348	27.206	28.569	31.635	6.729	9.275	2.254	1.602	4.984	1.774	20.119	3.475	1.545	3.045	1.427	9.42	2.619	1.135	1.351	1.096	4.068	1.478
28.17344	1.214	31.337	29.498	26.91	31.582	6.097	7.402	2.245	1.445	31.176	26.251	27.577	31.038	8.642	12.424	2.452	1.436	32.453	26.877	27.998	32.255	7.091	9.152	2.104	1.529	5.156	1.728	21.381	3.781	1.391	3.216	1.462	10.243	2.79	1.035	1.332	1.077	4.402	1.54
28.34006	1.369	30.638	29.016	26.942	31.989	6.167	7.472	2.237	1.248	30.585	25.528	28.824	30.609	8.657	12.41	2.525	1.293	30.943	26.639	29.244	32.31	6.864	9.437	2.146	1.467	5.551	1.693	22.685	3.772	1.221	3.423	1.454	10.365	2.835	1.135	1.351	1.204	4.473	1.451
28.50659	1.281	31.757	29.349	27.245	31.759	6.655	7.771	2.311	1.403	30.65	25.044	28.561	30.863	9.338	13.664	2.465	1.368	31.199	25.941	28.712	31.784	7.435	9.902	2.258	1.569	5.66	1.795	22.658	3.823	1.485	3.447	1.285	10.967	2.939	1.157	1.346	1.171	4.689	1.553
28.67334	1.222	31.146	29.603	28.527	31.904	6.702	8.25	2.441	1.344	30.904	25.381	28.032	31.36	9.357	13.33	2.541	1.471	31.425	26.007	29.507	32.686	7.914	10.489	2.088	1.537	6.139	1.871	22.564	4.142	1.237	3.441	1.55	11.445	3.095	1.206	1.422	1.031	4.736	1.575
28.84011	1.31	30.467	29.762	27.604	31.875	7.145	8.775	2.449	1.271	30.739	24.97	28.786	30.601	9.64	13.859	2.549	1.451	31.694	25.948	28.558	31.819	7.817	10.907	2.126	1.572	5.907	1.878	24.856	4.151	1.461	3.639	1.558	11.837	3.104	1.16	1.295	1.093	4.99	1.664
29.00678	1.286	30.63	29.845	28.041	31.359	6.974	8.899	2.505	1.462	31.089	25.52	29.896	31.005	10.084	15.159	2.712	1.291	31.339	25.632	29.614	32.247	8.21	10.783	2.223	1.6	6.439	1.934	25.161	4.417	1.543	3.798	1.425	11.873	3.183	1.105	1.321	1.283	5.01	1.692
29.1735	1.404	30.507	29.234	28.427	31.403	7.028	8.74	2.408	1.364	29.697	24.951	28.987	30.75	10.635	14.966	2.778	1.41	30.978	25.254	29.192	32.539	8.242	11.308	2.362	1.585	6.249	2.054	25.542	4.735	1.257	4.114	1.733	12.293	3.28	1.255	1.389	1.242	5.088	1.732
29.34014	1.354	30.273	28.73	29.114	32.409	7.563	9.355	2.358	1.45	31.49	24.563	29.268	30.974	11.002	16.623	2.565	1.36	31.579	25.73	29.337	32.218	8.396	11.458	2.436	1.696	6.947	1.976	27.34	5.031	1.558	3.979	1.521	12.873	3.336	1.203	1.5	1.218	5.301	1.816
29.50686	1.303	30.632	29.333	28.527	31.066	7.648	10.143	2.387	1.371	30.661	24.57	28.6	30.766	11.033	16.169	2.73	1.39	31.831	25.007	28.777	32.443	9.049	12.3	2.25	1.645	7.221	2.033	28.078	5.25	1.48	4.333	1.469	13.527	3.501	1.395	1.368	1.247	5.764	1.737
29.67351	1.288	31.556	28.26	28.535	31.557	7.706	9.875	2.534	1.464	30.612	25.015	28.311	31.014	11.924	16.676	2.741	1.374	31.348	25.532	29.055	31.743	9.375	12.704	2.254	1.71	7.36	1.936	28.139	5.257	1.437	4.314	1.508	13.821	3.51	1.108	1.567	1.096	5.904	1.694
29.84015	1.34	30.414	29.305	28.77	32.034	8.539	10.438	2.505	1.381	30.603	25.169	28.816	30.951	12.325	16.725	2.685	1.345	31.609	25.443	30.396	32.49	9.587	12.7	2.304	1.627	7.734	2.096	27.861	5.416	1.3	4.392	1.452	14.491	3.75	1.267	1.348	1.094	5.766	1.8
30.00684	1.45	31.07	28.8	29.21	32.286	8.543	10.874	2.534	1.437	30.045	25.339	28.743	30.879	11.816	18.566	2.822	1.347	30.538	25.748	29.649	32.256	9.726	13.595	2.497	1.683	7.981	2.179	29.165	5.851	1.518	4.395	1.751	14.469	3.645	1.108	1.513	1.015	6.174	1.721
30.17341	1.413	31.28	28.148	28.261	32.279	8.635	11.1	2.605	1.427	30.093	25.121	28.523	30.684	13.093	17.734	2.866	1.499	30.532	25.503	29.374	32.761	10.087	13.9	2.563	1.7	8.37	2.115	29.321	6.053	1.346	4.841	1.498	15.987	4.038	1.178	1.556	1.059	6.618	1.845
30.34014	1.544	31.273	28.974	29.114	32.247	8.914	12.084	2.466	1.45	30.166	25.698	28.349	31.001	13.677	19.893	2.836	1.36	30.471	25.595	29.851	32.38	10.45	14.674	2.517	1.696	8.649	2.138	29.151	6.247	1.369	4.87	1.521	15.17	4.173	1.068	1.5	1.001	6.247	1.87
30.50688	1.384	31.146	29.009	29.581	31.688	9.026	11.9	2.604	1.479	30.093	25.787	27.465	30.739	14.358	19.953	3.054	1.633	31.398	25.359	29.588	32.686	10.698	14.949	2.493	1.618	8.762	2.195	29.213	6.358	1.615	5.063	1.55	16.852	4.393	1.206	1.584	1.22	7.061	1.899
30.67356	1.487	30.851	28.476	29.316	31.795	9.81	12.544	2.732	1.447	30.393	25.478	27.772	31.253	14.319	20.979	3.019	1.491	30.669	26.263	29.512	31.953	10.883	15.853	2.686	1.853	9.356	2.242	29.728	6.447	1.419	5.479	1.652	17.265	4.541	1.116	1.602	1.186	7.335	2.026
30.8403	1.511	31.328	28.657	28.581	32.245	9.995	12.863	2.837	1.444	30.142	25.12	28.411	30.786	15.284	20.811	2.882	1.408	31.119	25.312	29.666	32.429	11.472	15.282	2.682	1.581	9.891	2.32	28.965	7.199	1.416	5.314	1.596	16.397	4.673	1.491	1.626	1.075	7.062	1.996
31.00685	1.519	30.786	28.923	28.874	32.432	10.169	13.389	2.818	1.452	30.975	25.465	28.461	31.269	15.408	20.398	3.025	1.415	31.09	26.251	30.229	32.995	12.187	17.051	2.694	1.832	9.985	2.409	29.987	7.291	1.451	5.836	1.658	17.546	4.602	1.256	1.769	1.218	7.397	2.032
31.17354	1.425	31.069	29.557	28.996	33.333	10.822	13.446	2.751	1.412	30.827	25.591	27.479	30.878	14.977	21.742	3.092	1.429	30.375	25.918	29.892	32.385	12.244	17.104	2.701	1.899	10.233	2.396	29.003	7.757	1.438	5.954	1.483	17.787	5.017	1.188	1.782	1.07	7.485	2.099
31.34017	1.411	30.267	28.487	29.165	31.989	11.011	14.253	2.924	1.424	30.616	26.894	27.865	31.259	16.453	23.991	3.157	1.306	30.083	26.036	28.794	32.441	12.593	17.421	2.57	1.749	10.988	2.487	28.389	8.031	1.503	6.014	1.495	18.83	5.24	1.145	1.846	1.054	7.946	2.001
31.50686	1.492	30.786	28.923	29.197	32.702	11.653	14.009	2.926	1.694	30.004	25.95	27.598	31.269	17.323	23.581	3.187	1.577	31.414	26.359	28.934	32.752	13.401	18.022	2.694	1.751	11.037	2.436	29.636	8.181	1.424	6.376	1.765	19.866	5.33	1.014	1.931	1.137	8.287	2.193
31.67356	1.512	31.013	29.336	28.936	32.851	11.635	15.101	2.785	1.472	30.204	26.44	27.739	31.2	17.017	24.149	3.289	1.706	30.914	26.58	29.429	32.741	13.764	19.229	2.833	2.096	11.262	2.592	28.568	8.725	1.472	6.485	1.705	20.077	5.464	1.36	1.873	1.212	8.401	2.297
31.84023	1.47	31.243	29.457	29.3	32.3	12.009	15.127	3.041	1.62	29.406	26.639	27.939	31.188	18.073	25.185	3.303	1.395	31.199	26.13	29.145	32.406	14.52	18.529	2.772	1.813	11.771	2.552	29.527	9.286	1.701	6.881	1.88	20.73	5.805	1.211	1.914	1.171	8.908	2.229
32.00704	1.585	31.178	29.475	30.506	32.988	12.971	15.626	3.047	1.437	31.071	26.608	28.473	31.446	18.809	26.127	3.47	1.59	30.538	26.774	28.65	32.823	15.072	19.562	2.875	1.791	12.436	2.692	29.3	9.442	1.599	6.798	1.697	21.651	6.021	1.27	1.945	1.096	8.955	2.207
32.17361	1.559	31.43	29.481	29.621	32.217	13.43	15.872	2.995	1.465	30.269	26.986	28.179	31.185	19.714	27.236	3.339	1.7	31.603	26.639	29.25	32.675	15.239	20.874	2.675	1.821	12.273	2.641	28.794	10.462	1.628	6.973	1.86	21.831	6.302	1.301	1.922	1.044	9.056	2.562
32.3403	1.635	30.115	29.357	29.524	32.876	13.61	16.349	3.125	1.568	30.442	26.809	27.731	31.466	19.404	26.03	3.468	1.56	31.586	27.355	29.883	32.252	15.607	20.374	3.046	1.707	13.48	2.717	28.616	10.426	1.569	7.723	1.855	22.846	6.593	1.133	1.998	1.12	9.561	2.313
32.50695	1.519	30.929	29.657	29.5	32.931	13.946	17.495	3.198	1.533	31.039	27.463	28.6	30.658	20.494	26.522	3.406	1.606	30.83	27.251	29.372	32.389	16.537	21.978	2.818	1.969	13.844	2.682	29.241	11.197	1.453	8.253	1.604	23.177	6.853	1.233	1.989	1.112	9.629	2.359
32.67363	1.51	30.425	29.964	29.508	33.033	14.2	17.703	3.247	1.498	30.293	27.083	28.17	30.805	21.015	28.338	3.565	1.572	31.333	27.279	29.244	32.382	16.882	22.882	3.269	1.829	14.667	2.839	28.791	11.658	1.663	8.188	1.84	24.765	6.999	1.446	2.122	1.16	10.25	2.518
32.84029	1.487	31.111	30.487	29.193	32.603	14.506	18.439	3.223	1.638	30.707	27.937	28.182	31.489	22.122	28.349	3.62	1.656	30.418	27.834	28.848	33.035	17.806	22.578	2.989	1.913	14.404	2.869	28.827	11.942	1.585	8.234	1.79	24.999	7.454	1.231	2.15	1.271	10.075	2.628
33.0071	1.717	30.203	30.528	30.154	33.405	14.938	19.443	3.317	1.569	30.287	28.083	29.061	31.612	22.372	29.418	3.553	1.832	31.191	27.872	29.484	33.296	17.916	23.18	3.063	2.143	15.134	3.126	28.461	12.724	1.598	8.66	1.911	26.715	8.014	1.109	2.192	1.203	10.368	2.778
33.17376	1.709	31.398	30.585	29.507	33.379	15.6	19.886	3.228	1.67	30.398	28.467	28.469	31.939	22.975	29.719	3.924	1.743	31.166	27.849	29.351	32.457	18.901	24.0	2.969	1.837	15.85	3.064	28.111	13.333	1.59	9.054	1.903	28.183	8.03	1.236	2.238	1.114	10.598	2.58
33.34031	1.62	31.049	30.669	29.077	33.677	17.29	20.193	3.247	1.743	31.89	28.362	28.418	31.481	23.956	31.455	3.834	1.708	30.843	28.151	29.815	32.864	18.693	24.277	3.147	1.91	16.267	3.299	28.331	14.266	1.663	9.502	1.895	28.484	8.506	1.309	2.256	1.133	11.316	2.788
33.5071	1.709	30.857	30.937	28.992	33.135	17.009	21.484	3.336	1.67	31.834	28.385	28.767	31.452	23.679	31.453	4.033	1.662	31.328	28.228	29.92	32.945	19.822	24.731	3.132	2.216	16.744	3.199	29.005	15.229	1.481	9.488	1.876	28.399	8.734	1.264	2.238	1.141	11.573	2.796
33.67365	1.507	30.688	31.231	28.659	33.594	16.961	20.79	3.488	1.658	30.095	28.486	28.895	31.556	24.996	32.317	4.023	1.596	30.918	28.709	29.996	32.591	19.507	25.75	3.237	2.097	17.863	3.325	28.566	16.02	1.741	9.513	1.919	27.578	9.517	1.253	2.282	1.13	11.602	2.895
33.84041	1.678	30.794	31.853	28.574	33.213	17.439	22.002	3.442	1.747	30.146	29.133	28.783	31.663	25.235	31.909	3.787	1.821	30.753	29.113	29.857	32.78	20.286	27.808	3.195	2.105	19.265	3.469	28.482	16.525	1.614	9.688	1.981	29.61	10.018	1.18	2.345	1.165	12.05	2.904
34.00713	1.502	30.645	32.217	29.05	33.007	18.089	23.245	3.537	1.897	30.187	29.338	29.34	31.295	26.473	31.189	4.207	1.808	31.47	29.642	30.549	33.386	21.935	27.688	3.392	2.092	18.908	3.482	28.713	17.663	1.736	10.752	1.886	28.105	9.997	1.356	2.439	1.206	12.162	3.052
34.17373	1.774	31.052	31.621	28.129	33.305	19.119	23.407	3.483	1.761	30.621	29.392	29.638	31.892	27.503	30.267	4.125	1.754	31.145	30.022	30.468	32.926	21.61	29.071	3.582	2.092	19.125	3.536	28.929	18.639	1.817	10.833	1.995	28.756	10.485	1.248	2.52	1.125	12.704	3.215
34.34047	1.712	30.052	32.219	29.189	33.198	18.911	24.281	3.664	1.835	31.599	29.368	29.696	31.189	27.344	30.161	4.361	1.718	30.93	30.052	31.5	32.574	22.213	29.237	3.57	2.165	19.947	3.879	27.957	18.215	1.674	10.874	2.068	28.922	11.258	1.348	2.511	1.361	13.285	3.179
34.50709	1.717	31.748	32.399	28.365	33.893	20.116	24.919	3.778	1.921	30.667	30.387	29.224	32.263	28.065	31.316	4.285	1.724	30.893	30.149	32.167	33.079	22.552	30.011	3.632	2.252	20.095	3.885	28.027	20.016	1.815	11.452	1.992	28.369	11.945	1.272	2.572	1.149	12.889	3.293
34.67386	1.74	30.9	32.475	28.679	33.375	20.335	24.411	3.858	1.945	30.822	29.836	29.892	32.122	28.38	30.984	4.421	1.666	31.049	30.25	31.918	32.806	24.188	29.406	3.587	2.277	20.804	4.075	28.017	19.855	1.784	11.955	2.151	28.575	12.394	1.352	2.707	1.173	13.64	3.483
34.84048	1.752	31.177	32.831	28.551	33.377	20.975	26.485	3.868	1.739	30.8	30.276	30.495	31.882	29.851	31.558	4.565	1.732	31.46	30.743	32.247	32.943	25.664	30.199	3.563	2.314	21.416	3.867	27.915	21.662	1.904	12.524	2.081	28.69	12.908	1.579	2.689	1.157	13.989	3.465
35.0072	1.833	31.177	32.695	28.578	33.512	21.084	26.133	3.678	1.658	31.397	30.439	30.007	31.8	30.936	30.771	4.701	1.759	31.731	30.743	32.111	33.025	25.094	31.284	3.59	2.341	21.904	4.193	27.752	22.53	1.823	12.578	1.973	29.531	13.803	1.28	2.608	1.157	14.07	3.627
35.17374	1.744	30.908	33.564	29.232	33.242	22.826	26.979	4.076	1.677	30.748	31.228	30.389	32.561	31.345	31.153	4.61	1.67	32.817	30.827	32.791	33.676	26.482	32.261	4.039	2.387	23.212	4.129	27.864	23.242	1.923	13.133	2.209	28.829	14.845	1.245	2.734	1.285	15.03	3.862
35.34047	1.94	31.612	33.461	29.037	33.356	23.676	28.706	4.222	1.956	31.861	31.118	30.142	31.749	30.939	30.365	4.922	1.84	32.306	31.152	32.115	33.167	27.151	32.02	3.713	2.342	22.786	4.631	28.402	24.527	2.04	12.952	2.271	29.993	15.565	1.553	2.882	1.184	15.454	3.984
35.50712	1.789	31.4	33.788	29.098	33.982	22.467	28.279	3.771	1.858	31.05	31.476	30.881	31.264	31.404	31.673	4.957	1.851	31.331	31.564	32.281	33.548	27.757	31.643	3.905	2.488	24.32	4.449	28.164	24.484	1.833	13.818	2.336	29.292	15.587	1.427	2.864	1.168	14.932	3.884
35.67377	1.75	30.824	34.113	29.145	33.845	23.431	28.515	4.032	1.874	31.725	31.2	30.685	32.048	32.134	30.746	4.759	1.704	31.817	31.75	33.148	32.923	27.478	30.933	4.011	2.668	25.803	4.631	28.239	25.859	1.877	14.283	2.244	29.367	16.027	1.281	3.018	1.238	15.59	4.12
35.84059	1.833	31.855	34.648	29.663	33.919	24.067	29.876	4.221	1.821	32.183	31.605	30.983	31.393	30.583	31.504	4.864	1.813	32.545	32.588	32.41	33.621	28.675	29.846	3.915	2.64	27.275	4.708	26.776	26.192	1.904	13.907	2.244	28.284	17.383	1.28	3.069	1.266	16.267	4.36
36.00727	1.843	31.644	34.168	29.179	33.737	25.073	30.586	4.096	1.777	31.647	32.371	31.043	32.078	30.4	30.479	4.876	1.851	33.014	32.378	33.394	33.738	28.761	30.231	4.068	2.732	28.228	4.721	27.295	26.656	2.023	14.578	2.39	29.536	17.949	1.373	3.081	1.304	16.263	4.671
36.17386	1.804	31.449	35.146	29.553	33.872	25.225	29.793	4.304	1.928	32.35	31.933	31.066	31.966	30.748	31.643	5.357	1.948	31.708	33.0	33.284	32.923	29.163	30.362	4.093	2.777	28.874	5.201	28.239	27.734	2.339	15.86	2.597	30.074	19.125	1.39	3.1	1.293	17.356	4.637
36.34061	2.069	31.938	34.838	29.693	33.811	24.616	32.346	4.429	1.976	31.67	32.42	31.338	32.317	29.962	30.665	5.397	1.995	32.655	32.318	32.709	33.92	28.054	30.472	4.12	2.739	28.824	5.349	27.62	28.744	2.113	15.383	2.372	29.019	20.213	1.245	3.358	1.149	16.548	4.974
36.50723	1.952	32.377	35.499	30.048	34.172	26.62	32.242	4.531	2.021	32.489	32.887	31.722	31.943	31.838	30.886	5.256	2.068	33.584	33.409	33.72	33.223	30.933	30.068	4.258	2.977	29.857	5.372	28.245	28.61	2.295	16.804	2.418	30.134	20.175	1.292	3.38	1.276	18.841	5.133
36.67386	2.018	32.407	36.013	29.755	34.254	26.765	33.114	4.649	2.005	31.868	32.998	32.078	32.055	31.434	31.189	5.4	1.97	32.691	33.302	33.586	33.739	31.153	29.694	4.341	2.959	29.482	5.678	27.872	29.403	2.143	17.015	2.537	29.515	21.113	1.356	3.361	1.369	19.048	5.302
36.84056	1.952	32.675	35.661	30.292	34.145	28.059	30.749	4.639	1.858	31.674	33.376	31.966	32.703	31.621	31.049	5.663	1.932	32.254	33.409	33.829	33.901	32.371	30.638	4.149	2.814	29.233	5.698	27.458	29.045	2.213	17.754	2.58	28.559	22.021	1.264	3.624	1.385	19.086	5.296
37.00732	1.794	32.584	35.951	30.634	34.407	28.617	30.847	4.673	2.189	31.664	33.638	32.228	32.095	30.796	30.387	5.751	2.073	32.842	34.106	34.199	34.544	32.036	29.813	4.185	2.928	29.548	5.922	26.822	29.957	2.219	17.467	2.586	29.172	22.604	1.27	3.494	1.309	19.967	5.655
37.17394	1.832	32.25	36.309	30.522	34.445	28.781	31.494	4.676	2.117	32.469	34.193	32.354	31.897	30.275	30.599	6.102	2.027	32.369	34.279	34.427	33.902	31.862	29.189	4.222	3.041	28.787	5.946	27.151	30.061	2.253	18.398	2.756	28.441	23.221	1.331	3.495	1.236	20.671	6.003
37.3406	2.018	33.004	36.854	31.735	34.85	28.934	30.646	4.784	2.087	32.681	33.812	32.322	31.946	30.919	31.433	5.834	1.916	32.772	34.766	34.752	33.603	31.207	29.857	4.422	3.122	29.726	6.22	27.249	29.864	2.278	18.641	2.7	29.271	24.286	1.275	3.605	1.287	21.597	6.089
37.50725	1.983	33.52	37.286	30.625	34.146	29.587	30.459	4.938	2.052	32.845	34.571	32.378	32.354	30.325	30.73	5.986	2.071	32.935	34.821	34.887	34.227	31.046	30.754	4.572	3.059	29.81	6.074	26.141	30.842	2.216	18.705	2.827	30.277	24.481	1.402	3.704	1.415	22.01	6.186
37.6739	1.941	32.587	37.306	31.073	34.624	30.74	30.798	4.953	1.848	32.644	34.29	32.936	32.316	30.095	30.799	6.22	2.22	34.173	35.219	35.041	34.082	30.655	29.548	4.729	3.074	29.011	6.498	26.83	30.938	2.365	19.386	2.787	29.26	25.005	1.362	3.937	1.347	22.207	6.584
37.84077	2.072	32.95	37.396	31.409	34.335	31.862	31.053	5.191	1.978	32.844	34.652	32.431	32.651	31.001	30.782	6.322	2.079	33.775	35.444	34.616	34.471	31.153	29.776	4.965	3.203	29.238	6.573	27.384	30.542	2.224	20.16	2.7	28.593	26.211	1.437	3.876	1.423	23.197	6.577
38.00737	1.936	32.923	38.155	31.328	34.715	31.591	31.216	5.11	2.005	32.709	34.652	33.0	32.705	30.811	30.999	6.457	2.079	33.585	35.634	35.429	34.091	30.719	30.155	4.802	3.23	30.242	6.817	26.571	30.948	2.278	21.298	2.862	28.783	26.888	1.41	3.876	1.287	24.173	6.956
38.17404	2.049	34.03	37.702	31.494	34.545	30.781	31.249	5.402	2.172	32.789	35.401	33.242	32.543	30.49	30.409	6.771	2.163	34.39	36.107	35.769	33.813	31.128	29.839	4.99	3.255	28.626	6.911	26.183	31.87	2.334	21.175	2.864	28.147	28.744	1.438	4.112	1.453	25.548	7.237
38.34061	2.015	33.005	38.375	32.009	34.761	29.461	30.954	5.312	2.164	33.735	35.563	33.405	32.706	30.006	30.762	6.437	2.154	33.499	36.079	35.741	34.218	31.345	29.167	4.977	3.381	29.33	7.225	26.835	31.088	2.406	22.128	2.963	29.069	28.019	1.456	4.129	1.391	25.391	7.441
38.50737	1.98	33.674	38.089	32.161	34.652	30.988	31.725	5.639	2.049	33.243	35.646	33.535	32.508	29.531	30.83	6.796	2.203	34.037	36.247	35.907	34.299	31.336	29.825	5.11	3.517	29.802	7.534	26.134	31.971	2.43	22.708	2.987	28.589	28.863	1.345	4.242	1.412	26.23	7.862
38.67416	2.068	33.307	38.526	32.499	34.661	29.812	31.469	5.587	2.136	33.417	36.546	33.465	32.521	30.332	30.331	6.876	2.263	34.209	36.822	35.59	34.2	30.619	28.489	4.993	3.601	29.412	7.585	26.317	31.767	2.434	23.033	2.991	28.58	29.827	1.322	4.135	1.309	25.601	8.156
38.84066	2.033	34.633	39.362	32.501	34.905	30.355	31.363	5.577	2.101	34.31	36.464	33.682	32.442	29.793	30.55	7.38	2.174	34.182	37.145	35.968	34.173	30.431	29.141	5.413	3.591	28.982	8.034	26.564	31.39	2.507	24.905	2.956	28.313	30.046	1.476	4.747	1.382	25.605	8.387
39.00732	2.119	33.92	39.517	32.302	34.544	29.452	31.136	6.097	2.025	33.733	36.726	33.645	32.459	29.323	30.215	7.279	2.26	34.146	37.029	36.473	34.515	30.719	28.346	5.503	3.652	28.43	8.177	26.796	31.083	2.594	26.271	2.989	29.14	29.684	1.482	4.51	1.388	26.269	8.693
39.17397	2.157	34.145	39.99	32.796	35.094	29.728	31.575	5.813	2.225	33.497	36.899	34.682	32.953	29.924	30.491	7.239	2.298	34.507	37.445	36.917	34.092	30.292	28.106	5.44	3.907	30.383	8.246	26.664	31.847	2.605	27.736	3.216	28.956	29.689	1.466	4.605	1.48	26.029	8.98
39.34072	2.146	34.191	40.031	32.41	35.409	30.101	31.623	5.8	2.35	34.084	36.645	34.403	32.837	29.891	29.647	7.522	2.341	34.606	37.569	36.527	35.11	30.448	28.048	5.692	3.922	30.377	8.501	26.39	31.894	2.729	28.191	3.232	29.33	29.846	1.536	4.916	1.307	25.35	9.315
39.5074	2.214	34.012	40.089	33.637	34.959	29.601	31.581	6.027	2.336	33.608	37.598	35.115	33.173	29.877	29.958	7.855	2.354	34.804	38.224	36.589	34.848	29.812	28.766	5.67	3.825	28.471	8.806	26.352	32.013	2.661	28.557	3.434	28.371	30.103	1.387	4.844	1.698	26.691	9.456
39.67403	2.303	34.741	40.092	33.582	35.662	29.787	30.498	6.01	2.128	34.364	37.356	34.844	33.117	29.469	30.55	8.028	2.336	34.615	38.361	37.022	34.497	29.783	26.627	5.764	4.078	28.739	9.115	25.807	31.823	2.723	29.068	3.307	28.719	29.911	1.395	4.936	1.301	25.822	9.82
39.84077	2.13	34.597	40.997	33.358	35.706	29.377	30.79	6.159	2.199	34.599	38.156	35.322	32.705	28.761	31.354	7.906	2.352	34.822	38.646	37.579	34.083	30.047	27.705	6.043	4.201	28.626	9.585	25.264	32.248	2.739	28.36	3.431	28.039	29.717	1.438	4.976	1.48	26.359	10.505
40.00734	2.187	34.282	41.277	33.988	35.958	29.763	31.095	6.432	2.336	34.526	37.436	35.439	33.335	29.121	30.714	8.206	2.354	35.101	38.926	37.913	34.821	29.488	27.712	6.129	4.123	27.553	9.59	25.704	31.041	2.823	29.611	3.353	28.614	30.67	1.387	5.142	1.32	26.745	10.915
40.1742	2.381	34.794	41.238	34.23	35.88	29.4	30.489	6.824	2.531	33.713	38.2	35.684	32.979	28.946	31.301	8.17	2.388	35.211	38.964	38.082	34.579	29.423	27.777	6.265	4.431	28.702	10.153	25.956	32.442	2.857	28.707	3.631	28.627	30.526	1.502	5.292	1.515	25.917	11.619
40.34082	2.376	35.633	41.602	34.664	35.85	28.925	30.555	6.351	2.363	34.445	38.922	35.844	33.173	29.175	30.876	8.206	2.49	35.344	39.088	38.291	35.064	29.596	27.442	6.561	4.15	27.742	9.86	25.893	32.013	2.958	29.017	3.515	28.965	30.373	1.441	5.25	1.401	25.34	11.32
40.50743	2.281	34.921	42.086	35.087	35.761	29.128	30.622	6.773	2.35	34.923	38.7	35.782	33.676	28.971	30.837	8.468	2.585	35.039	39.706	38.177	34.732	28.771	26.912	6.179	4.328	28.187	10.421	25.741	32.056	2.918	28.976	3.556	29.816	29.657	1.374	5.429	1.388	26.161	11.722
40.67415	2.333	35.39	42.188	34.988	35.93	28.689	30.533	6.952	2.428	34.662	38.944	36.032	33.579	28.938	30.449	8.832	2.635	36.099	40.243	38.26	34.631	29.277	27.1	6.776	4.59	29.314	10.779	25.47	33.041	3.102	29.077	3.821	29.7	30.459	1.451	5.688	1.439	25.835	12.345
40.84087	2.463	35.408	42.028	34.411	35.463	28.32	30.652	7.115	2.531	34.977	39.293	35.944	33.649	28.839	30.704	9.052	2.414	35.687	40.324	38.689	35.029	29.18	26.62	6.76	4.399	27.812	11.706	26.043	31.49	3.045	29.438	3.629	28.143	30.363	1.446	5.716	1.461	26.138	12.87
41.00748	2.384	35.768	42.227	34.907	35.986	29.003	31.093	7.307	2.425	35.283	39.438	36.358	33.847	29.766	31.145	9.731	2.525	35.426	40.335	38.671	35.335	28.674	27.06	6.494	4.646	28.225	11.575	25.213	32.12	3.129	28.987	3.848	28.665	30.479	1.476	5.612	1.491	25.768	13.307
41.17412	2.384	35.822	42.552	35.528	36.229	28.571	30.957	7.307	2.507	34.986	39.303	36.439	33.577	29.442	30.063	9.11	2.849	34.966	40.821	38.347	35.092	28.918	26.789	7.008	4.889	28.549	11.873	25.483	31.742	3.129	29.473	4.01	28.016	30.073	1.476	6.044	1.382	25.768	13.172
41.3408	2.26	36.335	43.137	35.447	36.093	27.768	30.477	7.448	2.409	34.851	40.027	37.248	33.795	28.26	30.987	9.842	2.562	35.857	41.165	39.045	35.118	28.789	26.745	7.465	4.788	28.61	12.331	24.872	32.501	3.192	28.075	3.938	28.78	30.727	1.513	6.076	1.447	25.885	14.195
41.50753	2.43	36.065	43.466	35.555	35.607	28.061	31.311	7.648	2.579	35.661	40.408	37.438	34.091	29.04	31.606	10.044	2.652	35.912	41.142	39.317	35.172	28.759	26.389	7.669	4.798	28.039	12.453	24.974	32.121	3.282	27.693	4.082	28.317	30.049	1.603	6.087	1.455	25.907	14.211
