	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
12.00559	2.238	32.607	1.269	24.22	24.137	8.999	2.962	5.678	1.944	34.678	2.148	24.564	24.198	10.409	3.333	5.743	3.285	20.714	2.004	24.237	24.564	7.86	3.982	4.635	7.273	8.147	5.466	4.296	6.052	2.031	5.71	4.552	3.675	5.709	4.979	5.795	1.745	5.142	3.169	4.835	4.21	2.826	3.565	1.564	4.07
12.17234	2.195	33.58	1.248	24.542	24.203	8.801	3.027	5.863	1.849	34.893	2.357	25.144	23.927	10.354	3.344	5.848	3.444	20.801	1.955	24.343	24.917	8.052	4.362	4.792	7.44	8.314	5.375	4.338	6.186	2.152	5.756	4.625	3.859	5.84	4.912	6.068	1.722	5.441	3.297	4.966	4.338	2.781	3.693	1.438	4.226
12.33907	2.159	33.957	1.303	24.773	24.151	9.178	2.883	6.024	2.008	35.349	2.409	24.522	24.383	10.305	3.594	5.637	3.377	20.982	1.953	24.537	24.664	7.952	4.073	4.897	7.649	8.24	5.474	4.415	6.145	2.178	5.717	4.587	3.682	5.801	5.043	6.029	1.693	5.489	3.374	5.182	4.217	2.889	3.656	1.543	4.19
12.50582	2.21	34.676	1.294	25.136	23.975	9.039	2.987	6.133	1.891	36.157	2.544	25.341	24.379	10.166	3.616	5.918	3.515	22.334	1.944	24.849	24.716	7.81	4.123	5.034	7.934	8.439	5.445	4.438	6.369	2.198	5.912	4.782	4.016	6.223	5.323	6.422	1.768	5.484	3.539	5.235	4.325	2.854	3.85	1.425	4.298
12.67236	2.171	36.454	1.374	24.764	24.426	9.183	3.123	6.092	1.99	38.07	2.761	25.079	24.119	10.368	3.578	5.901	3.642	22.561	1.91	25.09	24.711	8.159	4.397	5.361	8.053	8.983	5.652	4.569	6.579	2.277	6.181	5.136	4.118	6.208	5.279	6.888	1.822	5.783	3.612	5.249	4.371	2.93	3.979	1.554	4.343
12.83899	2.446	37.138	1.391	25.771	24.385	9.182	3.395	6.764	2.04	37.965	2.865	25.549	24.646	10.508	3.654	6.065	3.749	23.311	2.012	25.055	24.869	8.268	4.501	5.438	8.39	9.009	6.016	4.475	6.998	2.464	6.146	5.214	4.251	6.399	5.415	6.91	1.951	5.549	3.547	5.356	4.532	2.977	4.0	1.376	4.448
13.0058	2.414	38.402	1.643	25.962	24.746	9.262	3.308	6.449	2.121	39.965	3.202	25.032	24.808	10.588	3.736	6.147	3.745	24.069	1.953	25.641	24.834	8.207	4.526	5.548	8.555	9.288	6.068	4.472	6.852	2.376	6.227	5.154	4.39	6.736	5.553	7.331	1.665	5.829	3.629	5.55	4.472	2.974	4.166	1.543	4.615
13.17249	2.582	39.297	1.617	25.639	24.623	9.363	3.451	6.785	1.975	40.515	3.229	25.868	25.446	10.745	3.905	6.423	3.713	24.85	2.069	25.651	24.935	8.172	4.582	5.658	8.544	9.136	6.117	4.64	7.157	2.266	6.279	5.433	4.387	6.787	5.802	7.438	1.67	5.967	3.655	5.574	4.612	3.031	4.05	1.258	4.415
13.33918	2.522	39.894	1.691	26.271	25.308	9.493	3.64	6.785	2.118	41.517	3.479	26.503	25.485	10.79	4.069	6.57	4.025	26.644	2.114	26.494	25.681	8.462	4.633	5.913	8.756	9.46	6.21	4.949	7.475	2.368	6.394	5.859	4.583	7.244	6.004	7.585	1.853	5.938	3.936	5.717	4.835	3.081	4.445	1.567	4.554
13.50579	2.564	41.054	1.739	26.539	25.776	9.547	3.545	7.192	2.241	42.217	3.889	27.079	26.261	10.929	4.198	6.944	4.063	27.56	2.191	25.761	25.552	8.523	4.507	6.036	8.727	9.262	6.383	4.905	7.763	2.359	6.432	5.953	4.567	7.336	6.407	7.789	1.848	6.119	3.919	5.755	4.848	3.295	4.513	1.523	4.821
13.67238	2.532	41.459	1.841	27.003	26.069	9.535	3.734	7.392	2.243	43.197	4.0	26.442	26.474	11.002	4.42	7.263	4.093	27.406	2.208	26.406	25.874	8.502	4.898	6.208	8.883	9.586	6.762	5.356	7.885	2.32	6.519	6.296	4.764	7.567	6.782	8.108	1.889	6.119	3.974	5.898	5.072	3.232	4.655	1.69	4.876
13.83907	2.752	42.997	2.006	27.158	26.507	9.781	3.784	7.384	2.491	44.535	4.249	26.852	27.082	11.163	4.385	7.255	4.341	29.035	2.145	26.758	26.312	8.466	4.722	6.257	8.874	9.833	6.98	5.293	8.671	2.484	6.568	6.544	4.757	7.985	6.802	8.128	1.856	6.027	4.138	6.203	5.065	3.311	4.988	1.57	4.812
14.00587	2.935	43.272	1.996	27.876	26.915	9.693	3.859	7.337	2.329	45.114	4.487	27.427	27.401	11.499	4.625	7.485	4.378	28.416	2.165	27.919	26.606	8.414	4.821	6.464	8.958	10.086	7.095	5.333	8.728	2.447	6.973	6.551	4.967	8.132	6.892	8.048	1.737	6.377	4.093	6.353	5.191	3.298	4.856	1.441	4.852
14.17245	2.78	44.837	2.069	28.551	27.704	9.985	3.903	7.887	2.597	47.214	4.84	28.101	28.272	11.848	4.697	7.639	4.533	27.987	2.182	27.205	27.62	8.596	5.006	6.789	8.968	10.012	7.417	5.545	9.107	2.492	6.703	6.733	5.235	8.681	7.243	8.314	1.896	6.306	4.39	6.168	5.375	3.342	5.266	1.456	5.037
14.33919	2.956	46.428	2.24	28.434	28.237	10.032	4.047	7.812	2.521	47.085	5.442	28.269	29.064	12.065	4.928	8.048	4.598	27.616	2.125	27.745	27.73	8.834	4.841	6.855	9.098	10.227	7.574	5.693	9.604	2.464	6.826	6.828	5.101	9.005	7.709	8.355	1.866	6.427	4.51	6.46	5.495	3.572	5.132	1.546	4.986
14.50598	3.095	46.941	2.412	28.615	28.843	10.414	4.104	7.976	2.601	48.442	5.635	28.986	29.496	12.503	4.813	8.406	4.734	27.459	2.072	28.232	28.081	8.854	4.925	6.792	9.057	10.666	7.789	5.746	9.875	2.24	6.905	7.133	5.211	9.194	8.011	8.29	1.814	6.621	4.422	6.511	5.746	3.543	5.467	1.544	5.153
14.67247	3.185	48.667	2.551	29.358	29.417	10.641	4.443	8.186	2.81	50.007	6.298	28.797	29.936	12.676	5.101	8.767	5.001	27.974	2.236	28.591	29.052	8.871	5.125	7.144	9.195	10.409	8.294	5.952	10.382	2.291	7.03	7.147	5.303	9.298	8.229	8.562	1.804	6.544	4.655	6.721	5.81	3.686	5.619	1.435	5.273
14.83926	3.366	49.074	2.815	29.383	29.897	11.337	4.509	8.737	2.992	50.388	6.622	28.993	30.927	13.288	5.196	8.979	4.984	27.743	2.16	28.362	30.043	9.139	5.22	7.411	9.408	10.849	8.393	5.906	10.821	2.556	7.126	7.301	5.541	9.964	8.412	8.375	1.897	6.64	5.092	6.761	6.076	4.036	5.716	1.701	5.369
15.00589	3.444	50.382	2.979	29.736	30.334	11.498	4.531	8.644	2.814	51.468	7.097	29.061	31.335	13.703	5.359	9.566	5.09	27.528	2.324	29.111	30.395	9.216	5.583	7.347	9.711	10.84	8.696	6.155	11.351	2.493	7.062	7.208	5.534	10.324	8.602	8.481	1.949	6.775	5.0	6.81	6.097	3.916	6.049	1.41	5.475
15.17263	3.415	51.262	3.121	29.594	30.873	11.753	4.702	8.758	3.069	51.411	8.119	29.26	32.045	14.157	5.359	9.765	5.317	27.528	2.381	28.94	31.189	9.386	5.129	7.659	9.541	11.01	8.98	6.325	11.749	2.493	7.403	7.265	5.704	10.807	9.085	8.736	1.864	6.974	5.227	7.037	6.41	3.945	6.162	1.495	5.617
15.3392	3.621	52.544	3.358	29.94	31.643	12.091	4.768	8.791	2.99	53.116	8.915	29.974	32.925	14.551	5.424	10.446	5.322	28.499	2.222	29.425	31.958	9.531	5.647	7.72	9.598	11.265	9.462	6.53	12.229	2.476	7.549	7.496	5.682	11.176	9.681	8.768	2.018	7.093	5.375	7.014	6.586	4.067	6.394	1.645	5.596
15.50595	3.706	53.901	3.525	30.491	32.395	12.643	4.765	8.936	3.219	53.71	9.263	30.327	33.625	15.105	5.593	10.654	5.523	28.651	2.16	29.328	32.258	9.735	5.59	7.837	10.146	11.474	9.756	6.929	12.553	2.641	7.723	7.557	5.995	11.071	9.832	8.915	2.068	7.322	5.49	7.329	6.672	4.036	6.511	1.53	5.88
15.67252	3.887	55.107	3.791	30.516	32.593	13.199	4.916	9.374	3.401	54.945	10.1	30.41	34.335	15.576	5.661	11.095	5.791	28.506	2.31	30.037	32.939	10.061	5.685	8.19	10.103	11.375	9.912	7.11	12.768	2.479	7.763	7.625	6.092	11.739	10.187	8.984	1.82	7.333	5.473	7.227	6.883	4.217	6.693	1.597	6.005
15.83923	3.827	56.458	4.098	30.662	33.197	13.236	5.024	9.574	3.315	56.297	11.072	30.244	34.829	15.899	6.027	11.214	5.904	28.821	2.33	29.647	33.544	10.234	5.538	8.247	10.535	11.75	10.459	7.194	12.974	2.585	7.848	7.483	6.203	11.857	10.39	9.127	1.923	7.53	5.584	7.511	6.994	4.241	6.693	1.564	6.087
16.00601	3.976	57.849	4.447	30.667	33.937	14.0	5.09	9.606	3.49	57.062	11.753	30.76	35.481	16.121	6.034	11.64	6.193	28.855	2.484	30.217	34.596	10.52	5.944	8.507	10.534	11.806	10.798	7.541	13.597	2.596	8.023	7.658	6.181	12.34	10.816	9.329	1.993	7.763	5.647	7.572	7.199	4.448	7.01	1.544	6.321
16.17262	4.079	58.686	4.948	31.209	34.279	14.409	5.421	9.906	3.791	57.274	12.278	31.302	36.275	16.615	5.824	12.25	6.379	29.341	2.304	30.643	34.908	10.876	5.763	8.437	10.776	12.047	10.868	7.756	14.035	2.729	8.323	7.646	6.34	12.184	10.859	9.487	1.9	7.894	5.834	7.816	7.358	4.437	7.196	1.619	6.338
16.33925	4.372	60.194	5.186	31.549	34.865	14.733	5.435	9.851	4.022	59.066	13.741	31.781	36.513	16.824	6.231	12.438	6.581	29.769	2.38	30.606	35.774	11.383	5.662	8.95	11.194	12.153	11.369	7.987	14.56	2.691	8.525	7.82	6.517	12.631	11.589	9.686	1.923	8.183	5.756	7.791	7.534	4.563	7.54	1.405	6.544
16.50595	4.527	61.096	5.766	31.684	35.421	15.22	5.478	10.089	3.837	58.836	14.936	31.66	37.577	17.253	6.103	12.701	6.734	30.357	2.369	30.653	36.074	11.506	6.299	9.075	11.004	12.218	11.292	8.311	14.538	2.679	8.763	8.086	6.615	12.696	11.4	9.782	1.997	8.28	5.911	8.03	7.943	4.719	7.58	1.731	6.869
16.67267	4.629	61.757	6.207	32.252	36.099	15.656	5.553	10.444	4.249	60.12	15.259	32.17	38.083	17.377	6.177	12.855	6.891	31.01	2.445	31.219	36.667	12.002	6.034	8.978	11.329	12.457	11.446	8.61	14.692	2.529	8.751	7.961	6.886	12.992	11.781	10.334	1.933	8.693	5.899	8.074	7.846	4.935	7.737	1.523	6.942
16.83931	4.738	62.143	6.629	32.32	36.321	15.907	5.742	10.505	4.022	60.589	15.878	32.468	38.115	17.63	6.143	13.098	7.007	32.524	2.486	31.75	37.403	12.465	5.913	9.661	11.711	12.556	11.745	8.696	14.854	2.654	9.064	8.104	6.856	13.147	12.021	10.425	2.026	8.75	5.868	8.217	8.1	4.842	7.966	1.513	7.337
17.00609	4.853	63.602	7.456	32.335	36.94	16.125	5.854	10.738	4.396	61.338	16.379	32.2	38.852	17.877	6.428	13.396	7.24	32.313	2.594	31.401	37.882	12.902	6.196	9.497	11.922	12.909	12.043	9.099	15.325	2.735	9.269	8.222	7.171	13.301	12.232	10.717	1.82	9.18	6.183	8.392	8.133	5.268	8.199	1.626	7.51
17.17274	4.994	64.481	7.769	32.511	37.664	16.707	5.793	10.826	4.453	62.556	17.218	32.748	39.695	18.033	6.511	13.775	7.526	32.576	2.586	32.179	38.523	13.278	6.392	9.755	12.157	13.03	12.194	9.442	15.421	2.784	9.669	8.508	7.285	13.564	12.353	10.834	1.923	9.494	6.21	8.365	8.332	5.236	8.314	1.65	7.652
17.33929	4.928	64.846	8.558	32.755	38.398	16.852	6.009	10.905	4.673	63.348	17.562	32.737	40.375	18.121	6.757	13.973	7.69	33.961	2.601	32.428	39.174	13.788	6.353	9.691	12.24	13.255	12.363	9.464	16.162	2.77	9.975	8.472	7.447	13.846	12.55	11.114	1.937	9.857	6.315	8.699	8.495	5.254	8.592	1.581	8.128
17.506	5.265	65.186	9.282	33.966	38.446	17.137	6.128	11.285	4.435	63.265	18.213	33.291	40.635	18.066	6.387	13.933	7.873	34.112	2.619	32.118	39.272	14.463	6.271	9.931	12.489	13.193	12.353	9.789	15.574	2.816	10.214	8.601	7.44	13.472	12.374	11.092	1.961	9.814	6.423	8.686	8.428	5.399	8.549	1.73	8.232
17.67279	5.171	65.693	9.985	33.473	39.292	17.593	6.032	11.677	4.683	64.309	18.812	33.99	41.144	17.926	6.69	14.499	7.838	35.805	2.577	32.649	40.289	14.774	6.743	10.265	13.026	13.758	12.692	9.755	16.397	2.916	10.719	8.821	7.63	14.094	12.911	11.655	1.975	10.545	6.472	8.821	8.761	5.701	8.996	1.605	8.65
17.83937	5.467	67.133	10.822	33.756	39.749	17.641	6.043	11.435	5.178	65.55	19.343	33.621	41.632	17.859	6.729	14.26	7.909	35.807	2.756	33.132	40.975	15.215	6.555	10.392	13.127	13.774	13.163	10.336	16.046	2.981	11.158	9.147	7.642	13.939	12.841	12.293	1.982	10.871	6.625	9.004	8.916	5.683	9.038	1.615	9.032
18.006	5.722	67.615	11.504	34.437	40.544	18.095	6.667	11.804	5.008	66.402	19.854	33.99	42.228	18.115	7.07	14.686	8.363	36.971	2.671	33.274	41.003	16.067	6.924	10.392	13.525	13.859	12.907	10.194	16.671	2.839	11.613	9.402	7.898	14.223	13.409	12.293	2.039	11.297	6.824	9.175	8.774	5.627	9.35	1.757	9.458
18.17271	5.869	67.742	12.24	34.608	40.565	18.482	6.22	12.032	5.068	66.444	20.92	34.557	42.784	17.993	7.217	14.908	8.761	37.562	2.795	33.867	42.072	15.949	6.562	10.422	13.662	13.742	13.045	10.394	16.635	2.737	12.009	9.716	7.958	14.021	13.292	12.434	1.967	11.468	6.857	9.29	8.72	5.69	9.323	1.652	9.601
18.33935	5.86	68.056	13.011	35.204	41.319	18.105	6.603	11.974	5.289	66.502	21.628	34.587	43.092	17.639	6.922	14.748	8.703	37.884	2.859	33.875	42.177	16.3	6.747	10.96	14.581	14.289	13.196	10.619	16.649	2.857	12.437	9.542	8.207	14.397	13.896	12.806	1.97	12.177	7.019	9.542	9.055	5.876	9.775	1.636	9.74
18.50615	5.981	68.578	13.884	35.29	41.645	18.105	6.465	12.3	5.414	67.364	22.86	35.073	43.708	17.494	6.871	14.942	8.944	39.772	2.886	34.165	43.047	16.864	6.951	10.916	14.49	14.252	13.132	10.831	17.016	2.856	12.88	9.867	8.301	14.843	13.319	13.364	1.937	12.562	7.027	9.639	9.064	5.852	9.732	1.581	10.093
18.67272	6.116	69.056	14.87	35.186	41.965	18.491	6.771	12.946	5.604	67.928	23.471	34.996	44.197	18.052	7.49	15.215	9.077	40.804	2.965	34.486	43.423	17.023	6.716	11.334	14.791	14.27	13.918	10.993	17.175	2.878	13.212	10.115	8.407	14.69	13.508	13.724	2.074	12.923	7.218	9.63	9.426	6.158	10.093	1.831	10.483
18.8395	6.257	69.126	14.81	35.695	42.613	17.931	6.695	12.929	5.739	69.019	24.279	35.473	44.349	17.357	7.833	15.208	9.092	41.341	2.959	34.754	43.92	17.61	6.951	11.66	15.097	14.553	13.544	11.235	17.218	2.816	13.701	10.302	8.715	14.72	13.99	13.955	1.961	13.216	7.274	10.047	9.222	6.023	10.221	1.503	11.18
19.00605	6.241	69.177	15.961	35.979	43.271	17.609	6.819	12.66	5.866	69.07	24.955	35.843	44.781	17.545	7.732	15.367	9.702	42.65	3.166	35.068	44.239	17.599	6.991	11.816	15.2	14.4	13.873	11.505	17.237	2.995	14.454	10.373	8.898	14.849	13.808	14.283	2.026	13.6	7.4	10.061	10.029	6.119	10.179	1.74	11.279
19.1728	6.485	69.62	16.252	36.711	43.736	18.275	6.945	13.253	6.0	68.861	25.694	35.696	45.537	17.298	7.69	15.203	9.641	44.281	3.541	35.268	44.964	17.864	7.117	11.784	15.121	13.862	13.623	11.5	17.559	2.943	14.911	10.338	9.031	14.71	13.811	14.626	1.998	14.338	7.673	10.025	9.737	6.302	10.287	1.693	11.673
19.33952	6.644	70.513	16.532	36.694	43.952	17.76	7.158	13.358	6.473	69.328	26.294	36.362	45.841	17.834	7.962	15.795	9.859	44.982	3.611	35.395	45.295	17.973	7.558	11.974	15.571	14.481	13.731	11.519	17.84	2.926	15.274	10.556	8.963	14.816	14.43	14.818	1.98	14.274	7.775	9.788	9.982	6.488	10.505	1.564	11.693
19.50618	6.773	70.511	17.239	36.766	44.661	17.697	7.292	13.82	6.257	69.752	25.902	36.773	46.43	17.518	7.78	15.936	9.811	46.454	4.034	35.915	45.347	18.225	7.407	12.408	15.143	14.427	14.185	11.983	17.721	2.896	15.332	10.85	9.431	15.387	14.006	15.246	2.039	14.477	7.96	10.169	9.711	6.791	10.543	1.871	11.956
19.67286	6.946	70.153	17.572	37.444	44.762	17.887	7.099	13.79	6.23	69.734	25.996	36.741	46.783	17.312	8.21	15.815	9.924	46.807	4.043	36.079	45.985	18.217	7.724	12.691	15.449	14.139	14.122	12.18	17.854	3.049	15.724	11.077	9.177	15.326	14.086	15.469	2.052	14.928	7.934	10.198	10.166	6.569	10.741	1.652	12.267
19.83958	7.119	70.135	18.583	37.781	45.146	17.566	7.361	14.298	6.543	70.225	25.779	37.19	47.078	17.588	8.044	15.809	10.263	48.264	4.25	36.214	46.225	18.181	7.645	13.001	15.357	13.937	14.088	12.151	18.129	3.116	15.917	11.134	9.774	15.151	14.11	15.804	2.092	15.009	8.192	10.51	10.366	6.574	10.882	1.631	12.605
20.00623	7.048	70.108	19.214	38.051	45.887	17.344	7.568	14.378	6.56	70.427	26.312	37.491	47.371	17.421	7.999	16.123	10.397	49.864	4.055	36.66	46.686	18.497	7.967	12.909	15.671	14.359	14.23	12.285	18.021	3.174	16.258	11.692	9.734	15.348	14.278	16.257	2.034	15.375	8.292	10.245	10.355	6.783	11.271	1.694	12.741
20.17293	7.544	70.588	20.367	38.489	46.024	17.481	7.757	14.864	6.855	70.48	26.232	37.785	47.758	17.419	8.242	16.29	10.376	51.55	4.08	36.78	47.386	18.266	8.07	13.029	15.499	13.965	14.513	12.406	18.327	3.059	16.909	11.898	10.143	15.236	14.45	15.86	2.008	15.519	8.334	10.709	10.565	6.914	10.825	1.886	12.775
20.33961	7.463	70.606	21.054	38.612	46.546	17.572	7.449	14.955	6.973	70.696	25.9	38.164	48.252	17.594	8.614	16.296	10.551	51.959	3.771	37.414	47.625	18.159	8.017	13.289	15.448	14.282	14.689	12.864	18.249	3.204	17.226	12.017	10.119	15.213	14.71	16.971	2.123	15.609	8.536	10.43	10.541	6.89	11.0	1.578	12.837
20.50628	7.59	70.066	21.947	38.793	46.964	17.595	7.949	14.789	7.096	70.324	26.16	38.343	48.551	17.789	8.63	16.18	10.643	52.902	3.994	37.815	48.096	18.099	8.119	13.775	15.475	14.059	14.658	12.786	17.932	3.088	17.337	12.08	10.271	15.442	14.796	17.195	2.238	15.696	8.577	10.667	10.693	7.02	11.093	1.601	13.182
20.67296	7.781	70.576	22.604	39.07	47.307	17.682	7.742	15.523	7.317	70.665	26.37	38.565	48.897	17.423	8.679	16.182	10.583	53.959	3.756	38.492	48.526	17.619	8.479	14.226	15.759	14.029	14.857	13.235	18.387	3.188	17.225	12.501	10.634	15.384	14.654	17.112	2.252	16.148	8.826	10.69	10.518	7.153	11.287	1.702	13.632
20.83962	7.888	70.464	23.518	39.745	47.566	17.402	8.044	15.295	7.511	70.101	27.005	39.155	49.186	17.453	8.954	16.494	10.863	55.755	3.771	38.519	48.957	17.762	8.527	13.969	15.335	13.942	14.859	12.864	18.39	3.119	17.991	12.781	10.459	15.468	14.625	17.141	2.18	16.006	8.763	10.997	10.796	7.145	11.312	1.748	13.857
21.00623	7.982	70.328	24.355	39.795	48.185	17.556	7.797	15.334	7.237	70.022	26.256	39.998	49.665	17.606	8.963	16.393	11.043	57.229	3.948	38.655	49.804	17.746	8.11	14.206	15.432	13.953	14.445	13.299	18.318	3.125	18.117	12.65	10.666	15.394	14.722	17.238	2.015	16.3	9.169	10.694	10.635	7.237	11.747	1.811	13.924
21.17304	8.014	69.897	24.774	40.433	48.632	17.595	8.373	15.242	7.548	70.182	26.697	39.87	50.191	17.478	8.828	16.435	11.01	57.934	4.051	38.72	49.764	17.448	8.459	14.991	15.023	13.578	14.574	13.379	18.158	3.117	18.015	12.815	10.61	15.329	14.994	17.28	2.097	16.572	8.945	10.978	11.033	7.444	11.828	1.685	14.058
21.33964	8.197	69.948	25.079	40.945	48.98	17.5	8.187	15.201	7.619	70.291	27.146	40.213	50.569	17.553	9.434	16.17	11.11	59.335	4.174	39.687	50.029	17.805	8.64	14.639	15.153	13.99	14.478	13.253	18.007	3.324	17.807	13.17	10.935	15.458	14.643	17.1	2.246	16.306	9.326	10.907	11.047	7.315	11.702	1.639	14.301
21.50626	8.122	69.625	24.964	41.129	49.242	17.56	8.595	15.349	7.77	70.165	27.791	40.481	50.545	17.275	9.247	16.005	11.429	59.672	4.556	39.896	50.176	17.584	8.822	14.901	15.017	14.167	14.964	13.318	18.067	3.368	18.094	12.923	11.114	15.436	14.79	17.105	2.094	16.877	9.817	10.832	11.0	7.44	11.936	1.88	14.138
21.6729	8.319	69.529	25.236	41.617	49.599	17.597	8.449	15.466	7.912	69.533	27.615	40.574	51.047	17.31	9.613	16.436	11.347	61.374	4.661	39.964	50.62	17.874	8.931	15.16	14.655	14.255	14.744	13.32	18.274	3.471	17.649	13.265	11.313	15.045	14.767	16.772	2.167	16.402	9.59	11.086	11.282	7.578	11.882	1.646	13.887
21.83961	8.48	69.071	25.504	41.794	49.772	17.5	8.838	15.569	8.044	69.81	27.683	41.514	51.304	17.383	9.547	16.368	11.507	62.447	4.909	40.337	51.104	17.551	8.895	15.064	15.238	13.905	15.044	13.508	18.375	3.409	17.807	13.425	11.388	15.119	15.011	16.676	2.161	16.419	9.722	10.652	10.933	7.4	12.098	1.809	14.244
22.00635	8.404	69.359	24.982	42.183	50.137	17.88	8.846	15.381	7.968	69.929	28.294	41.791	51.557	17.395	9.358	16.38	11.46	63.242	5.454	40.813	51.3	17.648	8.931	15.018	14.542	13.916	14.857	13.433	18.387	3.33	17.451	13.548	11.568	15.215	14.909	16.63	2.195	15.978	9.731	10.832	11.141	7.832	12.108	1.901	14.34
22.17301	8.474	69.155	25.259	42.641	50.6	17.39	8.688	15.029	8.011	69.953	28.744	42.023	51.71	17.498	9.371	16.284	11.617	63.911	5.832	41.301	51.65	17.58	8.915	15.374	14.842	14.045	14.932	13.675	18.236	3.424	17.667	14.385	11.582	15.316	14.841	16.393	2.345	16.334	9.858	10.676	11.24	7.986	12.236	1.741	14.781
22.33981	8.467	68.632	25.969	43.018	51.024	17.259	9.073	15.002	8.235	69.945	28.582	42.372	51.94	17.393	9.702	16.123	11.873	65.304	6.354	41.599	52.079	17.731	9.272	15.01	14.706	14.246	14.997	13.676	18.39	3.458	17.904	14.786	11.551	14.922	14.761	16.598	2.204	16.169	9.966	10.727	11.348	7.947	12.775	1.864	14.558
22.50641	8.591	68.451	25.682	43.229	51.313	17.348	8.773	15.094	8.272	69.45	28.293	42.696	52.398	17.454	9.769	16.354	11.824	66.148	6.623	42.063	52.479	17.593	9.766	15.413	14.456	14.224	14.803	13.967	18.166	3.417	17.454	14.423	11.786	15.496	14.597	16.319	2.193	15.892	9.891	10.567	11.244	8.157	12.528	1.85	14.11
22.67313	8.638	68.462	25.572	43.728	51.393	17.259	8.987	15.087	8.207	69.037	28.753	42.968	52.536	16.967	9.617	16.293	12.015	66.241	7.603	42.308	52.675	17.645	9.358	15.066	14.479	14.246	15.139	13.733	18.447	3.6	16.882	14.275	11.976	15.291	14.733	16.115	2.318	15.659	10.108	10.642	11.774	8.032	12.463	1.75	14.671
22.8397	8.723	68.433	26.366	44.012	51.62	17.515	9.3	14.888	8.036	69.292	29.093	43.536	52.934	17.223	9.787	16.179	12.129	66.865	7.859	42.621	52.845	17.702	9.67	15.095	14.195	14.331	14.656	13.931	18.362	3.543	17.223	13.707	12.118	15.433	14.619	16.087	2.233	15.999	10.279	10.727	11.518	7.89	12.861	1.779	14.33
23.00637	8.745	68.249	26.426	44.421	52.304	17.526	9.174	14.889	8.374	69.026	29.302	43.662	53.139	17.117	10.091	16.102	12.187	67.984	8.643	43.264	53.163	17.711	10.001	14.985	13.915	14.419	14.806	14.046	18.459	3.748	17.43	13.681	12.173	15.664	14.965	15.979	2.234	15.805	9.933	10.722	11.514	8.248	12.862	1.874	13.85
23.17307	8.575	68.006	26.662	45.148	52.168	17.46	9.008	14.773	8.43	69.009	29.761	44.19	53.484	17.281	10.093	15.982	12.297	68.112	9.328	44.072	53.537	17.732	9.464	14.952	14.308	14.443	14.543	14.1	18.336	3.701	17.139	13.393	12.001	15.29	14.761	16.371	2.331	15.771	10.246	10.665	11.457	8.535	12.887	1.711	13.903
23.33972	8.763	67.747	26.799	45.606	52.812	17.267	9.931	15.11	8.594	68.241	29.82	44.42	53.905	17.141	9.853	15.955	12.208	68.733	10.055	43.996	53.843	17.792	9.762	15.092	14.194	14.412	14.744	13.982	18.314	3.761	17.141	13.531	12.051	15.203	14.618	16.03	2.358	15.798	10.436	10.627	11.931	8.749	12.94	1.802	13.814
23.50647	9.03	67.75	27.429	45.688	52.935	17.262	9.519	14.943	8.771	68.469	30.102	45.412	53.967	16.883	10.775	16.294	12.411	69.163	10.635	44.442	53.906	17.391	9.805	14.753	14.337	13.96	14.685	13.958	18.137	3.871	17.139	13.308	11.802	15.205	14.619	16.03	2.303	15.828	10.388	10.495	11.855	8.734	13.143	1.796	13.818
23.67312	9.058	67.452	27.251	46.242	53.214	17.356	9.8	14.975	8.716	68.657	30.496	45.398	54.05	16.918	10.262	16.273	12.614	69.605	11.345	44.658	54.472	17.54	10.143	14.558	14.086	14.163	14.578	14.132	18.289	3.805	17.601	13.652	11.661	15.266	14.652	15.495	2.319	15.805	10.359	10.608	11.656	8.817	13.402	1.874	13.878
23.8399	8.891	67.483	28.191	46.952	53.336	17.371	9.688	14.926	8.95	68.634	30.901	46.079	54.744	16.816	10.408	16.144	12.794	70.35	11.891	45.286	54.825	17.496	10.003	14.681	14.068	14.514	14.876	14.026	18.76	3.77	17.501	13.547	11.439	15.305	14.635	15.448	2.367	15.815	10.478	10.555	11.832	8.705	13.354	1.813	13.744
24.00653	9.233	66.885	28.248	47.237	53.821	17.285	9.602	14.841	8.95	67.922	31.214	46.449	54.744	16.816	10.664	15.916	12.823	70.664	13.002	45.628	55.024	17.639	10.088	14.767	14.039	14.371	14.705	13.856	18.56	3.856	17.33	13.376	11.781	15.105	14.549	15.534	2.338	15.843	10.963	10.641	11.547	8.506	13.953	1.813	13.83
