	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	yfgF-1	metJ_relA-1	metJ_purT-1	relA_purT-1	metJ_acrB-1	fabR_yfgF-1	fabR-2	yfgF-2	metJ_relA-2	metJ_purT-2	relA_purT-2	metJ_acrB-2	fabR_yfgF-2	fabR-3	yfgF-3	metJ_relA-3	metJ_purT-3	relA_purT-3	metJ_acrB-3	fabR_yfgF-3
11.83892	2.968	23.297	0.586	25.305	26.499	5.089	1.596	2.669	2.109	4.832	0.208	25.291	25.393	4.771	1.502	2.78	2.058	2.885	0.28	26.078	25.109	8.484	1.284	3.624	2.098	2.292	1.314	1.559	1.875	3.373	5.691	1.769	1.747	0.874	5.356	1.384	3.547	5.276	1.369	1.242	1.039	5.135	0.536	2.644	3.852
12.00572	2.968	23.723	0.671	25.333	26.47	5.004	1.653	2.783	2.109	5.088	0.293	25.462	25.393	4.97	1.389	2.724	2.143	3.255	0.195	25.737	25.28	8.399	1.228	3.681	2.326	2.121	1.229	1.701	1.96	3.629	5.521	1.854	1.662	1.016	5.356	1.299	3.689	5.39	1.511	1.328	1.039	5.22	0.706	2.587	4.108
12.17246	3.021	24.71	0.583	25.666	27.258	5.029	1.792	3.145	2.273	6.048	0.346	26.647	25.385	4.937	1.412	2.862	2.365	3.307	0.276	25.728	25.584	8.336	1.224	3.677	2.177	2.146	1.396	1.613	2.355	3.682	5.886	1.793	1.855	0.956	5.608	1.296	3.684	5.698	1.991	1.324	1.15	5.102	0.561	2.584	4.104
12.33914	3.337	25.172	0.568	25.276	27.691	5.235	1.601	2.819	2.406	6.349	0.181	26.284	25.48	5.026	1.356	2.923	2.163	3.651	0.282	25.479	25.646	8.529	1.2	3.679	2.138	2.292	1.485	1.705	2.334	4.029	5.772	1.938	1.739	0.991	5.468	1.446	3.771	5.784	1.546	1.384	1.045	5.162	0.685	2.819	4.109
12.50571	3.066	27.017	0.594	25.5	28.172	5.356	1.72	2.975	2.297	7.041	0.219	26.112	25.105	5.124	1.573	2.991	2.215	4.092	0.32	25.99	25.789	8.672	1.24	3.808	2.175	2.247	1.497	1.911	2.454	3.924	6.075	2.038	1.848	0.97	5.54	1.565	3.816	5.886	2.033	1.369	1.134	5.29	0.545	2.767	4.205
12.67246	3.085	27.504	0.58	25.737	28.236	5.412	1.694	3.316	2.313	7.954	0.498	26.148	25.234	5.426	1.583	3.267	2.33	4.023	0.26	25.854	26.275	8.778	1.346	3.879	2.411	2.324	1.46	1.939	2.512	4.205	5.941	1.969	1.935	0.997	5.81	1.597	3.8	5.758	1.555	1.388	1.026	5.505	0.61	2.8	4.143
12.83917	3.188	26.753	0.646	25.945	29.245	5.473	1.779	3.694	2.296	8.639	0.339	26.843	25.233	5.39	1.445	3.142	2.434	4.501	0.268	25.839	26.636	8.838	1.446	3.905	2.518	2.511	1.477	1.915	2.713	4.214	6.233	2.105	2.008	1.003	5.836	1.623	4.285	6.012	2.119	1.662	1.192	5.356	0.686	2.882	4.268
13.00588	3.22	25.562	0.526	25.95	29.673	5.484	1.905	3.685	2.557	9.343	0.204	26.874	25.584	5.335	1.583	3.231	2.535	5.211	0.276	26.382	26.976	9.103	1.28	4.188	2.404	2.401	1.481	1.783	2.838	4.335	6.255	1.964	2.111	0.927	5.835	1.58	4.054	5.953	1.678	1.324	1.065	5.699	0.647	2.839	4.274
13.17249	3.347	27.553	0.609	26.261	30.13	5.576	1.996	3.273	2.619	10.44	0.413	26.732	25.522	5.519	1.63	3.386	2.617	5.855	0.399	26.696	27.407	9.076	1.434	4.148	2.641	2.67	1.437	2.075	2.873	4.288	6.304	2.149	2.135	1.049	6.164	1.699	4.157	6.34	1.625	1.536	1.239	5.913	0.677	3.015	4.427
13.33914	3.587	26.297	0.56	26.401	30.841	5.53	2.035	3.409	2.552	11.089	0.225	27.013	25.632	5.646	1.644	3.626	2.519	6.324	0.268	25.925	27.548	9.379	1.418	4.417	2.319	2.711	1.648	1.772	2.969	4.442	6.575	2.162	2.065	1.06	6.32	1.766	4.199	6.183	1.692	1.463	1.306	5.955	0.743	3.11	4.439
13.50582	3.497	27.029	0.643	26.649	30.946	5.698	1.832	3.743	2.717	11.709	0.392	27.632	26.193	5.699	1.782	3.537	2.713	6.861	0.264	26.429	28.108	9.515	1.528	4.527	2.654	2.707	1.559	1.826	2.88	4.637	6.741	2.158	2.174	1.057	6.23	1.762	4.337	6.606	1.717	1.629	1.246	5.865	0.598	3.05	4.492
13.6726	3.77	26.548	0.753	26.992	31.419	5.756	2.123	3.521	2.971	12.468	0.219	28.368	26.715	5.77	1.73	3.696	2.846	7.599	0.349	26.287	28.863	9.805	1.492	4.649	2.503	2.839	1.436	1.999	3.196	4.634	6.881	2.229	2.139	1.086	6.211	1.883	4.343	6.584	1.728	1.448	1.256	6.076	0.67	3.143	4.742
13.83917	3.728	26.693	0.627	26.967	31.973	5.761	1.897	3.785	2.992	13.341	0.369	28.234	26.429	5.957	1.867	3.881	2.852	8.709	0.299	26.206	29.703	9.935	1.589	4.812	2.614	3.023	1.449	2.004	3.371	4.671	6.967	2.217	2.142	1.12	6.459	1.941	4.423	6.748	1.84	1.604	1.141	6.322	0.636	3.115	4.724
14.00588	3.909	26.884	0.822	27.387	32.54	6.165	2.042	3.965	2.878	14.553	0.404	28.684	27.358	5.911	1.825	4.034	3.157	9.213	0.361	27.509	29.703	10.502	1.711	5.082	2.788	3.061	1.714	2.008	3.376	4.877	7.013	2.285	2.332	1.267	6.928	2.143	4.551	6.648	1.87	1.785	1.484	6.534	0.664	3.459	4.931
14.1725	3.885	26.949	0.711	28.165	32.835	5.969	2.103	4.114	3.169	15.445	0.493	28.978	27.765	6.229	1.829	4.465	2.991	10.045	0.279	27.518	30.169	10.765	1.601	5.172	2.794	3.037	1.718	1.954	3.664	4.91	6.989	2.431	2.366	1.071	6.733	2.061	4.698	6.909	1.873	1.646	1.202	6.595	0.838	3.291	4.964
14.3393	4.119	27.444	0.673	28.427	33.253	6.132	2.243	3.961	3.267	16.85	0.311	29.066	28.207	6.063	1.824	4.272	3.169	11.381	0.413	27.893	30.866	11.206	1.585	5.311	2.941	3.215	1.642	2.035	3.657	5.208	6.977	2.407	2.376	1.178	7.071	1.975	4.693	6.877	1.905	1.684	1.348	6.851	0.619	3.292	5.147
14.50595	4.038	27.084	0.733	28.521	33.773	6.334	2.133	4.308	3.302	17.114	0.344	29.359	28.697	6.351	1.914	4.787	3.599	12.408	0.417	28.27	31.415	11.695	1.589	5.627	2.863	3.276	1.732	1.925	3.916	5.156	7.123	2.497	2.552	1.154	7.217	2.121	4.697	6.967	1.823	1.801	1.323	6.855	0.792	3.494	4.953
14.67262	4.223	26.974	0.781	28.863	34.282	6.55	2.123	4.315	3.453	17.882	0.332	29.615	29.097	6.224	1.871	4.632	3.413	13.155	0.349	28.158	31.839	12.243	1.662	5.811	2.701	3.462	1.691	1.943	3.905	5.229	7.307	2.569	2.621	1.228	7.402	2.365	4.853	7.35	1.955	1.874	1.426	7.012	0.613	3.398	5.253
14.83925	4.472	26.846	0.795	28.766	34.927	6.654	2.481	4.805	3.825	18.551	0.493	30.001	29.481	6.586	2.179	4.909	3.667	14.065	0.282	29.111	32.399	12.644	1.625	6.091	2.905	3.569	1.712	1.875	4.235	5.391	7.73	2.364	2.591	1.161	7.596	2.411	4.934	7.544	2.0	1.895	1.358	7.801	0.685	3.586	5.33
15.00596	4.457	27.98	0.837	29.052	35.312	6.801	2.395	4.754	3.729	18.953	0.47	30.205	30.248	6.857	2.171	5.236	3.841	14.851	0.342	28.86	32.617	13.632	1.861	6.254	3.068	3.809	1.636	1.99	4.069	5.484	7.841	2.576	2.733	1.305	7.844	2.382	5.125	7.536	2.109	2.02	1.467	7.593	0.677	3.556	5.338
15.17262	4.698	28.547	0.788	29.392	35.912	7.097	2.462	4.947	3.92	19.18	0.425	30.774	30.987	6.757	2.014	5.392	4.086	15.469	0.581	29.884	33.017	13.823	1.617	6.383	3.002	3.879	1.819	1.943	4.223	5.638	7.601	2.703	2.834	1.26	8.001	2.45	5.139	7.636	2.062	1.947	1.505	7.863	0.829	3.709	5.664
15.33938	4.72	29.276	0.83	29.266	36.076	7.231	2.423	5.355	4.066	19.455	0.444	30.992	31.29	6.865	2.21	5.872	4.285	17.1	0.287	29.504	33.524	14.57	1.809	6.636	3.321	4.072	1.84	2.19	4.356	5.773	8.026	2.725	3.061	1.193	8.283	2.724	5.42	8.259	2.051	1.997	1.494	8.486	0.787	3.812	5.799
15.50603	4.784	28.861	0.817	29.791	36.567	7.354	2.462	5.403	4.375	20.405	0.51	31.059	31.443	6.871	2.185	5.962	4.428	17.065	0.411	29.657	33.9	15.304	1.76	7.038	3.202	4.135	1.62	2.114	4.593	5.923	8.341	2.589	3.119	1.231	8.457	2.478	5.31	8.063	2.119	2.146	1.477	8.376	0.743	3.879	5.863
15.67259	5.253	29.543	0.758	29.59	37.336	7.465	2.385	6.088	4.288	20.282	0.311	30.938	32.177	7.396	2.164	6.172	4.303	17.421	0.186	30.048	34.184	15.857	1.755	7.324	3.31	4.123	1.784	2.177	4.593	6.059	8.423	2.606	3.0	1.349	8.772	2.486	5.43	8.465	2.046	2.109	1.603	8.581	0.761	3.887	6.168
15.83924	4.899	30.4	0.772	29.878	37.815	7.7	2.527	6.154	4.621	21.202	0.402	30.889	32.27	7.612	2.128	6.389	4.678	17.961	0.416	30.283	34.721	16.997	1.934	7.463	3.332	4.45	1.709	1.979	4.456	6.467	8.765	2.847	3.058	1.465	8.854	2.798	5.679	8.659	2.213	2.377	1.486	8.83	0.668	3.858	6.066
16.00597	5.524	30.143	0.845	30.047	37.82	7.923	2.576	6.172	4.974	21.374	0.653	31.857	33.152	7.726	2.499	6.731	5.026	19.828	0.24	30.682	35.211	17.726	1.874	7.779	3.544	4.563	1.933	2.2	4.65	6.578	9.054	2.789	3.433	1.26	9.483	2.791	5.652	8.861	2.29	2.203	1.591	9.06	0.772	4.136	6.376
16.17273	5.335	30.191	0.835	30.409	38.405	8.249	2.619	6.34	4.975	23.697	0.381	31.676	33.484	8.162	2.251	6.883	5.173	20.31	0.225	30.217	35.823	17.781	1.772	8.271	3.659	4.658	1.916	2.071	4.919	6.59	9.402	2.856	3.411	1.473	9.604	2.805	5.803	9.239	2.362	2.357	1.663	9.552	0.845	4.207	6.843
16.3394	5.734	31.387	0.977	31.064	38.946	8.448	2.648	6.34	5.146	26.032	0.552	31.961	33.997	8.191	2.621	7.338	5.287	19.883	0.424	30.929	36.222	18.777	1.971	8.271	3.516	4.914	1.888	2.242	5.005	6.789	9.658	2.942	3.439	1.33	9.86	2.777	6.145	9.438	2.305	2.385	1.663	9.438	0.76	4.435	6.843
16.50611	5.862	31.131	0.827	30.665	39.397	8.777	2.779	6.687	5.467	26.284	0.455	32.444	34.593	8.262	2.464	7.523	5.44	20.287	0.327	30.786	37.014	19.009	2.044	8.681	3.667	4.872	1.705	2.146	5.306	7.032	10.125	2.985	3.593	1.461	10.271	2.937	6.044	9.935	2.352	2.685	1.653	9.821	0.836	4.367	7.171
16.67268	6.137	33.019	0.98	30.817	39.924	9.306	2.879	7.06	5.495	27.466	0.641	32.426	35.003	8.793	2.569	7.913	5.692	21.172	0.257	31.28	37.172	20.066	1.947	8.817	3.58	5.346	2.006	2.16	5.179	7.107	10.261	3.06	3.701	1.334	10.293	2.951	6.491	10.297	2.48	2.561	1.666	10.383	0.763	4.438	7.445
16.83937	6.051	33.304	1.008	30.703	40.266	9.619	2.794	7.402	5.751	27.323	0.584	32.853	35.885	9.078	2.683	8.14	5.777	21.286	0.342	31.365	37.798	19.981	1.975	9.301	3.836	5.602	2.177	2.274	5.407	7.391	10.518	3.06	3.701	1.562	10.805	2.98	6.548	10.525	2.451	2.646	1.666	10.781	0.82	4.638	7.701
17.00613	6.545	33.209	0.985	31.206	40.914	10.112	2.915	7.418	5.964	27.488	0.592	32.701	36.418	9.601	2.893	8.407	5.903	22.64	0.321	31.385	38.419	20.509	2.154	9.454	4.021	5.583	1.929	2.111	5.615	7.457	10.899	3.24	4.196	1.598	11.329	3.243	6.758	10.707	2.486	2.797	1.588	10.992	0.854	4.787	8.024
17.17281	6.692	34.327	0.915	31.386	41.058	10.573	2.868	7.463	5.901	27.746	0.629	32.994	36.538	9.746	2.754	8.58	6.271	23.823	0.416	31.422	38.505	20.582	2.02	9.597	3.901	5.816	1.965	2.263	5.338	7.776	11.866	3.331	4.253	1.664	11.414	3.31	6.789	11.448	2.555	2.775	1.799	11.505	0.81	4.968	8.114
17.3394	7.06	35.289	1.126	31.869	41.759	10.801	3.131	7.983	6.542	27.367	0.549	33.617	37.045	10.312	2.724	8.72	6.349	25.193	0.365	32.159	38.778	20.789	2.194	9.99	4.116	5.986	2.025	2.412	5.371	7.778	11.943	3.304	4.219	1.642	11.864	3.203	6.872	11.755	2.676	2.948	1.693	11.188	0.877	5.258	8.399
17.50614	7.19	36.35	0.98	32.468	42.259	11.271	2.879	7.686	6.349	27.067	0.584	33.052	37.878	10.559	2.769	8.966	6.603	25.869	0.513	32.419	39.791	20.835	2.032	10.183	4.349	6.286	2.091	2.274	5.749	8.075	12.567	3.259	4.356	1.562	12.513	3.464	6.975	12.091	2.65	3.13	1.837	11.892	0.82	5.292	8.726
17.67274	7.41	38.258	1.058	32.086	42.765	11.577	2.946	8.207	6.769	27.011	0.675	33.606	37.968	11.029	2.818	9.437	6.495	26.351	0.265	32.432	39.982	21.352	2.404	10.592	4.514	6.449	2.122	2.397	6.121	8.526	12.941	3.626	4.537	1.541	12.693	3.501	7.248	12.925	2.833	3.157	1.878	12.415	0.893	5.356	9.061
17.83942	7.398	38.015	1.168	32.372	43.152	12.275	2.978	8.365	6.918	28.247	0.654	33.895	38.633	11.789	2.777	9.628	6.977	28.508	0.469	32.635	40.542	20.887	2.215	10.9	4.236	6.664	2.131	2.601	6.017	8.483	13.424	3.668	4.504	1.717	13.315	3.534	7.609	12.893	2.95	3.112	1.71	12.524	0.892	5.391	9.39
18.00604	7.726	40.182	1.176	32.658	43.358	12.803	3.16	8.675	7.253	26.914	0.665	34.181	39.149	12.233	3.02	9.9	7.166	26.601	0.481	32.323	40.975	20.912	2.227	11.06	4.684	6.793	2.258	2.868	6.456	8.725	14.041	3.739	4.862	1.672	13.589	3.574	7.568	13.679	2.846	3.211	1.748	12.484	0.845	5.573	9.974
18.1728	8.065	40.364	1.191	33.328	43.915	13.256	3.162	8.978	7.311	27.317	0.643	35.228	39.922	12.695	3.272	10.017	7.438	27.716	0.399	32.882	40.993	21.216	2.523	11.326	5.053	6.93	2.469	2.643	6.782	9.058	15.031	3.928	4.784	1.933	14.115	3.777	7.997	14.292	2.988	3.369	1.859	12.891	0.723	5.807	10.312
18.33944	7.871	41.105	1.278	33.258	44.624	13.375	3.182	9.152	7.695	26.552	0.775	34.669	40.582	13.378	2.965	10.304	7.631	27.567	0.361	33.779	41.901	21.133	2.395	11.523	5.182	7.251	2.455	2.777	6.767	9.437	15.192	4.052	5.154	1.98	14.31	3.996	8.085	15.113	3.067	3.495	2.025	13.174	0.864	5.91	10.517
18.50617	8.267	43.114	1.176	33.568	44.809	13.97	3.245	9.187	7.566	26.743	0.751	34.75	40.714	13.798	3.219	10.27	7.849	27.825	0.595	33.974	42.114	20.826	2.37	11.515	5.281	7.305	2.514	2.783	6.798	9.664	15.749	4.08	5.118	1.871	14.557	3.83	8.137	14.903	3.102	3.609	1.919	13.537	0.76	5.972	10.885
18.67278	8.459	44.558	1.273	33.494	45.056	14.333	3.032	9.334	7.851	26.359	0.681	35.702	41.215	14.079	3.126	10.976	7.903	26.978	0.268	33.673	42.418	20.803	2.33	11.824	5.31	7.326	2.617	3.026	6.445	9.798	16.176	4.299	5.313	1.801	15.009	3.902	8.416	15.954	3.202	3.713	1.819	13.846	0.829	6.244	11.19
18.83961	8.552	45.391	1.347	34.252	45.492	14.767	3.188	9.443	8.078	26.999	0.751	35.86	41.483	14.766	3.191	11.096	7.878	27.398	0.481	34.316	43.139	20.997	2.455	12.142	5.537	7.476	2.429	3.181	6.912	9.863	16.888	4.336	5.46	1.956	15.382	3.802	8.735	16.412	3.472	3.638	1.919	13.879	0.93	6.171	11.824
19.00615	8.561	46.359	1.379	34.36	45.924	15.087	3.07	10.021	8.04	27.782	0.829	36.108	42.29	15.534	3.06	10.987	8.218	28.423	0.447	34.309	43.029	20.752	2.36	12.229	5.729	7.601	2.362	3.26	7.469	10.5	17.506	4.549	5.322	1.865	15.58	4.052	9.026	17.574	3.326	3.597	2.116	14.506	0.789	6.362	12.116
19.17284	8.712	47.643	1.427	34.573	46.663	15.467	3.409	10.166	8.262	27.945	0.857	36.437	42.655	16.062	3.209	11.255	8.121	26.839	0.502	34.637	44.081	20.383	2.475	12.471	5.95	7.779	2.676	3.373	7.5	10.479	18.353	4.754	5.619	1.892	15.625	3.993	9.236	17.764	3.294	3.799	1.884	14.208	0.839	6.704	12.78
19.33955	8.658	48.774	1.415	35.175	46.538	15.843	3.26	10.331	8.649	27.584	0.881	36.813	42.867	16.215	3.325	11.603	8.558	27.976	0.581	34.756	44.242	20.29	2.501	12.594	6.364	7.981	2.788	3.368	7.528	11.08	18.597	4.954	5.826	2.143	16.291	4.073	9.555	18.262	3.658	3.97	2.104	14.672	0.772	6.728	13.384
19.50626	9.167	49.407	1.427	35.313	47.289	16.093	3.437	10.28	8.604	28.571	0.914	36.949	43.48	16.688	3.294	11.653	8.377	29.513	0.331	35.348	44.622	20.127	2.617	12.727	6.462	8.234	2.818	3.458	7.557	11.247	18.865	4.953	5.875	2.063	16.82	4.306	9.606	18.447	3.721	4.055	2.055	14.976	0.753	6.988	13.492
19.67286	8.968	51.199	1.512	35.739	47.688	16.804	3.522	10.593	8.775	28.799	0.999	36.778	43.623	16.717	3.209	11.682	8.775	28.432	0.331	35.661	44.85	19.586	2.646	12.784	6.32	8.376	2.847	3.601	8.07	11.333	19.918	5.294	5.932	2.205	16.877	4.249	9.777	18.533	3.807	3.942	2.14	14.862	0.924	7.073	13.862
19.83952	9.594	52.366	1.626	36.195	47.887	16.634	3.551	10.536	8.718	29.567	0.914	37.404	44.362	17.172	3.38	11.938	8.775	28.574	0.388	35.576	45.561	19.985	2.788	13.011	6.917	8.462	3.16	3.601	8.24	11.845	20.146	5.522	6.216	2.29	16.621	4.477	10.459	18.732	3.892	4.112	2.14	15.289	0.924	7.813	14.431
20.0062	9.261	54.314	1.657	36.015	48.427	17.66	3.404	10.629	8.821	30.373	0.992	37.933	44.88	17.425	3.249	11.97	9.0	26.871	0.553	36.106	45.872	20.253	2.607	13.011	6.935	8.499	3.148	3.906	8.056	12.024	20.899	5.448	6.219	2.369	17.072	4.3	10.576	19.832	4.001	4.241	2.109	15.488	0.811	7.632	14.661
20.17296	9.476	55.295	1.751	36.388	48.892	17.82	3.386	10.683	8.9	30.635	1.089	38.022	45.001	18.098	3.321	12.357	9.02	29.2	0.451	36.649	46.536	20.249	2.62	13.229	7.214	8.6	3.247	4.117	8.468	12.751	20.639	5.804	6.351	2.352	17.348	4.652	10.736	19.882	4.154	4.425	2.233	15.081	0.877	7.73	15.276
20.33964	9.919	55.992	1.845	36.959	48.901	17.753	3.483	11.022	9.349	30.243	1.243	38.396	45.748	18.517	3.478	12.46	9.04	28.66	0.377	36.738	46.831	19.904	2.633	13.476	7.407	8.872	3.317	4.3	8.994	12.966	21.43	6.104	6.596	2.392	17.54	4.579	11.266	20.559	4.194	4.525	2.329	15.725	0.915	7.999	16.346
20.5062	9.614	57.734	1.933	37.403	49.61	18.067	3.478	11.029	9.309	31.389	1.207	38.951	46.15	18.852	3.773	12.463	9.434	28.802	0.456	37.294	47.253	19.945	2.566	13.589	7.566	9.164	3.958	4.32	9.064	13.228	21.812	6.2	6.484	2.357	17.165	4.628	11.495	20.093	4.33	4.397	2.354	15.554	0.773	8.215	16.034
20.67297	9.832	59.339	2.03	37.81	49.421	18.325	3.615	10.98	9.33	32.123	1.263	39.162	46.236	18.666	3.504	12.832	9.244	28.963	0.481	37.02	47.437	20.314	2.654	13.935	8.042	9.013	3.624	4.377	9.189	13.592	21.926	6.528	6.656	2.583	17.659	4.912	11.752	20.966	4.639	4.72	2.488	15.501	0.93	8.59	16.663
20.8396	10.208	59.753	2.147	37.849	50.088	18.246	3.363	11.188	9.566	32.961	1.296	39.515	46.818	18.843	3.566	12.923	9.535	29.941	0.513	37.116	48.105	20.322	2.915	14.055	8.363	9.275	3.8	4.666	8.767	14.025	21.763	6.647	7.003	2.501	17.154	5.115	12.328	20.718	4.615	4.81	2.435	15.65	0.933	8.794	17.239
21.00645	10.186	61.199	2.192	38.375	50.662	18.505	3.803	11.324	9.621	33.851	1.365	39.868	47.024	18.645	3.489	12.899	9.679	30.129	0.413	37.841	48.336	20.489	2.784	14.228	8.446	9.253	3.952	4.45	8.691	14.4	21.902	6.598	6.893	2.827	17.468	5.184	12.473	20.602	4.799	4.79	2.563	15.397	0.978	8.89	17.241
21.173	10.221	62.194	2.393	38.759	50.544	18.506	3.599	11.33	9.722	33.769	1.555	40.279	47.253	19.803	3.528	13.213	9.618	29.985	0.435	38.083	48.671	20.131	2.773	14.311	8.291	9.374	4.223	4.839	9.5	14.801	21.658	6.664	6.809	2.791	17.236	5.289	12.529	20.25	4.934	4.804	2.475	15.056	0.978	9.303	17.778
21.33965	10.288	63.466	2.571	39.119	51.185	18.325	3.53	11.549	9.757	34.685	1.519	40.386	47.944	19.292	3.504	13.487	9.87	31.183	0.338	38.272	49.23	20.229	2.797	14.59	8.982	9.497	4.108	5.288	9.9	15.015	21.727	7.126	7.168	2.81	17.147	5.196	12.521	20.796	5.066	4.862	2.403	15.558	0.902	9.331	18.029
21.50637	10.168	64.272	2.782	39.277	51.267	18.379	3.83	11.813	10.216	35.532	1.792	41.258	48.166	19.463	3.866	13.768	9.983	32.22	0.581	38.944	49.398	20.204	2.728	14.844	9.498	9.633	4.241	5.305	9.465	15.381	21.674	7.689	7.165	3.168	17.203	5.783	13.714	20.712	5.168	4.995	2.759	15.356	1.028	9.691	18.797
21.67306	10.55	65.048	2.83	39.785	51.939	18.189	3.562	11.871	9.907	36.178	1.723	41.365	48.498	19.043	3.908	13.749	9.934	32.161	0.513	39.081	49.528	20.265	2.886	15.166	9.474	9.531	4.056	5.178	10.133	15.932	21.735	7.501	7.174	2.814	16.67	5.855	13.353	21.23	5.44	5.038	2.577	15.166	0.933	10.189	18.776
21.8397	10.908	66.695	3.093	40.218	51.931	18.486	3.849	11.752	10.308	37.68	1.864	41.398	48.721	19.136	3.871	13.79	10.142	32.602	0.458	39.03	49.86	20.038	2.799	15.261	9.759	9.635	4.535	5.518	9.87	16.145	21.792	7.691	7.415	3.127	17.135	5.94	13.904	20.636	5.498	5.003	2.865	14.781	0.912	10.099	19.126
22.00633	10.698	67.201	3.301	40.821	52.511	18.05	3.775	12.12	10.332	37.435	2.076	42.286	49.3	19.157	3.631	14.35	10.163	33.685	0.327	40.174	50.583	20.233	2.983	15.508	10.067	10.078	4.635	5.588	9.8	16.334	21.788	8.105	7.377	3.253	16.956	6.123	14.18	20.488	5.88	4.876	2.592	14.942	0.978	10.454	19.261
22.17308	10.766	67.918	3.333	41.269	52.829	18.171	3.773	12.247	10.213	39.291	2.355	42.221	49.651	18.873	3.76	14.27	10.448	34.624	0.524	40.252	50.502	20.65	3.005	15.567	10.4	9.891	5.023	5.837	10.527	16.965	21.212	8.26	7.383	3.192	17.101	5.975	14.495	20.371	6.017	5.178	2.791	15.005	0.811	11.04	19.347
22.33969	10.612	69.248	3.769	41.275	52.984	18.048	3.869	12.445	10.548	39.416	2.311	42.768	49.605	19.065	3.804	14.574	10.412	34.912	0.451	40.486	50.969	19.823	2.961	15.815	10.339	10.22	5.35	5.907	10.315	17.24	21.008	8.532	7.601	3.204	16.581	6.244	15.198	20.11	6.257	5.192	2.801	14.768	0.877	10.657	19.794
22.50633	10.692	69.628	3.964	41.946	53.254	17.928	3.78	12.976	10.711	40.71	2.562	42.955	50.189	18.347	3.969	14.624	10.803	36.293	0.532	40.73	51.467	20.013	2.871	16.064	10.587	10.47	5.26	6.016	10.083	18.058	21.569	8.782	7.822	3.371	16.915	6.495	14.935	20.983	6.196	5.33	2.855	14.705	0.987	10.851	19.702
22.67308	11.016	70.547	4.272	42.227	53.52	18.085	3.807	12.869	10.795	42.001	2.649	43.436	50.451	18.709	3.892	14.925	10.539	36.541	0.388	41.152	51.849	20.298	2.873	16.113	10.901	10.283	5.379	6.56	10.317	18.048	21.198	8.822	7.696	3.343	16.65	6.383	15.638	20.439	6.68	5.279	2.965	14.976	0.924	11.085	20.178
22.8398	11.323	70.726	4.564	42.81	53.666	17.65	3.784	12.814	10.889	43.139	2.879	43.791	50.656	18.667	3.861	15.028	10.753	38.634	0.536	41.679	51.765	20.021	2.847	16.185	11.192	10.561	5.634	6.532	10.798	18.15	21.008	8.959	7.828	3.46	16.666	6.613	15.795	20.024	6.768	5.164	3.029	15.194	0.905	11.396	20.135
23.00647	11.306	71.386	4.969	43.175	54.404	18.003	3.962	13.117	11.104	44.105	3.172	44.44	50.939	18.34	3.985	15.638	11.165	39.254	0.828	41.703	52.191	20.009	3.14	16.312	11.55	10.942	5.615	6.769	10.666	18.618	20.996	9.567	7.955	3.554	16.936	6.849	15.553	20.466	6.862	5.344	3.064	15.093	0.912	11.662	19.752
23.17307	11.523	72.122	5.293	43.836	54.474	17.623	3.889	13.23	11.242	45.429	3.385	44.847	51.149	18.474	3.915	15.402	11.044	39.972	0.498	42.108	52.66	19.607	3.04	16.561	11.916	10.704	5.716	7.124	10.853	18.923	21.39	9.67	7.889	3.68	16.558	6.948	16.086	20.431	7.131	5.445	2.99	14.856	0.921	11.848	19.83
23.33975	11.465	72.516	5.388	44.117	54.632	18.048	3.756	13.496	11.344	46.435	3.59	45.07	51.878	18.439	3.861	15.284	11.435	40.68	0.564	42.56	52.873	19.908	3.075	16.611	11.703	11.016	6.06	7.044	11.139	18.803	20.923	9.868	7.942	3.886	16.439	6.869	16.363	20.024	7.28	5.448	3.029	14.541	0.877	12.334	19.396
23.5064	11.831	72.678	6.047	44.853	54.957	17.961	3.961	13.893	11.445	48.278	4.0	45.494	52.142	18.246	4.278	15.884	11.585	41.927	0.598	43.01	53.343	19.952	3.0	16.618	12.235	11.467	6.106	7.427	11.699	19.207	20.824	10.263	8.085	4.124	16.983	7.051	16.712	20.205	7.32	5.465	3.175	15.137	0.905	12.495	19.943
23.67329	12.105	73.074	6.315	45.345	55.825	17.837	4.001	13.835	11.64	48.979	4.299	46.072	52.382	18.608	4.094	15.819	11.521	42.846	0.496	43.616	53.386	19.578	3.127	16.639	12.489	11.599	6.605	7.185	11.487	19.398	21.076	10.338	8.105	4.365	16.519	7.406	17.247	20.456	7.589	5.565	3.186	15.242	1.0	12.255	19.965
23.83983	11.831	73.105	6.674	45.821	55.668	18.103	3.989	14.235	11.758	50.954	4.712	46.575	52.968	18.388	4.107	16.027	11.585	44.517	0.428	44.291	53.941	19.61	3.086	16.76	12.577	11.809	6.59	7.769	11.358	19.377	20.909	10.519	8.142	4.209	17.012	7.478	17.367	20.291	7.718	5.635	3.232	14.995	0.905	12.467	19.374
