	MG1655-1	IBUA2-9_1	IBUA5-6_1	IBUA7-9_1	IBUA8-3_1	pykF-1	rpoS-1	yobF-1	MG1655-2	IBUA2-9_2	IBUA5-6_2	IBUA7-9_2	IBUA8-3_2	pykF-2	rpoS-2	yobF-2	MG1655-3	IBUA2-9_3	IBUA5-6_1dup	IBUA7-9_3	IBUA8-3_3	pykF-3	rpoS-3	yobF-3	pykF_rpoS-1	pykF_yobF-1	pykF_rpoS_yobF-1	pykF_rpoS-2	pykF_yobF-2	pykF_rpoS_yobF-2	pykF_rpoS-3	pykF_yobF-3	pykF_rpoS_yobF-3
32.67392	8.867	21.814	22.926	27.021	29.069	26.935	11.35	11.493	15.477	31.703	29.03	27.668	30.592	26.399	10.348	12.287	10.598	28.866	25.979	28.766	32.367	10.232	26.064	11.87	24.114	30.629	23.416	23.931	28.341	23.623	23.666	25.675	24.13
32.84069	8.797	22.84	22.905	26.557	28.466	27.848	11.529	11.451	15.731	33.219	28.619	28.057	30.126	25.439	10.305	12.27	10.993	31.815	26.837	28.08	32.561	9.611	25.267	12.374	24.502	30.654	23.585	23.246	28.756	23.627	23.562	26.258	22.426
33.00731	9.433	24.097	22.423	26.657	28.679	26.408	12.44	12.115	15.996	31.124	28.089	27.333	28.714	24.271	10.446	12.055	11.471	31.128	26.968	28.074	31.705	10.082	25.674	12.249	24.83	30.328	23.963	23.679	29.029	24.032	24.019	26.196	23.739
33.17396	9.403	23.97	23.401	26.281	29.568	26.194	11.942	11.617	16.061	32.64	29.06	27.782	30.374	25.108	10.664	12.16	11.709	31.512	26.506	28.19	32.313	10.989	26.535	12.54	23.675	31.48	23.668	23.963	29.087	23.765	23.479	26.065	23.528
33.34066	9.623	25.044	23.401	25.785	29.899	25.505	11.694	12.057	16.392	30.353	28.564	27.506	30.567	26.183	10.636	12.38	11.461	31.347	26.837	28.438	33.994	10.465	26.976	12.209	24.282	30.516	24.246	23.825	30.272	23.71	23.865	26.396	23.39
33.50726	9.902	25.642	22.809	25.637	29.12	26.656	11.557	12.115	16.272	29.358	29.027	27.774	31.638	26.561	10.363	11.697	12.326	32.038	26.609	26.722	30.711	10.992	27.274	12.056	24.968	32.783	24.129	23.514	30.767	23.425	23.357	26.306	23.132
33.67397	10.261	25.863	23.223	24.974	29.727	26.85	11.612	12.446	16.576	29.772	28.779	29.181	31.887	26.34	10.86	12.055	11.913	30.466	26.554	26.529	32.311	10.054	26.226	12.442	24.637	32.535	23.632	24.176	29.829	24.639	23.909	25.479	23.104
33.84065	10.24	26.135	23.553	24.863	29.584	26.569	12.117	12.619	16.545	30.068	29.27	27.219	30.942	26.612	10.784	11.923	11.887	32.275	26.439	25.312	31.917	10.779	27.323	12.333	25.181	32.851	24.235	23.978	29.104	24.332	24.459	26.164	22.909
34.00729	10.229	27.8	23.401	24.931	28.439	26.993	12.135	12.25	16.943	31.538	28.95	26.266	30.484	27.395	11.242	11.746	12.756	30.575	26.286	26.041	31.789	10.135	28.409	12.622	24.833	32.555	24.329	24.1	29.638	23.627	23.645	26.478	22.977
34.17393	10.78	27.276	23.677	25.455	31.056	27.489	11.529	11.92	17.053	30.987	28.371	25.853	30.567	26.789	11.545	12.793	13.004	30.906	26.754	25.71	32.837	10.465	27.665	12.485	24.778	31.811	23.833	23.963	31.016	24.564	23.948	26.258	23.087
34.34072	10.973	29.109	24.126	24.609	30.023	27.779	12.324	12.882	16.927	30.453	28.743	25.863	30.72	27.877	11.103	12.298	12.816	31.063	26.794	25.169	32.523	10.491	28.755	12.904	25.069	32.442	23.845	23.671	29.047	24.521	23.819	26.602	23.483
34.50729	11.111	28.378	24.283	24.325	30.808	28.206	12.493	12.305	17.714	33.632	29.887	25.743	31.835	27.616	11.711	12.463	13.335	33.578	26.809	25.572	31.376	10.603	28.326	12.815	24.171	32.252	24.577	23.88	30.602	24.095	24.278	26.589	23.39
34.67406	11.376	29.809	24.029	24.512	29.841	28.479	12.37	11.879	17.159	32.199	28.975	25.489	31.888	27.227	11.865	12.342	13.465	30.824	26.861	25.237	32.092	10.232	28.159	12.753	24.859	32.669	24.656	24.152	29.802	24.284	24.218	26.889	22.916
34.84073	11.425	29.084	23.718	25.166	30.081	28.057	11.786	12.591	17.813	31.501	29.49	25.317	30.694	28.183	11.005	12.447	13.128	33.102	26.577	24.706	31.89	10.944	29.694	12.498	25.346	31.583	23.987	25.053	31.227	25.352	24.707	27.377	23.46
35.00735	11.585	29.502	24.006	24.572	30.637	27.787	11.923	12.753	17.793	32.328	29.523	25.189	30.478	28.051	10.891	12.44	13.721	32.052	26.887	25.597	33.186	10.665	29.2	13.036	24.908	32.954	24.462	24.179	30.016	24.064	24.029	28.153	23.664
35.17416	11.926	30.824	23.958	24.11	31.383	28.394	11.826	11.747	18.292	31.282	29.277	26.02	30.701	27.091	11.646	12.12	13.811	32.903	27.771	24.638	33.516	10.32	28.843	12.933	25.185	32.344	24.438	24.815	30.897	24.921	24.97	27.082	23.971
35.34082	11.761	29.531	24.095	24.963	29.512	28.89	12.431	12.298	17.824	30.429	28.92	25.442	30.15	28.77	11.426	12.506	13.866	32.821	27.111	25.602	32.251	10.65	28.788	12.933	24.854	30.693	24.521	25.063	30.457	24.536	24.282	26.587	23.559
35.50731	11.986	31.037	23.352	24.66	31.184	28.938	12.687	12.415	18.672	32.346	29.877	24.587	30.805	27.884	11.652	12.483	13.976	34.486	27.656	24.966	31.94	10.794	29.001	13.154	25.974	31.89	25.066	24.206	30.366	25.136	23.813	27.297	23.611
35.67416	12.698	30.345	23.525	24.724	29.717	29.897	12.896	12.213	18.222	30.418	29.374	25.066	30.357	29.445	11.617	12.754	13.817	34.633	26.738	24.896	33.397	11.116	28.997	13.298	25.394	32.203	24.781	24.58	30.612	24.741	24.346	27.619	24.174
35.84081	12.773	30.073	23.208	24.543	29.861	29.046	12.151	13.09	18.532	31.603	29.957	24.334	31.38	27.771	11.723	12.665	14.327	31.986	27.653	24.686	32.159	10.92	30.54	13.064	24.213	31.839	24.65	24.367	30.613	25.491	25.018	28.009	23.414
36.00748	12.598	30.869	23.229	24.262	30.381	29.21	12.166	11.977	18.693	31.052	29.845	25.264	33.333	28.566	12.152	12.407	14.182	33.116	28.283	24.158	34.278	11.293	30.21	12.534	25.367	32.916	25.197	24.666	31.245	25.212	24.627	27.264	24.234
36.17406	13.14	31.624	23.234	24.047	31.774	28.401	12.278	12.335	18.769	31.695	29.862	24.716	32.245	29.656	11.351	12.537	14.245	31.826	27.423	25.011	33.407	11.318	28.929	13.12	24.941	32.251	24.174	24.825	30.953	25.92	24.711	26.926	24.068
36.34077	13.487	31.459	23.668	24.233	30.508	29.196	12.32	12.432	18.959	33.069	30.382	24.903	32.492	28.802	12.054	12.636	14.54	32.35	28.574	25.061	34.121	11.141	30.082	12.893	25.627	32.667	24.637	25.262	31.145	24.983	25.173	26.483	24.448
36.5074	13.398	31.175	23.578	24.556	31.324	30.286	12.48	12.537	18.731	31.136	30.648	24.895	31.961	29.343	11.609	12.548	14.781	33.384	26.944	24.971	32.381	10.807	29.908	13.134	25.371	32.354	24.959	25.143	30.394	24.975	25.055	27.409	24.276
36.67411	12.865	30.855	23.482	24.267	31.527	29.801	12.278	12.664	19.703	31.366	30.137	24.771	31.888	28.777	12.175	12.509	14.492	32.732	27.917	25.258	33.461	11.208	29.753	13.12	25.216	32.004	25.492	25.237	30.294	24.602	24.051	26.926	24.315
36.84082	14.049	31.89	23.371	23.854	30.971	30.59	12.368	12.809	18.765	33.415	29.938	25.098	32.018	28.991	11.906	12.24	14.629	34.724	27.884	24.158	33.315	10.666	29.58	13.176	25.071	32.868	25.13	24.711	30.752	25.558	24.791	27.717	23.544
37.00747	13.024	30.078	23.584	24.974	30.996	29.161	12.987	12.055	18.789	32.894	29.771	24.516	31.276	29.785	12.032	12.174	14.073	34.315	27.826	24.784	34.331	11.313	30.513	13.388	25.701	31.17	24.99	25.311	29.791	25.775	24.731	28.675	24.143
37.17423	13.234	32.659	23.496	24.638	31.351	29.352	12.644	13.032	19.143	31.988	29.604	25.033	31.548	28.134	11.609	12.191	14.121	34.098	27.356	24.449	34.359	11.466	30.623	12.859	25.316	33.261	25.124	24.924	30.834	25.057	25.77	27.025	23.589
37.34083	13.72	31.067	23.262	23.937	31.465	29.465	12.368	12.479	19.506	32.071	29.307	24.686	33.473	28.689	11.824	12.349	14.547	33.462	28.268	24.46	33.151	11.05	30.898	13.779	25.922	32.182	25.24	24.958	30.615	25.668	25.834	28.568	23.873
37.50755	13.726	30.307	22.939	23.834	31.199	29.089	12.62	12.896	19.322	31.778	29.672	24.227	31.753	29.081	11.939	12.849	14.471	32.319	28.002	24.22	32.885	11.302	30.934	12.771	26.178	32.439	24.754	24.883	30.432	24.825	25.677	27.862	24.924
37.67423	13.727	30.016	23.421	25.336	31.62	29.98	12.524	12.5	19.354	31.961	29.872	24.714	30.8	28.869	11.987	12.599	14.733	33.446	28.008	25.121	32.626	11.211	31.09	13.085	25.615	32.998	25.363	24.914	30.805	25.378	25.37	27.484	24.427
37.84091	13.457	29.722	23.566	24.462	31.243	29.989	12.941	12.506	19.142	31.309	30.128	24.721	31.827	31.438	12.075	12.991	14.767	33.538	28.209	24.523	33.516	10.693	31.347	13.642	25.982	33.614	25.784	25.638	30.814	25.275	25.433	27.492	24.517
38.00764	13.709	29.88	23.538	23.553	31.512	28.991	12.316	12.623	19.357	30.915	30.287	24.829	32.205	29.366	12.163	12.472	14.575	33.774	28.203	24.163	33.26	11.333	31.228	13.257	25.836	32.636	25.833	24.147	31.273	25.326	25.485	27.707	24.404
38.17425	13.875	31.463	23.719	24.616	31.962	29.939	12.66	12.529	19.831	31.455	30.572	24.602	33.101	30.175	11.356	13.076	14.478	33.832	27.851	24.487	34.325	11.186	30.475	13.187	25.906	33.059	25.784	24.92	30.656	26.267	25.95	28.017	24.07
38.34094	13.782	30.385	23.326	24.472	30.58	30.711	12.316	12.737	19.663	31.786	30.846	24.817	31.94	28.6	11.924	12.818	15.079	33.337	28.51	23.875	34.519	11.367	31.385	13.87	26.015	32.677	25.781	25.663	31.622	25.795	25.973	27.545	24.838
38.50765	13.872	29.908	23.598	23.859	31.785	30.541	12.473	12.455	20.12	33.28	31.059	24.485	32.542	29.639	11.922	13.015	14.298	36.007	28.443	25.148	34.217	11.363	31.525	13.586	25.984	34.302	26.1	25.953	30.653	26.195	26.006	28.085	25.12
38.67436	13.929	30.981	23.208	24.158	31.072	29.321	12.591	12.485	19.522	34.161	31.305	24.582	32.618	29.972	11.558	13.105	14.492	33.444	29.579	23.806	34.663	11.03	31.888	13.202	26.359	32.059	26.658	26.128	31.136	25.436	26.448	27.734	24.789
38.84092	13.709	31.586	23.565	23.498	30.824	30.614	12.701	12.705	20.127	32.731	31.222	24.747	33.553	29.201	12.273	13.188	14.575	34.654	28.533	24.301	33.425	10.81	32.191	13.174	25.781	32.334	25.338	25.11	30.695	25.656	25.843	28.917	24.789
39.00774	13.811	30.693	23.594	23.801	31.745	29.418	12.713	12.498	20.084	31.841	30.08	24.971	32.331	30.178	12.537	12.931	14.437	33.523	29.317	23.947	35.675	10.989	31.605	13.559	26.238	33.161	25.707	25.864	29.776	25.886	26.29	27.718	25.264
39.17438	14.002	30.547	24.053	24.37	31.263	30.266	11.89	12.479	20.014	32.974	31.671	25.049	32.351	30.03	11.973	12.814	14.893	33.787	28.669	24.106	35.544	11.083	30.999	13.462	27.174	32.356	26.105	26.318	30.848	26.145	26.817	29.501	24.88
39.34101	13.924	30.847	23.988	25.215	32.726	31.006	12.849	12.551	20.733	31.639	31.804	24.429	33.174	29.973	11.572	12.574	14.802	34.704	28.891	24.673	35.419	11.318	30.741	13.29	27.221	33.6	25.748	26.54	31.061	25.679	26.329	27.843	24.228
39.50775	14.411	30.294	23.319	23.664	32.145	29.488	12.946	12.815	19.737	32.19	31.831	24.699	32.511	31.131	12.416	12.812	14.685	35.066	28.723	24.861	33.93	11.086	31.624	13.117	25.924	32.915	25.635	26.013	29.929	25.704	26.738	28.585	25.078
39.67434	14.059	29.866	23.236	25.069	32.076	31.154	12.989	12.498	19.753	33.026	31.871	24.282	33.653	30.178	11.683	13.124	15.098	34.598	29.262	23.699	34.683	11.485	32.018	13.559	26.844	33.161	25.156	26.305	30.96	26.465	26.373	28.435	25.181
39.84102	14.117	30.792	23.547	24.25	31.953	30.758	12.49	12.8	20.485	32.135	30.729	24.76	31.492	30.056	12.344	12.877	15.078	33.408	28.477	24.342	36.164	11.401	31.569	13.014	26.393	33.545	25.831	26.374	30.564	25.872	26.356	27.263	24.669
40.00777	14.512	31.262	23.525	24.063	32.369	31.42	12.586	12.922	20.597	33.486	31.309	24.683	33.589	29.947	12.576	12.97	14.974	33.929	28.452	24.816	34.123	11.137	32.313	13.352	27.0	34.147	26.66	25.55	31.034	25.986	28.235	28.755	25.335
40.1745	13.841	31.592	23.491	24.167	31.484	30.317	12.683	12.634	20.043	32.411	31.97	24.346	34.167	31.187	12.648	12.408	15.63	33.794	28.973	24.094	32.633	11.015	31.734	13.152	26.779	33.435	25.693	26.347	30.096	25.762	26.88	27.815	25.221
40.34108	14.522	29.444	24.358	24.29	32.04	31.007	13.48	13.072	20.489	33.182	32.358	24.716	34.553	30.638	12.394	12.374	15.615	34.147	29.17	24.298	35.61	11.204	31.513	13.47	26.257	32.159	26.222	26.186	31.998	26.154	26.227	27.93	25.008
40.50774	14.199	32.75	23.776	24.176	33.053	31.253	13.17	13.095	20.312	33.158	31.138	25.102	34.167	29.388	12.393	13.04	15.307	34.327	29.105	24.63	34.898	10.951	32.344	13.683	27.718	34.138	26.818	26.367	31.309	26.775	27.2	28.554	25.844
40.67449	14.197	31.74	23.622	23.994	33.261	31.154	13.347	12.664	20.58	33.632	29.501	24.365	34.59	31.556	12.096	12.6	15.043	34.818	27.994	24.14	35.096	11.209	31.963	13.256	26.183	33.547	26.892	26.635	31.622	26.493	26.758	27.966	25.319
40.84109	14.583	31.655	24.541	24.361	32.346	31.098	12.786	12.793	20.436	33.359	28.141	25.286	32.52	29.621	11.924	12.818	15.244	37.091	29.835	23.957	34.022	11.836	33.456	13.566	27.257	33.56	26.61	26.491	31.18	26.154	26.47	28.76	25.555
41.00772	14.562	31.916	24.253	23.856	32.117	30.367	13.224	13.145	20.595	30.668	27.839	24.004	34.131	30.467	12.741	13.353	15.07	34.764	28.781	24.383	31.224	11.002	33.649	13.449	26.606	32.636	26.383	25.357	30.778	25.573	26.256	27.129	25.504
41.17447	14.568	31.093	24.611	24.127	32.916	31.889	13.044	13.245	20.867	31.5	27.439	24.638	32.952	32.593	11.687	13.078	15.175	34.766	28.5	23.475	27.082	11.212	31.183	13.662	27.193	32.78	26.709	27.087	31.778	26.971	27.204	28.418	26.455
41.34116	14.745	31.502	24.605	23.877	32.391	30.641	12.551	13.106	20.29	33.585	25.826	24.494	34.021	30.741	13.226	12.902	15.173	34.602	29.136	23.993	24.368	11.183	30.898	13.938	26.358	32.833	26.271	25.822	30.42	26.616	26.912	27.842	25.941
41.50795	14.577	32.226	24.203	23.443	32.421	31.53	12.67	12.87	20.593	34.812	25.566	24.092	34.222	31.71	12.609	13.088	15.513	33.051	28.971	23.785	23.443	11.168	32.342	13.725	27.386	32.501	27.015	26.703	31.751	26.063	27.263	28.917	26.431
41.67456	15.028	30.65	24.411	23.568	31.92	32.828	12.534	12.929	20.202	33.02	25.667	23.527	34.361	30.355	11.924	13.04	15.528	36.15	29.299	24.16	23.126	11.614	31.349	13.296	27.525	33.945	26.735	26.782	30.811	27.66	26.62	28.692	26.203
41.84123	15.034	31.82	24.723	24.404	31.514	32.561	12.871	12.741	20.818	34.521	25.37	24.419	31.578	32.298	12.371	13.212	15.535	34.917	29.114	24.637	23.493	11.813	32.326	14.077	26.898	33.458	27.158	26.762	31.733	26.756	27.484	28.562	26.432
42.00789	14.647	31.297	24.685	24.974	32.569	31.153	13.102	13.219	20.797	33.579	24.337	24.684	27.473	30.589	12.681	12.911	15.664	35.735	29.782	24.322	22.407	11.103	32.682	13.545	27.12	34.604	26.612	26.548	31.18	27.122	26.833	29.12	26.69
42.17452	14.252	32.016	25.22	23.719	27.612	32.697	12.989	13.132	20.36	33.632	24.238	25.247	25.635	31.556	13.144	13.207	15.539	33.523	28.821	24.636	22.697	11.319	33.038	13.917	27.478	34.401	26.12	26.498	30.795	26.823	26.869	27.966	26.862
42.34126	14.595	32.337	24.545	24.174	25.78	31.834	13.523	13.087	20.955	33.238	24.556	24.655	23.445	32.015	13.155	12.612	16.022	34.784	30.188	23.823	22.049	11.743	32.395	13.683	27.496	33.43	26.964	26.983	31.475	26.647	26.526	28.507	26.217
42.5079	14.862	30.599	24.76	23.919	23.679	31.172	12.904	12.441	20.816	32.549	23.944	24.429	23.934	30.608	12.923	13.512	15.409	33.959	29.277	23.845	22.759	11.346	33.196	13.621	27.469	34.676	26.603	26.871	31.42	26.617	27.211	28.808	25.717
42.67465	14.978	32.815	24.409	24.368	23.134	31.015	12.743	12.943	20.631	33.331	23.703	24.96	22.507	31.444	11.963	12.911	15.499	33.804	28.871	25.591	21.552	11.572	32.626	13.683	26.899	33.28	26.75	26.521	30.408	27.205	26.888	28.899	27.187
42.84118	14.705	29.999	24.508	24.11	22.358	31.641	13.037	12.215	20.906	32.52	23.389	24.341	21.841	30.475	12.169	12.836	14.912	33.619	28.266	23.565	21.079	11.035	31.952	13.429	26.615	32.922	26.144	26.906	31.227	26.352	27.116	27.908	27.961
43.0079	14.35	31.722	24.709	23.209	21.014	32.32	13.227	13.122	20.425	32.098	23.783	24.653	21.847	30.519	12.389	13.608	15.415	35.073	28.115	24.621	21.939	11.226	32.523	13.821	27.57	34.434	26.103	27.445	31.769	26.972	26.605	28.225	27.121
43.17463	14.436	31.023	24.801	24.153	21.239	30.823	13.197	12.872	20.826	33.302	23.819	25.407	22.238	31.252	12.278	12.783	15.616	33.691	27.44	24.382	22.332	11.556	32.295	13.745	26.927	32.669	26.586	26.192	30.877	26.49	26.699	28.626	27.08
43.34137	14.898	32.283	25.168	24.193	20.844	31.173	13.312	13.041	20.961	33.043	24.104	24.919	21.731	31.934	12.224	13.193	16.122	33.509	27.276	25.271	21.905	12.026	32.833	13.594	28.074	33.307	26.722	26.108	31.612	26.517	26.566	28.183	27.246
43.50803	14.604	31.676	25.047	23.767	21.213	31.283	12.791	13.457	20.93	34.642	23.9	25.404	20.999	32.649	12.614	12.622	15.504	33.431	27.325	24.298	22.276	11.066	32.477	13.497	29.122	32.903	26.525	26.792	31.447	27.669	27.026	28.316	26.358
43.67461	14.26	32.925	25.165	24.321	20.072	30.82	13.23	13.155	20.901	33.969	23.989	25.11	21.795	32.409	13.256	12.852	15.701	33.397	28.174	24.637	21.834	11.122	32.795	13.69	28.197	34.122	27.241	26.707	31.65	26.839	27.07	28.811	26.985
43.84129	14.819	31.584	25.122	24.118	20.601	32.155	12.979	13.011	20.646	34.192	23.562	25.975	20.827	31.015	12.471	13.085	15.167	35.597	26.738	24.538	21.443	11.529	33.432	13.408	27.818	32.286	26.544	27.032	31.769	26.614	26.991	27.949	27.535
44.00807	14.693	32.098	25.054	24.215	20.586	31.209	12.961	13.132	20.608	33.109	23.053	24.64	21.309	32.107	12.4	12.876	15.759	35.507	27.223	24.277	21.677	10.961	33.479	13.587	27.065	34.456	26.396	26.994	31.539	27.374	26.758	28.242	27.193
44.17466	14.537	31.46	25.082	24.238	20.293	32.285	13.258	12.823	20.542	33.001	23.242	24.668	20.938	32.547	12.399	12.769	15.452	33.812	26.93	24.471	21.199	12.034	32.243	13.662	28.142	33.486	27.158	26.873	32.645	26.95	26.434	28.369	26.653
44.34129	14.816	30.98	25.064	24.025	20.463	31.557	13.421	12.96	20.972	33.961	23.195	24.898	21.247	31.486	12.758	13.49	15.599	35.467	26.805	24.343	22.035	11.148	32.843	13.863	27.829	33.041	25.458	27.248	31.696	26.992	27.248	28.826	27.302
44.50803	14.629	31.736	25.375	23.534	20.414	31.843	12.818	13.463	20.842	32.56	24.032	25.238	21.42	30.388	12.376	13.247	15.661	34.785	25.9	25.235	22.042	11.486	33.351	13.953	28.088	32.692	25.411	27.09	31.788	26.336	27.256	28.863	27.56
44.67468	14.851	31.761	25.553	24.539	20.165	32.342	12.974	12.679	20.919	34.058	23.155	24.612	20.731	32.768	12.814	13.022	15.476	34.074	26.969	24.944	20.884	11.478	33.882	13.406	28.422	32.953	25.319	26.752	31.484	28.13	26.69	29.328	27.385
44.84137	15.167	32.639	25.03	24.544	20.648	31.667	13.215	12.893	20.693	34.046	23.715	25.557	21.239	32.288	12.941	13.618	15.509	32.73	26.608	24.725	22.637	11.524	32.762	13.579	27.94	33.571	23.85	26.028	31.419	27.101	27.382	29.683	26.912
45.0081	15.057	31.505	25.39	24.378	19.873	32.193	13.63	13.335	21.247	33.852	23.742	25.391	21.599	32.011	12.747	13.674	15.842	34.917	26.386	25.334	21.086	11.247	33.869	13.026	27.719	33.045	23.49	25.031	30.976	26.491	27.438	28.603	27.549
45.17476	14.611	33.174	25.547	24.674	19.759	30.764	13.356	13.088	20.678	32.67	23.596	24.745	21.206	32.077	12.996	12.897	15.806	35.197	27.48	24.964	21.385	11.58	33.073	14.181	28.087	33.573	23.367	24.271	31.594	24.956	27.26	29.086	27.452
45.34148	14.854	31.725	25.08	24.76	20.861	32.304	12.926	12.908	21.328	33.798	24.013	24.832	20.068	31.54	12.93	13.165	15.946	36.72	26.936	24.997	21.134	11.457	32.292	13.434	28.162	33.326	23.43	24.474	30.754	24.965	27.074	28.629	27.435
45.50813	14.804	31.487	25.547	24.011	20.229	31.87	13.107	13.033	20.844	33.887	23.706	24.745	20.432	31.385	12.581	13.395	15.501	33.87	26.567	25.213	21.468	11.497	34.345	13.877	27.34	33.324	23.395	24.271	31.18	24.21	27.094	28.56	27.452
45.67482	14.687	31.893	24.737	24.612	20.14	31.612	12.908	12.779	21.112	34.237	23.422	24.876	20.564	31.874	12.272	12.643	16.407	35.352	26.559	24.846	21.572	11.133	33.699	13.925	27.055	33.092	22.807	24.015	32.221	24.146	27.252	28.552	27.748
45.84138	14.899	31.673	25.55	24.624	20.158	32.358	13.21	13.604	20.591	33.074	23.435	24.749	21.16	32.51	12.266	13.354	15.673	34.876	26.898	24.69	20.951	11.377	33.558	13.497	26.696	32.698	23.064	22.752	32.993	23.63	26.596	28.418	26.565
46.00818	14.429	33.22	26.019	24.293	20.406	32.69	13.541	13.659	20.784	33.544	23.959	24.914	20.691	31.406	12.846	12.746	15.369	35.732	26.511	25.16	20.785	11.377	32.15	13.994	25.702	34.189	23.81	23.415	33.159	23.105	27.811	28.694	27.532
46.17485	15.314	31.754	25.783	24.44	20.656	32.359	12.73	12.6	20.667	33.408	23.527	25.064	20.721	32.206	12.758	13.075	15.405	34.637	26.224	24.758	20.983	11.038	32.235	13.946	24.537	33.788	23.383	22.987	31.364	23.119	27.358	29.518	27.717
46.34148	15.093	30.786	25.921	25.519	20.407	32.608	13.587	13.237	20.916	35.068	23.61	24.677	21.579	34.391	12.592	12.992	16.014	34.554	27.081	25.283	20.651	11.757	32.539	13.808	24.371	33.18	23.715	23.153	32.664	23.451	27.441	28.135	27.468
46.50811	15.277	32.806	25.931	24.59	19.817	32.801	13.17	13.178	20.727	33.489	24.313	25.6	20.406	32.648	12.366	12.625	15.86	35.736	27.088	24.74	20.943	11.697	33.587	13.932	24.319	34.359	23.336	23.024	31.917	23.404	28.001	28.72	27.253
46.67474	15.585	32.07	25.705	24.533	19.934	32.588	12.826	13.412	20.741	35.041	23.344	24.574	21.238	31.968	12.598	12.993	15.913	36.232	26.885	25.204	21.083	11.599	32.599	13.352	25.492	34.521	23.605	23.127	32.891	23.481	26.723	28.32	28.153
46.84151	15.028	32.308	25.931	25.253	20.37	31.861	12.783	13.205	20.81	33.406	23.733	24.937	20.683	32.206	12.007	12.846	15.887	35.763	27.088	24.298	21.275	11.145	34.637	13.987	24.126	33.696	24.082	23.189	31.64	22.879	27.117	28.692	28.027
47.00811	15.209	32.787	26.248	24.217	20.578	32.257	13.546	12.891	20.903	34.189	23.884	24.894	20.145	31.663	12.962	12.697	15.624	34.803	27.32	25.167	20.295	11.272	32.905	13.669	24.633	34.669	23.983	22.511	32.174	23.776	27.377	28.288	27.872
47.17497	15.062	32.29	26.215	24.957	19.768	32.478	12.567	12.685	20.929	33.278	23.767	25.746	20.44	32.658	12.537	13.101	15.065	35.249	27.013	24.72	21.061	11.537	33.901	13.773	24.742	33.79	24.007	23.087	32.009	23.744	27.208	29.585	28.146
47.34147	14.868	33.174	26.381	24.957	20.127	32.147	13.23	12.906	20.625	32.753	23.574	25.746	20.109	32.077	12.952	13.018	15.563	35.415	27.124	25.439	20.618	11.62	31.579	14.022	24.411	34.73	23.454	23.446	32.396	23.053	27.844	29.944	28.118
47.50835	14.426	32.124	26.381	24.597	19.906	33.252	12.429	13.293	21.482	33.195	23.546	25.773	20.413	32.381	12.786	13.046	15.535	38.261	27.372	25.19	20.314	11.564	33.182	13.358	25.24	34.066	24.449	23.031	31.76	23.799	27.125	29.917	27.344
47.67492	14.969	32.952	26.074	24.16	20.2	32.752	12.713	13.187	21.049	32.971	23.108	25.136	19.848	32.355	12.565	13.152	15.291	36.251	26.396	26.316	20.878	11.071	34.223	13.752	24.447	34.291	24.494	23.329	32.641	23.599	26.207	28.104	27.854
47.84152	14.761	32.171	26.254	24.505	19.909	33.846	12.393	13.087	20.955	32.383	23.977	25.675	20.716	32.208	13.237	12.888	15.278	35.693	26.853	25.918	20.56	11.799	33.333	13.766	24.878	34.395	23.408	22.931	32.522	23.229	25.203	28.452	28.009
