	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
25.67322	12.722	21.078	10.824	18.851	11.773	8.717	11.649	6.573	12.112	22.124	16.651	19.864	10.74	9.147	9.816	6.316	11.966	21.734	15.784	18.211	11.329	8.834	9.381	6.887	12.83	9.969	6.961	8.088	9.206	10.544	12.591	10.56	6.705	8.861	9.676	10.332	12.717	9.484	5.876	8.579	9.556	10.241
25.84001	12.561	20.774	10.929	18.951	11.956	9.454	11.022	6.727	11.518	21.792	16.75	19.559	10.721	9.243	9.797	6.325	12.561	22.967	15.245	18.166	11.108	9.423	10.407	7.535	12.7	10.443	6.708	8.329	9.476	9.772	12.981	10.338	7.032	8.726	9.801	10.429	12.497	9.696	5.913	8.473	10.234	9.526
26.00661	12.469	20.976	10.993	18.861	11.917	9.362	11.274	6.195	11.982	21.445	16.339	20.02	10.856	9.407	9.992	6.227	12.185	22.04	15.183	17.728	11.273	9.325	9.994	6.659	12.527	10.376	7.189	8.346	9.581	9.879	12.543	10.793	6.73	8.309	9.443	10.536	12.404	10.092	6.017	8.667	9.996	10.097
26.17337	11.965	20.794	11.513	18.996	12.019	8.858	11.231	6.382	11.945	21.526	16.879	19.866	11.103	9.247	9.369	6.095	11.628	22.701	15.666	18.647	11.491	8.903	9.633	6.907	11.679	10.478	6.737	8.679	9.594	10.794	12.475	10.866	7.265	8.38	9.398	10.55	12.422	9.671	6.291	8.449	9.665	9.299
26.33988	11.599	21.121	11.254	19.441	12.178	8.579	11.129	6.137	12.765	21.881	16.6	20.078	11.03	8.74	9.209	6.169	11.982	22.94	15.386	18.975	11.099	8.948	9.558	6.659	12.643	9.824	6.58	8.811	9.29	10.604	12.63	10.619	6.469	8.396	9.53	10.245	11.766	9.57	6.365	8.231	9.909	9.574
26.50669	11.995	20.859	11.325	19.26	12.304	8.772	11.72	6.609	12.127	21.885	16.561	19.987	11.128	8.021	9.394	6.379	12.043	22.624	15.989	18.738	11.662	9.012	9.66	6.441	11.802	10.212	6.844	8.585	9.559	9.919	12.42	10.369	6.821	8.431	9.654	10.401	12.276	9.607	6.283	8.561	10.304	9.875
26.67333	12.782	21.201	10.839	19.028	11.912	8.631	11.037	6.451	11.539	21.815	17.145	20.478	11.345	8.619	9.291	5.99	11.83	23.193	15.931	19.056	11.703	8.537	9.727	6.537	11.997	10.458	6.808	8.458	9.054	10.193	12.304	10.875	6.958	8.536	9.525	9.805	12.515	9.391	6.013	7.965	9.642	9.482
26.84002	11.977	20.751	11.443	19.415	12.086	8.057	11.386	6.537	12.047	21.919	16.659	20.577	11.316	8.443	9.06	6.51	11.933	23.24	16.725	19.502	11.676	9.086	9.353	6.57	11.693	10.11	7.384	8.398	9.08	9.816	13.04	10.266	6.75	8.737	9.901	10.706	12.695	10.29	6.27	7.675	10.229	9.831
27.00674	12.208	21.295	11.66	19.238	12.062	8.376	11.013	6.369	12.011	22.577	17.586	20.456	11.204	8.247	9.383	6.256	12.591	23.027	15.764	18.888	11.824	8.715	9.646	6.398	12.266	10.55	6.928	8.55	9.697	10.024	12.369	10.88	7.165	8.889	9.298	9.375	11.592	9.744	6.278	7.825	10.257	9.574
27.17338	11.326	21.172	11.687	20.128	12.425	8.742	11.027	6.324	12.526	22.368	17.576	20.186	11.277	8.115	9.775	5.892	12.44	23.195	16.624	19.402	11.985	8.438	9.981	6.065	12.23	10.448	7.114	8.186	9.13	9.865	12.068	10.286	7.062	8.206	9.544	10.26	12.16	10.6	6.116	8.101	10.043	9.241
27.34	11.32	21.738	11.372	19.74	12.512	8.561	11.723	6.181	11.699	22.64	16.93	20.638	11.364	8.639	9.194	5.894	11.496	23.264	15.803	19.274	11.954	8.18	9.687	6.526	11.403	10.245	7.321	8.159	9.422	9.574	12.292	10.662	7.326	8.092	8.907	10.434	11.749	10.31	6.352	7.637	9.544	9.27
27.50673	12.114	21.716	11.809	20.184	12.497	8.514	11.794	6.631	11.88	22.472	18.07	20.762	11.726	8.422	9.439	5.736	11.763	23.241	16.392	19.283	12.344	8.486	9.7	6.597	11.526	10.317	7.309	8.146	9.119	9.849	12.591	10.676	7.227	8.253	9.676	9.984	11.79	9.687	6.34	8.202	9.904	8.792
27.67334	11.719	21.81	11.609	20.28	12.743	8.496	11.171	6.415	12.351	21.927	17.907	20.568	11.769	8.785	8.903	5.636	12.03	23.449	15.938	19.06	12.154	8.473	9.597	6.349	12.46	10.071	6.949	7.988	9.338	9.718	12.34	10.834	7.301	8.182	9.257	9.767	11.976	10.02	6.472	7.782	9.684	9.531
27.84005	11.707	22.077	12.154	21.014	12.651	7.992	11.483	6.122	11.547	22.566	17.14	21.041	11.647	8.58	8.753	6.097	12.121	23.25	16.704	19.939	11.973	7.835	9.184	5.878	11.482	10.297	7.036	8.42	8.96	9.366	12.18	10.77	7.329	8.382	8.965	9.676	12.139	9.9	6.645	7.315	9.991	9.15
28.00664	11.923	21.991	11.74	20.458	12.884	8.526	11.254	5.742	12.474	23.009	17.677	20.892	11.794	7.823	9.247	5.861	12.068	23.604	16.782	19.499	12.18	8.524	9.537	6.463	12.091	10.414	7.317	8.271	9.128	9.424	12.111	10.86	7.409	7.943	9.193	9.791	11.801	9.493	6.609	7.806	9.973	8.627
28.17328	11.58	21.781	11.66	20.485	12.926	8.126	11.151	5.876	11.829	23.111	16.898	21.264	11.749	8.217	9.694	5.995	11.739	24.054	16.26	20.104	12.104	8.543	9.836	5.951	12.43	10.485	7.367	8.116	8.915	9.293	12.315	11.219	7.342	8.048	9.239	9.603	11.751	9.77	6.831	7.59	9.921	8.817
28.34001	11.708	22.287	12.199	20.614	12.82	8.224	11.711	6.261	11.641	23.301	17.315	21.365	11.932	8.313	9.704	5.83	11.552	24.157	16.302	20.291	12.491	8.32	9.557	6.251	11.605	10.292	7.288	8.153	9.358	9.129	12.125	10.65	7.524	7.999	9.393	9.844	11.617	9.953	6.811	8.352	9.701	9.695
28.50681	11.568	22.597	12.233	20.9	12.775	7.969	11.088	5.729	12.732	23.084	17.982	21.186	11.742	7.839	9.109	5.704	12.264	23.97	16.822	20.229	12.241	7.876	9.336	6.203	11.28	10.248	7.251	7.652	8.855	9.259	11.837	11.038	7.659	7.96	8.918	9.83	11.654	10.748	6.512	7.701	9.737	9.304
28.6734	11.331	22.395	12.009	20.638	12.969	8.166	11.397	6.036	11.894	23.203	18.094	21.677	11.907	7.914	9.389	6.242	11.485	23.944	16.877	20.17	12.551	8.356	9.531	6.051	11.887	10.355	7.47	7.958	8.468	10.031	11.37	10.799	7.763	8.151	8.763	8.982	11.676	10.103	7.281	7.662	9.76	8.658
28.84017	11.192	22.597	12.147	20.814	13.238	7.883	10.857	5.556	11.49	23.257	18.704	21.937	12.234	7.752	8.791	5.704	11.658	24.172	16.822	20.489	12.761	7.876	9.509	5.799	11.453	10.45	7.453	7.854	8.798	8.999	11.173	10.345	7.832	8.22	9.005	9.05	11.48	9.882	6.917	7.383	9.361	9.102
29.00686	11.036	22.12	12.244	21.262	13.025	7.987	11.165	5.778	12.169	23.501	18.171	21.634	12.223	7.801	8.839	5.493	11.181	24.041	17.271	20.331	12.491	8.099	9.672	5.846	10.572	10.787	7.502	8.307	8.876	9.134	12.056	10.566	7.824	7.778	8.678	9.214	11.527	10.392	6.937	7.519	9.523	8.891
29.17336	12.156	22.566	12.45	21.106	13.14	8.125	11.049	5.924	11.375	23.856	18.278	21.88	12.222	7.429	9.387	5.496	11.425	23.993	16.972	20.26	12.401	8.045	8.861	6.074	10.934	10.497	7.65	8.281	8.907	8.327	11.672	11.084	7.827	8.011	8.998	9.619	11.263	9.498	7.055	7.404	9.576	8.487
29.34008	11.729	23.39	12.331	21.176	13.401	8.247	11.107	6.124	12.111	23.241	18.576	22.067	12.512	7.253	9.07	5.695	12.018	24.532	17.473	20.764	12.751	8.157	8.806	5.702	11.265	10.354	7.878	7.759	9.02	8.817	12.084	10.739	8.112	7.662	8.592	9.041	11.902	10.392	7.254	7.807	9.696	8.862
29.50683	12.192	22.697	12.417	21.869	13.574	8.044	11.078	5.749	12.082	24.05	18.951	22.241	12.223	7.628	9.59	5.522	12.278	24.878	17.185	20.908	12.924	8.07	9.759	5.904	11.005	10.585	7.618	7.845	8.789	9.221	12.835	10.999	7.853	8.009	8.938	9.301	11.383	10.219	7.023	7.778	9.552	8.862
29.67358	12.163	23.304	12.851	21.898	13.17	7.871	11.02	5.749	11.591	23.819	18.72	22.616	12.397	7.541	9.272	5.782	11.296	24.849	17.618	21.457	12.664	8.099	9.21	5.99	10.89	9.978	7.762	7.672	8.674	8.961	11.565	10.739	7.853	8.009	8.678	9.185	11.036	10.392	7.168	7.461	9.61	8.948
29.84012	11.66	23.153	12.531	21.63	13.676	7.628	11.035	5.878	11.353	23.843	18.45	22.031	12.268	7.988	9.432	5.593	11.665	24.816	17.349	21.565	13.056	7.996	9.052	5.717	11.374	10.195	8.18	7.598	8.86	9.178	11.352	11.217	8.212	7.877	8.345	8.621	11.37	10.089	7.441	7.822	9.54	8.789
30.00682	11.244	23.235	12.336	21.489	13.355	7.589	10.89	5.623	11.757	24.38	18.46	22.378	12.495	7.964	8.795	5.714	11.316	24.719	18.509	21.335	12.904	8.839	8.586	5.597	10.999	10.483	8.128	7.345	8.404	8.918	11.567	11.127	8.736	7.71	8.956	8.884	11.506	10.032	7.244	7.736	9.472	8.762
30.17359	11.25	23.05	12.563	21.963	13.732	7.767	10.977	5.822	11.108	24.371	18.585	22.796	12.583	7.326	9.084	5.48	11.534	24.998	18.117	20.974	13.283	8.086	9.05	6.061	11.475	10.599	8.211	7.544	8.69	8.976	12.037	11.33	8.532	7.592	8.665	9.114	10.414	9.772	7.27	7.706	9.42	9.165
30.34032	11.95	23.191	12.577	21.954	13.644	7.917	10.799	5.698	11.359	24.289	19.293	22.501	12.64	7.692	8.676	5.383	11.442	25.464	17.527	21.37	12.88	7.902	9.107	5.888	11.15	10.191	8.52	7.851	8.621	9.028	11.759	11.069	8.148	7.552	8.945	9.136	10.212	9.765	7.666	7.643	9.077	8.841
30.50685	10.904	23.541	12.823	22.194	13.732	7.71	10.89	5.447	11.368	24.343	18.672	22.883	12.756	7.269	9.084	5.596	11.361	25.431	18.377	21.291	13.341	7.711	9.05	5.773	10.955	10.426	8.298	7.544	8.834	9.149	10.94	11.359	8.503	7.649	8.752	8.912	11.626	9.714	7.241	7.706	9.362	8.703
30.67354	10.857	23.642	12.928	21.948	13.8	7.721	10.611	5.918	11.497	24.388	19.204	22.955	12.969	7.508	9.007	5.258	11.347	25.881	18.477	21.652	13.207	7.979	9.031	5.725	10.796	10.782	8.307	7.235	8.409	9.072	10.866	10.677	8.801	7.687	8.674	9.296	10.598	9.81	7.683	7.774	9.344	8.886
30.84022	11.348	23.758	13.534	22.41	13.742	7.894	10.842	5.456	10.92	24.706	18.771	22.955	12.969	7.422	8.546	5.575	11.173	25.534	18.477	21.883	13.38	6.94	8.714	6.014	11.489	10.522	8.653	7.408	8.756	9.332	11.125	10.561	8.628	7.687	8.732	8.834	10.857	9.781	7.597	7.716	9.518	8.713
31.00701	10.974	23.95	13.177	22.384	13.87	7.779	10.372	5.283	11.269	24.137	19.591	23.442	12.922	7.336	8.995	5.518	11.113	25.744	18.628	21.94	13.559	7.435	8.956	5.966	10.914	10.136	8.306	7.152	8.354	8.948	10.659	10.893	8.538	7.515	8.759	8.772	9.829	10.033	7.508	7.708	9.175	8.074
31.17358	10.848	23.81	13.141	22.076	13.891	7.481	10.97	5.626	10.904	24.74	19.775	23.304	12.972	7.449	8.588	5.459	10.803	25.772	18.379	22.463	13.32	7.578	9.522	5.958	11.036	10.217	8.907	7.611	8.468	8.484	11.278	10.685	9.34	7.657	8.613	8.999	10.453	10.086	7.592	7.991	9.05	8.416
31.34017	10.831	24.217	13.257	22.715	13.962	7.321	10.955	5.613	11.945	24.716	19.21	22.995	13.128	7.523	8.918	5.619	11.039	25.288	18.359	22.528	13.389	7.566	8.474	5.828	10.585	10.288	8.808	7.196	8.283	8.585	10.686	10.785	9.24	7.702	8.715	8.555	10.179	10.445	8.152	7.919	9.263	8.459
31.50685	10.751	23.957	13.393	22.83	14.4	7.585	11.108	5.395	11.514	25.055	20.301	23.081	13.136	7.907	8.984	5.458	11.039	25.858	18.589	22.154	13.912	7.492	8.941	5.721	10.499	10.584	9.134	7.438	8.725	8.624	11.264	10.593	9.049	7.857	8.784	8.766	9.757	10.225	8.392	8.044	8.839	8.556
31.67363	11.164	24.596	13.417	23.002	14.089	7.768	10.793	5.648	10.968	25.156	19.808	23.599	13.199	7.155	8.957	5.337	11.04	25.267	18.844	22.328	13.778	7.8	9.319	5.898	10.497	9.724	8.326	7.574	8.346	8.507	10.561	11.343	9.19	7.592	8.808	8.332	10.911	10.196	8.332	8.216	9.509	8.266
31.84026	11.806	24.217	13.458	23.088	14.162	7.349	10.927	5.527	10.74	25.203	20.099	23.54	13.243	7.695	9.118	5.734	11.441	25.919	19.105	22.556	13.762	7.48	9.449	6.43	9.982	10.202	9.066	7.512	8.226	8.642	10.772	11.215	9.154	7.989	8.543	8.813	9.921	10.187	8.181	8.264	9.779	8.287
32.00697	9.948	24.502	13.765	23.232	14.4	7.413	10.85	5.567	11.772	24.912	20.043	23.511	13.508	7.276	8.181	5.286	10.924	25.944	18.933	22.326	13.912	7.464	8.539	5.893	10.499	10.67	9.45	7.18	8.783	8.452	10.748	10.679	8.992	7.541	8.841	8.68	9.556	10.139	8.048	8.388	9.585	8.269
32.17376	11.02	24.355	13.859	23.052	14.236	7.165	10.396	5.339	10.933	25.659	20.205	23.562	13.431	6.732	8.301	5.775	11.147	26.289	19.7	22.234	13.865	7.492	9.006	6.015	10.031	10.217	9.166	7.726	8.468	8.168	10.617	10.944	8.909	7.743	8.613	8.568	9.621	9.856	8.51	8.422	9.136	8.243
32.34034	10.738	24.575	14.145	23.067	14.324	7.601	10.424	5.537	10.888	25.595	20.504	23.894	13.463	6.814	8.703	6.319	11.019	26.224	19.167	22.795	14.215	7.345	8.663	5.875	10.13	10.131	9.078	7.579	8.436	8.684	10.078	10.802	9.712	7.683	9.013	8.566	9.968	9.856	8.452	8.796	9.313	8.529
32.50702	10.542	24.41	14.356	23.448	14.473	6.773	10.832	5.57	10.637	25.431	21.058	24.247	13.497	6.933	8.277	5.489	10.768	26.232	19.491	23.435	14.249	7.55	9.013	5.88	10.051	10.251	9.542	7.985	8.67	8.517	10.659	11.152	9.516	8.262	9.104	8.341	9.743	9.803	8.888	8.398	8.974	8.505
32.67373	9.996	25.042	14.356	23.189	14.847	6.716	10.889	5.455	10.55	25.632	20.655	23.557	13.554	7.077	8.593	5.719	10.94	25.83	20.353	23.262	13.875	7.032	8.611	5.822	9.447	10.395	9.341	7.928	8.095	8.517	10.86	11.065	9.976	8.348	8.73	8.341	9.312	10.78	8.687	8.312	9.261	8.189
32.84042	10.646	24.825	14.222	23.232	14.664	7.05	10.333	5.763	10.766	25.874	20.67	24.117	13.802	6.896	8.813	5.682	10.437	26.043	19.678	23.046	14.41	7.369	8.917	5.726	9.549	10.586	9.505	7.661	8.489	8.364	10.475	10.71	9.88	8.023	8.405	8.39	9.302	10.541	9.051	8.934	8.819	8.323
33.0071	10.007	24.857	14.346	23.175	14.858	7.216	10.726	5.924	10.449	25.879	20.697	24.205	13.91	7.085	8.833	5.814	10.293	26.565	21.058	22.99	14.26	7.299	8.794	6.092	9.202	10.232	9.293	7.764	8.621	8.44	9.837	10.644	9.87	8.185	8.854	8.177	9.581	10.56	8.782	8.552	8.898	7.651
33.17376	9.91	24.697	15.161	23.534	14.732	7.377	11.205	5.743	10.867	25.891	21.23	23.988	13.727	7.019	8.449	5.806	10.796	27.066	19.836	23.32	14.594	7.205	8.87	6.311	9.476	10.165	10.031	7.583	9.015	8.632	9.883	10.49	10.378	8.205	8.903	8.427	8.909	10.148	8.802	8.714	9.232	7.729
33.34031	10.3	24.779	14.211	23.383	15.007	6.876	10.76	5.756	10.283	25.715	21.078	24.183	13.916	6.946	8.636	5.445	10.789	26.631	20.375	23.17	14.525	7.044	9.317	5.838	9.209	10.093	10.074	7.912	8.165	7.696	9.929	10.39	9.904	8.448	8.513	8.239	9.672	10.335	9.564	8.815	9.192	7.598
33.50715	10.029	25.407	15.017	23.405	15.052	6.893	10.688	5.971	10.851	26.086	21.675	24.753	14.277	6.613	8.708	5.688	10.552	27.261	20.08	23.365	14.628	7.143	9.304	5.739	9.229	10.108	10.319	8.414	8.206	8.372	10.004	11.01	10.148	8.404	8.67	8.368	9.371	9.975	9.434	8.427	8.69	7.842
33.67374	9.581	25.153	14.815	23.757	15.007	6.905	10.299	5.584	10.744	26.694	21.596	24.097	14.175	6.917	8.521	5.905	10.732	27.351	20.576	23.601	14.755	7.044	8.943	6.011	9.496	10.179	9.614	7.998	8.424	8.041	9.756	10.476	10.335	8.563	8.858	8.182	9.097	10.162	9.42	8.815	9.077	7.569
33.8404	10.211	25.123	15.715	23.82	15.235	7.016	10.42	5.737	10.151	25.909	21.892	25.248	14.344	6.727	8.325	5.685	9.963	27.342	21.443	24.035	14.348	7.488	8.828	6.039	8.962	10.183	10.109	8.123	8.292	7.877	9.406	11.025	10.34	8.313	8.724	8.392	8.841	10.512	9.539	8.704	9.131	7.349
34.00707	9.629	25.47	15.639	24.108	15.113	6.866	10.697	5.61	10.839	26.374	21.547	25.078	14.309	6.629	8.602	5.874	10.308	27.607	21.243	24.094	15.088	6.988	9.079	6.204	9.334	10.117	10.127	7.997	8.998	7.895	9.63	10.815	10.474	8.503	8.799	8.065	9.32	10.445	9.386	8.81	9.296	7.567
34.17374	10.445	25.659	15.4	24.238	15.296	6.935	10.966	5.907	10.335	26.046	21.532	25.123	14.09	6.752	8.583	5.969	10.437	26.934	21.23	23.995	15.1	6.421	8.831	6.3	9.376	10.299	10.568	8.437	8.432	7.846	9.641	10.797	10.656	8.886	9.095	7.987	9.215	10.311	9.568	8.819	9.135	7.318
34.34046	10.342	25.893	15.63	24.646	15.28	6.832	10.52	5.52	11.148	26.796	22.229	25.013	14.533	6.625	8.597	5.669	10.932	26.937	21.897	24.086	14.824	6.811	8.643	6.026	9.097	10.284	11.214	8.423	8.304	8.436	9.509	11.126	10.699	8.614	8.622	7.601	8.971	10.555	9.554	9.034	8.803	7.362
34.50715	10.319	25.47	15.381	24.597	15.544	6.924	11.128	5.668	10.752	26.633	22.323	24.561	14.337	6.801	8.717	6.104	9.819	27.176	21.215	23.836	14.887	7.16	9.194	6.319	8.932	10.289	10.817	8.342	8.222	8.067	9.802	11.217	10.991	8.79	8.799	8.151	9.435	10.359	9.53	9.011	9.153	7.309
34.67379	10.019	25.811	16.33	24.303	15.388	6.768	10.913	5.997	10.888	26.745	22.459	24.929	14.526	6.9	8.703	5.888	10.502	27.23	21.611	23.916	14.962	6.425	9.008	6.306	9.095	10.562	11.148	8.269	8.407	7.822	9.704	10.83	11.006	8.804	8.985	8.308	9.163	10.316	9.199	9.112	9.227	7.581
34.84042	9.479	25.991	16.138	24.368	15.451	6.514	10.803	5.944	10.78	26.524	22.955	25.196	14.388	6.099	8.507	5.892	11.141	27.497	21.503	23.952	15.198	6.774	9.215	6.34	9.533	10.481	10.491	8.388	8.325	7.826	9.71	11.152	11.5	8.866	9.018	7.91	8.996	10.665	10.067	8.944	8.744	7.815
35.00717	9.761	25.753	16.243	24.792	15.647	6.394	10.625	5.537	11.262	26.659	22.632	25.504	14.641	6.986	8.502	6.146	11.019	27.834	21.841	24.261	15.106	6.597	9.267	6.421	9.728	10.677	10.918	8.297	8.752	7.764	9.877	11.003	11.063	9.063	8.898	7.963	9.451	10.316	9.975	8.709	8.911	7.724
35.17376	9.852	26.078	16.311	24.598	15.738	6.802	10.63	5.542	10.291	26.495	22.61	25.196	14.733	6.444	8.679	6.323	10.768	27.497	21.676	24.096	15.399	6.745	8.87	6.512	9.016	10.51	11.095	8.445	8.67	7.568	10.17	10.893	11.413	8.693	9.104	7.133	9.341	10.464	9.952	9.318	8.715	7.642
35.34047	9.646	26.271	16.473	24.504	15.819	6.681	10.654	5.739	10.716	26.917	22.977	25.044	14.699	6.297	8.444	6.118	10.875	27.661	22.732	24.462	15.192	6.655	9.123	6.565	9.268	10.677	10.889	8.297	8.608	7.592	9.618	10.974	11.006	9.149	8.841	7.647	8.962	10.89	10.292	9.284	9.169	7.581
35.50717	9.655	26.501	16.629	24.499	15.657	7.065	10.947	5.942	10.131	27.094	22.942	25.185	14.68	6.469	7.96	6.148	10.12	27.722	22.843	24.776	15.521	6.51	9.217	6.689	9.488	10.626	11.211	8.645	8.609	7.537	9.86	11.125	11.3	8.836	8.785	7.245	9.515	11.443	10.154	9.089	8.834	7.323
35.67389	9.803	26.031	16.602	24.717	16.007	6.465	10.717	5.882	10.172	27.406	22.553	25.145	14.628	6.58	8.42	6.262	9.933	28.12	22.314	24.852	15.47	6.735	8.99	6.548	9.817	10.713	11.154	8.671	8.577	7.881	9.866	11.299	11.301	9.266	8.697	7.414	9.69	10.695	10.357	9.292	8.982	7.465
35.84058	10.132	26.295	16.889	24.867	15.875	6.765	10.616	6.128	9.921	27.264	23.05	25.583	14.784	6.424	8.579	6.335	10.66	27.546	22.377	24.914	15.538	6.521	9.06	6.734	9.508	10.612	11.024	8.86	8.795	7.32	9.762	11.63	11.401	8.82	9.231	7.747	9.3	10.939	9.852	9.248	8.534	7.509
36.0072	9.592	26.521	16.993	24.923	16.054	6.801	10.856	6.11	10.729	27.229	23.798	25.551	14.991	6.321	8.358	6.144	10.545	27.627	23.037	24.768	15.659	6.592	9.442	6.856	9.568	10.765	11.523	8.468	8.692	7.504	9.912	11.264	11.352	9.234	9.011	7.385	9.683	11.092	10.264	9.343	8.771	7.665
36.1739	9.407	26.431	17.052	25.148	15.956	6.443	11.014	6.21	10.836	27.169	23.475	26.093	15.095	6.506	8.948	6.186	10.163	27.365	22.801	24.734	15.763	6.69	8.911	6.642	9.588	10.722	11.826	8.826	8.445	7.229	10.188	11.049	11.396	9.018	9.053	7.945	9.525	11.338	10.164	9.157	9.133	7.419
36.34063	9.515	26.579	17.438	25.265	16.324	6.724	11.034	6.171	10.115	27.147	23.504	25.577	15.118	6.263	8.651	6.435	10.163	28.091	23.438	24.65	15.96	6.62	9.797	6.75	9.471	10.973	11.212	8.844	8.549	7.391	10.154	11.299	11.33	9.266	8.898	7.53	9.459	10.724	10.184	9.523	8.896	7.523
36.50731	9.959	26.554	17.206	25.328	16.249	6.736	10.76	6.128	10.094	27.552	23.914	25.554	15.129	6.164	8.579	6.623	10.43	28.238	23.875	25.519	16.028	7.04	9.176	6.82	9.076	10.525	11.572	8.687	8.795	7.176	9.935	11.14	12.064	9.281	8.971	7.69	9.703	11.112	9.938	9.335	8.764	7.941
36.67392	9.946	26.967	17.2	25.303	16.468	7.04	10.654	6.337	9.918	27.71	24.003	26.078	15.175	6.197	8.675	6.659	10.055	27.616	23.65	25.237	16.105	6.755	8.843	6.691	9.823	10.767	11.785	8.549	8.743	7.182	10.241	11.412	11.759	9.29	9.151	7.782	9.543	10.979	10.584	9.491	9.356	7.573
36.84069	9.439	26.422	17.285	25.251	16.422	6.677	11.274	6.468	10.186	27.885	24.529	25.42	15.417	6.588	8.689	6.847	10.206	28.282	23.742	25.358	16.174	6.454	9.086	6.905	9.831	10.81	11.77	8.853	8.471	7.111	10.137	11.829	12.09	9.218	9.08	7.769	9.527	11.224	10.54	9.302	8.878	7.445
37.00726	9.704	27.094	17.901	25.432	16.514	6.856	10.991	6.444	10.02	27.491	25.055	25.774	15.452	6.621	8.319	6.823	10.012	28.031	24.096	25.135	16.064	6.631	9.207	7.286	9.405	10.93	11.659	8.858	8.677	7.26	10.172	11.603	12.038	9.309	8.71	7.716	9.965	11.229	10.141	9.394	9.345	7.449
37.17404	9.098	26.748	17.295	25.346	16.831	6.971	11.049	6.328	9.818	28.24	25.2	26.12	15.51	6.506	9.127	7.083	9.752	28.579	23.49	25.654	16.237	6.833	9.409	7.199	9.578	11.103	11.602	9.29	8.936	7.375	10.518	11.661	12.124	9.136	9.056	7.196	9.965	11.142	10.632	9.481	9.143	7.651
37.34067	9.295	26.999	18.265	25.684	16.566	6.966	11.044	6.9	9.494	27.568	24.932	26.487	15.706	6.617	8.776	7.193	10.351	28.397	24.001	25.386	16.491	6.627	9.029	7.136	9.398	10.81	12.116	9.026	8.845	7.457	10.829	11.887	11.859	9.189	8.907	7.942	9.989	11.656	10.453	9.129	8.878	7.791
37.50739	9.493	27.036	18.117	25.81	16.704	6.702	11.014	6.757	10.087	27.803	25.375	26.525	15.556	6.708	8.574	7.137	10.135	28.431	24.299	25.598	16.54	6.892	9.055	7.189	9.847	11.385	11.999	9.287	8.877	7.229	10.188	11.308	12.433	9.277	9.025	8.002	10.101	11.77	10.711	9.33	9.047	7.678
37.67396	9.186	26.874	18.198	25.481	16.883	7.055	10.712	6.946	9.71	28.412	25.19	26.194	15.59	6.555	8.588	7.67	9.898	28.725	23.537	25.583	16.687	7.028	8.864	7.312	9.527	11.109	12.269	8.786	8.695	7.276	10.078	12.095	12.098	9.81	8.755	7.79	10.054	11.12	10.579	9.543	8.796	7.811
37.84065	9.074	27.413	18.634	25.844	16.946	7.146	11.0	7.031	9.52	28.38	24.949	26.616	15.884	6.839	8.991	7.353	9.538	28.203	23.498	25.66	16.436	6.88	9.327	7.173	9.424	10.678	11.983	8.813	8.951	7.446	10.344	11.523	11.784	9.608	8.867	8.191	9.913	11.841	10.408	9.171	9.116	7.751
38.00724	8.535	27.473	19.023	25.899	17.045	7.012	11.063	7.151	9.625	28.098	25.003	26.413	15.925	6.811	8.392	7.357	9.933	28.725	24.302	25.976	16.68	7.052	8.99	7.615	9.961	11.232	12.019	9.017	8.549	7.621	10.76	11.732	11.676	9.555	8.956	8.106	10.295	11.531	10.789	9.523	9.04	8.041
38.17402	9.374	27.033	18.595	25.715	16.993	7.075	10.832	7.179	10.156	28.066	25.541	26.375	15.989	6.807	8.449	7.731	9.11	28.808	24.64	26.082	16.89	6.759	8.963	7.475	9.858	11.638	12.194	9.333	9.007	7.475	10.623	12.254	12.14	9.554	8.838	8.219	9.721	11.243	10.733	9.496	9.16	8.761
38.3407	8.778	27.332	18.502	25.76	17.027	7.082	10.385	7.079	9.172	28.417	25.902	26.072	16.08	6.712	9.011	7.775	9.537	28.439	24.365	25.663	16.691	6.982	9.089	8.145	10.113	10.986	12.263	9.465	8.997	7.32	10.454	11.975	12.266	9.454	9.058	7.488	9.847	11.458	10.371	9.277	8.534	8.201
38.50744	8.98	27.418	18.387	25.933	17.142	7.197	10.933	7.223	8.999	27.927	25.786	26.792	16.08	6.712	8.636	7.861	9.566	28.814	24.826	26.009	16.835	6.953	9.003	7.857	9.681	11.159	12.349	9.349	8.536	7.608	10.54	12.292	12.266	9.627	9.058	8.035	9.761	11.112	10.975	9.45	9.139	7.769
