	MG1655-1	HEXA4-10_1	HEXA7-2_1	ompR-1	proQ-1	ompC-1	ompR_proQ-1	ompR_ompC-1	MG1655-2	HEXA4-10_2	HEXA7-2_2	ompR-2	proQ-2	ompC-2	ompR_proQ-2	ompR_ompC-2	MG1655-3	HEXA4-10_3	HEXA7-2_3	ompR-3	proQ-3	ompC-3	ompR_proQ-3	ompR_ompC-3	proQ_ompC-1	ompR_proQ_ompC-1	MG1655-1dup	IBUA8-3_1	phoU-1	cheR-1	rph-1	proQ_ompC-2	ompR_proQ_ompC-2	MG1655-2dup	IBUA8-3_2	phoU-2	cheR-2	rph-2	proQ_ompC-3	ompR_proQ_ompC-3	MG1655-3dup	IBUA8-3_3	phoU-3	cheR-3	rph-3
11.83952	5.113	17.945	2.574	2.867	2.734	7.759	15.696	2.331	5.278	18.818	2.511	2.509	2.576	6.68	12.685	2.384	5.519	17.484	4.357	2.743	2.837	6.154	15.608	2.651	4.881	5.602	0.479	14.894	0.728	0.616	0.419	5.087	6.267	0.415	20.537	0.745	0.647	0.582	5.193	5.931	0.61	23.859	0.649	0.518	0.255
12.00626	5.737	18.011	2.771	2.965	2.701	8.383	15.926	2.43	5.771	18.621	2.576	2.64	2.477	6.779	13.243	2.58	5.749	17.779	4.357	2.711	2.641	6.449	15.509	2.717	4.881	5.405	0.446	15.977	0.761	0.715	0.55	5.185	5.972	0.546	21.718	0.777	0.614	0.484	5.587	5.833	0.61	24.318	0.649	0.617	0.19
12.17277	5.885	17.993	2.706	2.998	3.127	8.036	16.223	2.533	5.819	17.38	2.677	2.641	2.873	7.253	14.49	2.551	5.705	17.234	4.235	2.977	2.871	6.592	15.81	2.822	4.925	5.417	0.509	16.448	0.704	0.65	0.518	5.696	6.451	0.643	22.796	0.711	0.68	0.582	6.202	5.978	0.542	25.435	0.683	0.618	0.288
12.33958	5.975	17.452	2.733	3.321	3.219	8.521	16.605	2.69	5.843	18.716	2.67	2.931	2.801	7.639	14.577	2.807	6.386	17.055	4.589	2.97	2.865	6.617	15.962	3.012	5.213	5.705	0.503	17.552	0.795	0.743	0.512	5.72	5.62	0.539	22.647	0.771	0.641	0.478	6.027	6.2	0.602	27.653	0.742	0.71	0.216
12.50621	6.501	17.566	2.712	3.267	3.1	8.556	17.448	2.732	6.502	17.65	2.648	3.237	3.074	7.739	14.797	2.718	6.153	18.221	4.496	3.111	2.942	7.048	16.77	3.249	5.447	5.577	0.484	18.125	0.637	0.524	0.458	5.785	5.719	0.519	24.952	0.849	0.718	0.555	6.352	5.94	0.583	28.702	0.622	0.623	0.261
12.67281	6.224	18.055	2.592	3.542	3.211	9.329	18.723	2.877	6.323	18.333	2.759	3.02	3.054	8.217	15.775	2.994	6.469	17.56	4.38	2.96	2.987	6.966	17.421	3.264	5.595	5.791	0.495	19.305	0.751	0.733	0.437	5.903	6.0	0.563	25.546	0.762	0.73	0.6	6.472	6.187	0.594	28.117	0.634	0.701	0.273
12.83956	6.295	17.322	2.673	3.687	3.193	9.301	17.665	3.053	6.657	18.129	2.675	3.034	2.871	8.419	15.441	3.335	6.373	17.878	4.553	3.334	3.231	7.236	17.577	3.143	5.636	5.667	0.544	20.046	0.728	0.551	0.419	6.531	6.07	0.513	26.804	0.745	0.647	0.451	6.374	5.669	0.577	30.652	0.714	0.617	0.288
13.00623	6.661	18.53	2.828	3.515	3.217	9.24	17.224	3.147	6.924	18.774	2.7	3.355	3.258	8.16	14.407	3.33	7.071	18.067	4.585	3.493	3.487	7.895	17.632	3.305	5.9	5.733	0.599	20.044	0.89	0.641	0.607	6.274	6.042	0.634	28.261	0.801	0.736	0.508	6.844	6.064	0.698	31.523	0.673	0.608	0.279
13.17298	7.159	17.88	2.733	3.913	3.45	10.625	19.828	3.151	6.83	17.334	2.703	3.424	3.195	8.428	16.616	3.301	7.504	18.239	4.721	3.497	3.49	7.472	18.099	3.506	6.364	5.705	0.405	21.301	0.861	0.677	0.446	6.509	6.212	0.637	29.06	0.804	0.739	0.478	6.981	6.101	0.733	30.153	0.742	0.907	0.282
13.3397	6.946	17.216	2.768	3.815	3.387	9.92	18.413	3.444	6.882	17.63	2.672	3.523	3.13	8.513	16.387	3.332	7.024	17.969	4.549	3.659	3.622	8.348	17.734	3.632	6.124	5.86	0.574	22.958	0.823	0.646	0.416	6.821	6.197	0.707	28.632	0.84	0.709	0.645	7.189	5.829	0.673	32.938	0.843	0.614	0.252
13.50635	7.519	18.058	2.712	3.628	3.659	10.361	19.221	3.454	7.158	17.912	2.78	3.533	3.14	9.873	17.489	3.703	7.762	17.072	4.693	3.833	3.336	8.886	18.149	3.578	5.972	5.807	0.484	23.772	0.834	0.623	0.458	6.967	5.981	0.617	30.73	0.947	0.653	0.49	7.107	5.776	0.517	34.513	0.852	0.59	0.294
13.67302	7.374	17.332	2.691	4.002	3.638	10.578	19.347	3.699	7.637	17.84	2.595	3.71	3.317	9.531	17.418	3.553	7.751	17.626	4.906	3.946	4.072	8.511	19.623	3.954	6.581	5.593	0.462	24.366	0.784	0.635	0.437	7.184	6.033	0.563	29.786	0.861	0.665	0.567	7.326	5.858	0.692	34.098	0.93	0.602	0.207
13.83969	7.925	18.125	2.805	4.347	3.982	10.866	18.986	4.013	7.629	18.4	2.677	3.891	3.531	9.49	17.287	4.064	7.877	17.333	4.926	4.161	3.661	9.027	19.166	4.007	6.307	5.614	0.476	26.483	0.901	0.65	0.584	7.111	5.958	0.544	32.469	0.974	0.844	0.582	7.88	6.11	0.706	30.634	0.847	0.552	0.288
14.00637	7.601	17.606	2.742	4.284	3.886	11.463	18.269	4.116	8.16	18.407	2.877	3.763	3.534	9.462	17.392	3.936	8.87	18.36	4.897	4.494	3.796	10.052	18.812	4.241	6.509	5.52	0.61	26.921	0.971	0.653	0.521	7.675	5.864	0.58	33.105	0.879	0.88	0.487	7.787	5.917	0.61	29.393	0.883	0.818	0.389
14.17295	7.885	18.952	2.682	4.353	4.023	10.924	18.801	4.016	8.28	17.623	2.75	4.061	3.471	10.469	17.825	4.002	8.128	17.801	4.762	4.231	3.766	8.891	19.206	4.205	6.962	5.614	0.487	27.327	0.937	0.823	0.461	7.366	6.314	0.522	33.794	0.852	0.82	0.493	7.901	5.846	0.782	27.859	0.822	0.593	0.363
14.3398	8.393	17.234	2.724	4.265	3.934	11.728	19.018	4.192	8.525	17.38	2.759	3.973	3.81	10.057	18.798	4.046	8.441	17.921	4.873	4.538	4.072	9.431	18.9	4.414	7.37	5.528	0.495	27.422	0.849	0.569	0.437	7.546	5.902	0.53	33.335	0.992	0.632	0.6	8.115	6.055	0.791	29.925	0.733	0.734	0.372
14.50643	8.787	17.891	2.888	4.527	4.131	12.352	18.427	4.29	8.722	17.545	2.891	4.269	3.876	10.55	19.258	4.342	9.46	18.119	4.61	4.538	4.203	10.22	19.196	4.119	7.337	6.119	0.561	29.229	0.981	0.536	0.437	7.743	5.902	0.662	27.847	0.959	0.763	0.502	8.378	5.858	0.594	30.516	0.93	0.602	0.207
14.6731	8.657	17.518	2.902	4.803	4.145	11.894	18.715	4.3	8.79	17.702	2.97	4.445	3.987	11.274	18.92	4.32	9.227	17.09	4.685	4.811	4.544	10.058	18.036	4.456	7.145	5.766	0.479	30.054	0.86	0.616	0.353	7.745	6.005	0.513	27.493	0.941	0.548	0.451	8.179	5.767	0.577	32.292	0.813	0.584	0.255
14.83979	9.093	17.379	2.927	5.027	4.564	11.968	19.098	4.594	8.305	18.183	2.897	4.44	4.113	11.119	19.371	4.448	9.241	18.462	4.782	4.775	4.177	10.229	18.783	4.521	7.445	5.635	0.566	30.466	0.89	0.674	0.476	7.786	5.714	0.569	28.524	0.965	0.671	0.508	8.323	5.406	0.731	30.931	0.936	0.806	0.575
15.00652	9.093	17.873	2.828	5.093	4.466	12.067	19.196	4.594	8.897	17.558	2.963	4.637	4.211	11.415	19.371	4.777	9.702	18.035	4.717	4.973	4.572	10.427	18.684	4.587	7.774	5.799	0.501	31.156	0.89	0.674	0.509	7.984	5.845	0.569	31.285	0.965	0.736	0.475	8.488	5.472	0.698	29.879	1.035	0.707	0.312
15.17314	9.1	17.212	2.813	5.174	4.548	12.763	19.064	5.001	9.232	17.722	2.98	4.62	4.391	12.209	18.842	4.922	9.738	17.9	4.861	5.216	4.357	10.894	19.305	5.158	8.111	5.811	0.553	32.253	1.134	0.527	0.494	8.253	5.723	0.62	31.824	0.983	0.754	0.46	8.393	5.944	0.585	30.19	0.921	0.593	0.395
15.33986	9.017	17.956	2.789	5.25	4.854	13.207	18.197	4.948	9.445	17.643	2.792	4.86	4.106	12.029	18.437	5.295	10.051	17.921	4.972	5.063	4.565	10.712	18.604	5.072	7.468	5.824	0.561	31.004	1.047	0.733	0.503	8.072	6.033	0.563	31.264	1.091	0.763	0.567	8.18	5.99	0.692	30.319	1.062	0.734	0.47
15.50648	9.817	17.927	2.712	5.007	4.742	12.955	18.203	4.833	9.391	18.438	2.944	5.142	4.42	12.27	18.868	5.016	10.126	17.597	4.66	5.147	4.879	11.48	17.853	5.153	7.712	5.971	0.55	30.272	0.933	0.655	0.655	8.215	5.916	0.519	33.947	1.046	0.718	0.457	8.584	5.644	0.812	30.738	0.918	0.721	0.36
15.67328	9.636	17.982	2.786	5.28	4.949	13.037	18.913	5.305	10.031	19.049	2.855	5.251	4.595	12.845	18.265	5.389	10.374	17.651	4.705	5.487	4.89	11.594	18.925	5.002	7.825	6.115	0.492	27.511	0.944	0.566	0.598	8.428	5.7	0.659	30.86	0.989	0.662	0.564	8.405	5.755	0.722	31.886	1.157	0.599	0.467
15.83984	10.726	17.135	3.085	5.776	4.887	13.798	19.051	5.309	9.741	18.432	2.858	5.353	4.697	12.653	18.798	5.13	9.887	18.151	4.774	5.425	4.762	11.6	18.9	4.973	7.961	5.824	0.462	25.943	0.784	0.668	0.503	8.236	5.606	0.464	30.87	0.992	0.665	0.502	8.903	5.957	0.824	29.531	1.029	0.536	0.47
16.00651	10.31	17.61	2.697	5.553	4.696	13.875	19.262	5.547	10.245	17.953	2.799	5.591	4.803	12.5	19.503	5.894	11.05	17.344	5.177	5.564	5.295	11.545	18.914	5.902	7.872	6.095	0.501	29.841	0.989	0.74	0.509	8.247	5.648	0.733	32.568	1.097	0.671	0.573	8.882	5.604	0.928	32.082	1.134	0.838	0.378
16.17325	10.49	18.08	2.819	5.74	4.949	14.121	19.012	5.239	9.9	18.787	3.249	5.744	4.792	12.812	19.185	5.882	10.866	17.224	5.066	5.782	5.054	12.087	18.071	5.823	7.825	5.721	0.492	32.209	1.076	0.665	0.5	8.329	5.503	0.659	33.291	1.351	0.826	0.564	8.47	5.985	0.788	31.853	1.223	0.698	0.5
16.33992	10.852	17.785	2.885	5.838	5.31	14.68	19.012	5.568	9.998	18.129	2.986	5.547	4.726	12.319	19.382	5.981	11.425	18.505	4.968	5.585	5.087	12.219	18.17	5.725	8.121	5.688	0.492	30.829	1.076	0.632	0.467	8.526	5.601	0.626	30.564	1.154	0.957	0.499	9.456	5.953	0.788	31.985	1.124	0.829	0.5
16.50658	10.496	17.891	2.987	5.875	5.182	13.995	18.525	5.638	10.529	18.268	2.989	5.748	4.993	13.015	18.699	6.116	11.136	17.724	4.807	5.852	5.682	11.797	18.078	5.893	8.257	5.692	0.561	30.708	1.145	0.569	0.503	8.696	5.409	0.563	33.302	1.288	0.665	0.666	8.805	5.76	0.824	30.385	1.127	0.799	0.404
16.67316	11.037	17.737	2.977	5.962	5.501	13.781	20.147	6.151	11.137	18.346	2.947	5.769	5.015	13.589	19.237	6.465	11.117	17.932	4.894	6.267	5.375	12.241	18.977	6.176	8.308	5.68	0.553	29.527	1.035	0.724	0.461	8.877	5.493	0.752	30.642	1.147	0.82	0.493	8.886	5.747	0.815	32.587	1.019	0.79	0.395
16.83999	11.317	17.792	3.151	6.105	5.675	14.62	18.46	5.835	10.201	18.268	2.989	5.78	4.927	13.54	18.765	6.412	12.154	17.954	4.807	6.444	5.485	12.717	18.768	6.288	8.421	5.692	0.561	29.952	0.981	0.635	0.47	8.729	5.606	0.563	30.344	1.157	0.927	0.567	8.969	5.661	0.889	30.056	1.16	0.931	0.404
17.00659	11.12	17.661	2.888	5.941	5.478	14.423	17.704	6.262	11.022	18.432	2.957	6.142	5.026	14.066	18.962	6.314	11.366	17.856	4.972	6.279	5.912	12.651	17.684	6.123	8.323	5.725	0.561	29.459	1.079	0.668	0.568	8.729	5.639	0.662	31.33	1.255	0.927	0.567	8.673	5.76	0.988	30.516	1.127	0.734	0.404
17.17344	11.858	17.639	2.879	6.455	5.862	14.372	18.276	6.709	11.793	18.247	2.881	6.163	5.376	13.49	18.645	6.498	12.299	18.885	5.058	6.562	5.572	12.93	17.794	6.405	8.538	5.68	0.487	30.085	1.035	0.724	0.461	8.877	5.329	0.62	30.215	1.147	0.754	0.558	8.853	5.648	0.979	31.372	1.019	0.626	0.494
17.33994	11.497	18.46	2.879	6.389	5.862	16.014	18.44	6.479	11.629	18.247	2.98	6.294	5.278	15.066	19.696	6.892	12.956	18.228	4.697	6.562	5.769	12.733	19.305	6.832	8.604	5.778	0.651	29.494	1.166	0.658	0.559	8.877	5.493	0.719	28.573	1.18	0.754	0.558	9.083	5.747	0.979	32.719	1.216	0.823	0.461
17.50668	11.807	17.945	2.968	6.345	6.081	13.994	16.845	6.663	11.218	18.293	3.134	6.053	5.201	14.096	19.117	6.978	13.1	18.698	4.849	6.911	6.086	13.57	18.331	6.72	8.392	5.963	0.544	31.17	1.122	0.715	0.452	8.598	5.381	0.612	30.676	1.171	0.811	0.648	8.737	5.669	1.069	30.422	1.141	0.781	0.583
17.67334	12.055	17.967	2.912	6.685	5.993	14.307	19.556	6.807	11.728	18.116	2.98	6.689	5.179	13.72	19.368	7.089	12.529	17.834	4.959	6.727	5.704	12.832	17.959	7.128	8.604	5.417	0.553	30.808	1.068	0.724	0.494	8.68	5.493	0.653	31.101	1.246	0.754	0.46	9.181	5.747	1.111	31.274	1.315	0.691	0.56
17.84004	11.754	18.255	2.81	6.779	6.088	14.071	17.81	6.869	11.886	19.718	2.977	6.783	5.208	14.338	18.409	7.183	12.653	18.812	4.791	6.821	5.995	13.811	18.083	7.32	8.303	5.675	0.747	30.699	1.031	0.82	0.491	8.773	5.423	0.65	30.993	1.276	0.915	0.654	8.781	5.579	0.911	29.884	1.147	0.721	0.655
18.00668	11.757	18.267	2.927	6.901	6.603	14.829	17.815	7.092	12.382	18.774	2.897	6.906	5.658	14.243	18.483	7.505	12.595	18.725	4.914	6.879	5.722	13.221	17.895	6.691	8.267	5.404	0.665	31.156	1.153	0.871	0.607	8.838	5.451	0.766	31.088	1.196	0.835	0.606	9.014	5.801	0.928	31.49	1.166	0.904	0.509
18.17333	12.283	18.793	2.894	7.394	6.34	14.927	17.947	7.125	11.921	18.643	2.963	6.972	5.954	13.881	18.878	7.308	13.384	19.317	4.782	7.241	5.985	13.419	17.205	7.513	8.365	5.799	0.599	29.052	1.35	0.74	0.509	8.838	5.648	0.667	31.187	1.36	0.868	0.672	9.178	5.702	0.994	30.636	1.265	0.904	0.476
18.3401	12.677	18.892	2.993	7.131	6.636	14.829	17.224	7.388	11.823	19.498	3.094	7.004	5.822	13.749	18.779	7.341	13.088	18.166	4.782	7.142	6.281	14.767	18.388	7.809	8.464	5.503	0.468	28.658	1.153	0.674	0.476	8.608	5.549	0.667	34.705	1.36	0.934	0.573	8.685	5.702	1.125	31.326	1.265	0.904	0.41
18.50678	11.625	18.826	2.927	6.901	6.143	14.632	17.848	7.421	12.48	18.544	2.963	7.07	5.756	14.769	17.234	7.834	13.482	19.547	4.815	7.504	6.183	13.813	18.323	7.118	8.661	5.339	0.665	30.532	1.087	0.773	0.509	8.51	5.418	0.733	31.647	1.196	0.868	0.606	8.882	5.867	1.026	31.786	1.265	0.904	0.673
18.67351	12.895	18.811	3.085	7.386	6.234	15.77	17.901	7.445	12.731	19.155	3.088	7.424	6.044	15.085	18.239	7.694	13.469	19.203	4.709	7.791	6.306	14.229	16.862	8.128	8.356	5.593	0.692	30.708	1.244	0.766	0.47	9.09	5.704	0.727	32.612	1.452	0.927	0.666	9.1	6.088	1.119	31.371	1.357	0.734	0.569
18.84022	12.566	19.37	3.019	7.025	6.3	15.54	17.934	7.281	12.665	19.188	3.088	7.489	6.044	15.249	16.925	7.957	13.962	18.743	5.07	7.495	6.208	13.144	17.191	7.503	8.553	5.593	0.692	29.854	1.047	0.733	0.601	8.828	5.441	0.76	32.71	1.354	0.96	0.699	9.363	5.595	1.185	30.023	1.357	0.931	0.7
19.00679	11.76	19.609	2.977	7.604	6.42	14.504	17.455	7.53	12.811	18.444	2.98	7.345	6.0	16.544	19.138	7.91	13.612	19.082	4.894	7.58	6.393	13.948	17.499	7.883	8.44	5.712	0.585	30.118	1.166	0.757	0.559	9.369	5.329	0.752	31.824	1.542	1.017	0.657	9.444	5.878	1.111	32.095	1.315	1.02	0.494
19.17347	12.932	18.955	3.104	7.345	6.124	15.083	18.796	7.472	13.393	19.033	3.009	6.922	5.772	14.365	18.709	8.379	12.687	19.973	4.897	8.114	6.527	13.869	17.824	7.96	8.484	5.914	0.775	29.718	1.3	1.048	0.488	9.321	5.831	0.778	30.439	1.57	0.88	0.585	9.564	5.588	1.137	32.026	1.475	0.95	0.686
19.34012	12.827	19.342	3.035	7.242	6.746	15.143	17.605	7.863	13.255	19.19	2.973	7.905	6.36	14.754	18.208	8.473	13.7	19.34	4.795	7.879	7.017	13.962	16.83	7.922	8.676	5.713	0.673	32.044	1.197	0.749	0.715	9.217	5.563	0.873	31.12	1.501	0.877	0.615	8.9	5.781	1.298	29.614	1.373	0.848	0.584
19.50695	13.025	19.013	3.002	7.308	7.042	15.143	16.815	8.126	12.498	19.223	3.006	7.806	6.064	14.59	17.583	8.341	13.306	19.636	4.827	8.175	6.688	13.732	17.554	8.054	8.643	5.812	0.673	30.563	1.263	0.749	0.584	9.151	5.629	0.873	34.048	1.369	1.041	0.714	9.031	6.011	1.232	30.568	1.373	0.947	0.584
19.67356	12.71	19.286	3.157	8.151	6.537	15.256	17.026	7.947	12.875	19.399	2.897	7.794	6.315	14.374	17.793	8.525	14.469	18.955	4.815	8.26	6.774	14.569	17.533	8.006	8.53	5.602	0.764	31.025	1.35	0.871	0.575	9.101	5.319	0.766	32.568	1.36	1.032	0.672	9.54	6.097	1.191	32.641	1.364	1.003	0.608
19.84025	13.189	19.441	3.134	7.67	6.746	15.439	17.67	8.455	12.4	19.782	2.973	7.938	6.229	14.919	18.175	8.802	14.753	20.195	4.893	8.274	6.425	14.686	17.752	8.054	8.479	6.042	0.706	31.287	1.296	0.782	0.617	9.052	5.563	0.84	30.33	1.402	0.877	0.714	9.13	5.978	1.298	30.568	1.538	1.045	0.814
20.00697	13.603	19.794	3.011	8.143	6.23	15.391	17.426	7.975	13.833	19.244	2.982	8.412	6.603	15.497	17.702	8.487	14.577	20.054	4.938	8.518	6.535	13.881	17.773	7.871	8.395	5.857	0.78	30.298	1.308	0.791	0.626	8.772	5.577	0.849	31.217	1.576	1.051	0.789	9.609	5.728	1.241	30.401	1.647	1.055	0.791
20.17363	13.025	20.264	3.167	7.966	6.45	14.452	16.881	8.29	12.4	19.815	2.907	8.004	6.261	14.984	18.504	8.473	14.293	19.175	4.827	8.175	6.622	14.686	17.916	8.35	9.137	5.614	0.706	30.596	1.362	0.881	0.617	8.657	5.464	0.84	33.785	1.567	0.778	0.78	9.229	5.912	1.496	30.667	1.67	1.045	0.617
20.34033	13.754	19.817	3.12	7.53	6.538	14.586	17.445	8.088	12.732	20.122	3.223	8.162	6.088	15.318	17.525	8.897	14.994	19.616	5.148	9.093	6.514	14.097	18.387	8.281	9.101	5.969	0.723	31.548	1.287	0.9	0.536	9.184	5.854	0.957	31.875	1.684	1.159	0.633	8.869	6.103	1.448	32.376	1.459	1.031	0.734
20.50702	13.288	20.264	3.167	7.933	7.042	14.419	17.637	8.159	13.058	20.44	2.973	7.708	6.656	14.359	17.254	8.769	14.457	19.241	5.025	8.669	6.293	14.456	16.6	8.448	8.676	5.713	0.772	31.089	1.197	0.848	0.682	8.855	5.728	0.939	31.909	1.698	0.976	0.78	10.15	5.978	1.331	31.522	1.571	1.111	0.683
20.67363	14.078	19.895	3.085	7.814	6.76	15.343	15.732	8.529	13.158	20.108	3.088	7.818	6.439	14.329	17.516	8.877	13.469	19.236	4.906	8.185	6.011	13.736	17.487	8.654	8.849	5.429	0.791	31.332	1.178	0.931	0.766	9.222	5.902	0.925	32.546	1.65	1.059	0.797	9.166	6.088	1.317	31.765	1.653	1.227	0.799
20.8403	12.673	20.291	3.138	7.797	6.679	14.268	17.678	8.543	14.447	21.327	2.944	7.965	6.423	14.962	17.391	9.448	14.328	20.289	4.988	8.725	6.291	14.139	16.573	8.633	8.599	5.38	0.747	30.305	1.36	0.852	0.753	8.609	5.587	0.913	31.19	1.538	1.014	0.752	9.832	5.677	1.37	31.723	1.64	1.017	0.589
21.007	13.078	19.524	3.095	7.727	6.771	14.736	16.572	8.544	13.374	20.294	3.065	8.423	6.221	14.479	17.668	8.464	13.851	19.752	5.082	8.988	6.022	14.345	17.08	8.537	8.831	6.033	0.865	31.233	1.387	0.874	0.61	9.304	5.85	0.966	31.099	1.758	1.233	0.807	9.447	5.904	1.424	30.745	1.564	1.105	0.808
21.17368	13.123	20.362	3.035	8.361	6.153	14.879	16.486	8.29	13.485	20.342	3.006	8.596	6.327	14.984	17.452	9.164	14.095	20.162	5.025	8.504	6.787	13.831	16.732	8.777	8.841	5.844	0.706	30.497	1.263	0.848	0.682	9.315	5.761	0.972	30.692	1.698	1.074	0.714	9.788	5.978	1.496	31.358	1.768	1.111	0.88
21.34037	12.498	20.132	2.936	8.13	5.989	14.221	17.506	8.915	13.617	20.605	3.17	8.234	6.163	15.774	17.682	9.197	14.885	19.833	5.025	8.406	6.194	14.587	17.85	8.843	9.038	6.009	0.772	31.089	1.296	0.946	0.584	9.217	5.563	0.873	32.172	1.764	0.943	0.879	9.294	5.978	1.496	31.16	1.735	1.111	0.88
21.50708	13.208	20.584	3.11	8.044	6.263	13.91	16.076	8.469	13.702	20.363	3.213	7.819	6.273	14.081	17.307	8.981	14.874	20.12	5.103	8.486	6.404	14.869	16.917	9.254	8.658	6.022	0.78	31.187	1.505	0.857	0.692	9.167	5.478	0.981	31.941	1.576	1.051	0.888	9.609	6.222	1.505	30.204	1.647	1.121	0.692
21.67376	13.218	19.947	3.099	8.281	6.114	14.978	16.747	9.026	14.106	20.261	2.937	7.891	6.12	14.293	17.41	9.406	13.887	20.306	4.98	8.748	6.25	14.324	17.15	8.886	8.884	6.061	0.84	29.595	1.319	1.043	0.681	9.582	5.873	0.94	31.3	1.762	1.139	0.845	9.492	6.161	1.463	31.308	1.732	1.076	0.879
21.84039	13.123	20.329	3.331	7.834	6.779	14.452	16.782	8.784	13.156	19.815	3.17	8.3	6.525	14.787	17.484	8.802	13.306	20.195	4.926	8.801	6.227	14.785	16.501	8.679	9.334	6.141	0.871	31.682	1.461	0.979	0.781	9.611	5.761	0.939	30.034	1.896	0.976	0.78	10.183	6.209	1.627	31.851	1.67	1.407	0.814
22.00707	12.71	20.437	3.157	8.052	6.208	14.632	16.862	8.966	13.335	20.714	3.094	7.826	6.118	14.9	17.07	8.952	13.45	19.448	4.881	8.852	6.314	15.325	17.172	8.96	8.924	5.832	0.961	31.945	1.482	0.97	0.673	9.397	5.714	1.062	32.666	1.689	1.131	0.869	10.066	6.097	1.684	32.247	1.758	1.233	0.772
22.17377	13.111	20.478	3.127	8.254	6.245	14.637	16.375	8.643	12.782	20.722	2.999	8.587	6.221	14.15	17.241	8.727	14.739	19.357	5.115	8.364	6.483	14.477	16.685	8.866	9.225	6.033	0.799	30.542	1.486	0.973	0.775	9.403	5.817	1.065	32.381	1.856	1.134	0.774	10.335	6.266	1.588	31.534	1.762	1.203	0.709
22.34055	13.05	19.801	3.146	7.95	6.036	14.146	15.786	8.902	12.885	21.128	3.018	8.35	6.08	15.009	17.38	8.887	13.531	20.622	4.909	8.688	6.539	14.71	16.265	8.798	8.959	6.026	0.882	30.144	1.476	0.992	0.728	9.535	5.944	0.984	32.248	1.777	1.087	0.99	10.109	6.325	1.804	30.049	1.782	1.256	0.892
22.50718	13.584	20.658	3.101	7.736	6.219	14.254	15.762	8.915	13.617	20.638	3.071	8.399	5.867	15.379	16.793	8.539	14.095	20.952	5.124	8.57	6.096	14.587	16.798	9.172	9.137	6.141	0.805	30.958	1.494	1.045	0.715	9.908	5.728	1.071	31.482	1.764	1.14	0.911	10.38	6.669	1.726	31.028	1.735	1.21	0.88
22.67392	13.821	20.041	3.236	7.773	6.157	13.832	16.492	8.295	12.768	21.106	3.173	8.337	6.331	14.102	16.636	8.741	13.905	20.104	4.996	8.97	5.935	13.047	15.784	8.98	8.977	6.112	0.906	31.758	1.695	0.95	0.784	10.045	5.831	1.14	30.604	1.8	1.275	0.98	10.288	6.509	1.992	31.467	1.936	1.147	1.015
22.84052	13.053	20.512	3.213	7.744	5.902	14.942	15.923	8.327	13.743	20.889	3.183	8.208	6.238	13.929	18.561	8.74	13.922	21.232	4.869	8.936	6.302	14.354	16.067	8.649	9.041	5.984	0.854	30.237	1.536	1.059	0.697	10.202	5.93	0.954	32.108	1.843	1.22	0.893	10.442	6.544	1.806	30.21	2.011	1.388	0.96
23.00715	11.855	21.062	3.157	7.756	6.143	15.355	16.27	8.638	13.171	20.714	3.062	8.484	5.822	14.078	17.267	8.886	13.647	21.618	5.013	8.786	6.018	14.536	15.758	8.762	9.352	6.226	0.961	30.17	1.547	0.97	0.87	9.43	6.01	1.029	32.732	1.952	1.164	1.067	10.362	6.656	1.684	32.247	1.956	1.233	1.068
23.17387	13.097	20.37	3.137	7.542	5.993	13.898	16.624	8.493	13.064	20.711	3.206	8.304	5.541	14.925	16.734	9.07	14.201	21.19	5.029	9.101	6.198	14.264	15.521	8.783	9.076	6.342	0.906	29.915	1.761	1.147	0.784	9.716	6.028	0.975	32.808	2.096	1.176	0.914	10.748	6.772	1.696	33.474	1.936	1.345	1.015
23.3405	12.876	20.627	3.01	8.195	5.698	15.554	15.222	8.449	12.746	20.94	3.045	7.805	5.737	14.508	17.332	8.764	13.547	21.118	4.959	8.73	6.163	13.817	16.153	8.934	9.293	6.172	1.045	30.709	1.626	1.02	0.855	9.993	5.92	1.113	31.299	1.87	1.345	0.887	10.035	6.995	1.8	31.569	2.07	1.315	0.888
23.50726	12.889	20.643	3.148	7.12	5.803	14.745	16.022	8.623	12.528	21.612	3.085	7.978	6.041	15.144	16.524	9.036	14.053	20.411	4.968	8.575	5.58	13.303	15.377	9.437	9.041	5.918	0.952	30.402	1.568	1.059	0.697	10.005	5.798	1.119	31.812	1.745	1.22	0.959	10.869	7.201	1.872	30.605	1.945	1.223	1.058
23.67398	11.975	20.815	3.085	7.814	5.807	14.028	16.192	8.464	12.731	21.915	3.187	8.311	6.307	14.428	17.418	9.172	14.027	21.142	4.906	8.152	6.175	13.736	15.778	8.818	9.506	6.415	0.889	31.201	1.572	1.062	0.864	10.076	6.0	1.056	30.476	1.847	1.519	0.995	10.316	7.304	1.908	31.995	2.014	1.522	0.996
23.8406	12.778	20.988	3.142	7.736	5.665	14.733	16.01	8.252	12.516	21.958	3.045	8.298	5.475	14.541	16.478	9.453	14.302	21.085	5.091	8.369	5.901	14.145	15.561	8.934	9.326	5.975	0.98	31.103	1.56	1.053	0.855	9.862	6.019	1.211	31.134	1.936	1.247	1.051	10.889	7.126	1.899	30.256	2.004	1.315	0.987
