,strain,compound,slope,replicate
524,kgtP_proV,adipate,0.2564006934351026,kgtP_proV-3
525,kgtP_proV_ybjL,adipate,0.2927275052104676,kgtP_proV_ybjL-2
527,kgtP,adipate,0.2204486526324729,kgtP-1
528,kgtP_ybjL,adipate,0.2258709434251207,kgtP_ybjL-3
529,kgtP_ybjL,adipate,0.2243488226022728,kgtP_ybjL-1
530,kgtP,adipate,0.2254998600102005,kgtP-3
531,kgtP_proV,adipate,0.2603140344775018,kgtP_proV-2
533,ybjL,adipate,0.1968791064297075,ybjL-3
535,proV,adipate,0.1517107588286405,proV-2
539,kgtP_sspA,adipate,0.1003405362677419,kgtP_sspA-3
540,proV,adipate,0.1563442726498217,proV-3
544,MG1655,adipate,0.2118980327047644,MG1655-2
548,kgtP_proV_ybjL,adipate,0.334658023152101,kgtP_proV_ybjL-3
549,ybjL,adipate,0.1895941094580015,ybjL-2
551,proV,adipate,0.1512181541119634,proV-1
552,kgtP_proV_ybjL,adipate,0.2665344979361992,kgtP_proV_ybjL-1
554,kgtP_sspA,adipate,0.1847582982789736,kgtP_sspA-1
555,kgtP,adipate,0.2286623687220888,kgtP-2
557,kgtP_sspA,adipate,0.2063938651442216,kgtP_sspA-2
562,MG1655,adipate,0.1991337924745738,MG1655-3
563,MG1655,adipate,0.1543661774037993,MG1655-1
564,yobF,isobutyrate,0.2154087563948028,yobF-4
567,MG1655,isobutyrate,0.1377184746419609,MG1655-2
568,MG1655,isobutyrate,0.1282798154476529,MG1655-6
569,pykF,isobutyrate,0.2674418529840939,pykF-1
570,pykF_yobF,isobutyrate,0.2891025221973204,pykF_yobF-4
571,pykF_yobF,isobutyrate,0.288384050870602,pykF_yobF-1
574,yobF,isobutyrate,0.2241944413006201,yobF-1
575,yobF,isobutyrate,0.1971139135863714,yobF-5
576,pykF,isobutyrate,0.2533015441520296,pykF-2
577,pykF,isobutyrate,0.2679494770833985,pykF-4
578,pykF_yobF,isobutyrate,0.2682763756242226,pykF_yobF-5
579,yobF,isobutyrate,0.2027457919489045,yobF-3
580,pykF,isobutyrate,0.2707297952418502,pykF-5
583,pykF_rpoS,isobutyrate,0.2927711930108367,pykF_rpoS-2
584,MG1655,isobutyrate,0.0,MG1655-5
585,pykF_yobF,isobutyrate,0.279894152417124,pykF_yobF-6
588,rpoS,isobutyrate,0.0397222871450426,rpoS-2
589,yobF,isobutyrate,0.1482732961970532,yobF-6
591,pykF_rpoS,isobutyrate,0.3104961594901227,pykF_rpoS-3
592,pykF_rpoS,isobutyrate,0.2940072270247876,pykF_rpoS-1
593,pykF,isobutyrate,0.2531623856727812,pykF-3
594,rpoS,isobutyrate,0.0,rpoS-1
595,MG1655,isobutyrate,0.1718996840084436,MG1655-4
597,yobF,isobutyrate,0.2090352096303649,yobF-2
598,pykF_yobF,isobutyrate,0.2746552053133179,pykF_yobF-2
600,pykF,isobutyrate,0.2620998582877283,pykF-6
601,rpoS,isobutyrate,0.0,rpoS-3
602,pykF_yobF,isobutyrate,0.3035470819587754,pykF_yobF-3
603,MG1655,isobutyrate,0.1624766543020343,MG1655-1
605,MG1655,isobutyrate,0.1413520046773179,MG1655-3
606,proV_ptsP_wbbK,putrescine,0.1472692291401252,proV_ptsP_wbbK-3
607,proV_ptsP,putrescine,0.1428698617772157,proV_ptsP-1
609,proV_ptsP,putrescine,0.1453940433961784,proV_ptsP-2
613,ptsP,putrescine,0.1579753579854715,ptsP-3
616,proV_wbbK,putrescine,0.1321653687928546,proV_wbbK-1
617,ptsP,putrescine,0.3029507132394705,ptsP-1
618,proV_ptsP_wbbK,putrescine,0.1373672729027663,proV_ptsP_wbbK-2
621,cspC,putrescine,0.1282090835440096,cspC-2
622,proV,putrescine,0.1467988488640781,proV-2
623,proV_nagC,putrescine,0.1850721686129916,proV_nagC-3
624,proV_ptsP_nagC,putrescine,0.2011941825040582,proV_ptsP_nagC-1
625,wbbK,putrescine,0.1263639583149095,wbbK-3
626,proV_ptsP,putrescine,0.168403233011941,proV_ptsP-3
628,proV_ptsP_nagC,putrescine,0.1419236489478252,proV_ptsP_nagC-2
629,proV_wbbK,putrescine,0.0909460360941319,proV_wbbK-2
630,proV,putrescine,0.1530046359998149,proV-3
631,cspC,putrescine,0.123353460779393,cspC-3
632,proV_nagC,putrescine,0.1504337586382158,proV_nagC-1
633,MG1655,putrescine,0.166156320950882,MG1655-2
635,cspC,putrescine,0.1231187169645364,cspC-1
636,proV_ptsP_wbbK,putrescine,0.136592061793988,proV_ptsP_wbbK-1
637,ptsP,putrescine,0.1628481808788573,ptsP-2
639,proV_cspC,putrescine,0.1365543857439032,proV_cspC-1
642,proV_cspC,putrescine,0.1252010496934035,proV_cspC-2
643,wbbK,putrescine,0.1777821188616669,wbbK-1
644,proV_wbbK,putrescine,0.1730979582767507,proV_wbbK-3
645,proV_ptsP_nagC,putrescine,0.1774809648144077,proV_ptsP_nagC-3
646,proV,putrescine,0.1359221027908376,proV-1
647,wbbK,putrescine,0.1457281293194118,wbbK-2
648,proV_nagC,putrescine,0.1425560373725153,proV_nagC-2
649,proV_cspC,putrescine,0.1664974798704122,proV_cspC-3
650,MG1655,putrescine,0.163363093830286,MG1655-3
651,MG1655,putrescine,0.2156636394081396,MG1655-1
654,nusA_sspA_ybeX_mpl,putrescine,0.1634454679041625,nusA_sspA_ybeX_mpl-1
655,nusA_sspA,putrescine,0.0,nusA_sspA-2
656,nusA_sspA_mpl,putrescine,0.0,nusA_sspA_mpl-2
658,proV_ptsP,putrescine,0.067787601417598,proV_ptsP-2
659,rpsG1_mpl,putrescine,0.1987997407547512,rpsG1_mpl-3
661,proV_ptsP_mpl,putrescine,0.146003134310136,proV_ptsP_mpl-1
662,rpsG1_ybeX_mpl,putrescine,0.1342275386896177,rpsG1_ybeX_mpl-3
663,ybeX,putrescine,0.0716134161772759,ybeX-3
664,proV_ptsP_mpl,putrescine,0.1192777916694413,proV_ptsP_mpl-2
665,nusA_sspA_ybeX_mpl,putrescine,0.1236895142463546,nusA_sspA_ybeX_mpl-2
666,nusA_sspA_ybeX,putrescine,0.0,nusA_sspA_ybeX-3
667,nusA_sspA_mpl,putrescine,0.0,nusA_sspA_mpl-3
668,mpl,putrescine,0.1114468159492869,mpl-1
669,nusA_sspA_mpl,putrescine,0.1592631767388265,nusA_sspA_mpl-1
670,nusA_sspA,putrescine,0.0,nusA_sspA-3
671,rpsG1,putrescine,0.2385652195185953,rpsG1-1
672,proV_ptsP_ybeX_mpl,putrescine,0.5620204923750077,proV_ptsP_ybeX_mpl-3
673,nusA_sspA,putrescine,0.0,nusA_sspA-1
674,rpsG1_ybeX,putrescine,0.1751195603530607,rpsG1_ybeX-1
675,ybeX,putrescine,0.038065238874801,ybeX-2
676,nusA_sspA_ybeX,putrescine,0.0,nusA_sspA_ybeX-1
677,proV_ptsP,putrescine,0.1120072367980337,proV_ptsP-1
678,MG1655,putrescine,0.0951773442201738,MG1655-2
679,ybeX,putrescine,0.0631588511582649,ybeX-1
680,rpsG1,putrescine,0.2414250547996362,rpsG1-2
681,rpsG1_mpl,putrescine,0.1859505484178621,rpsG1_mpl-1
682,proV_ptsP_ybeX_mpl,putrescine,0.0812855981712553,proV_ptsP_ybeX_mpl-2
683,nusA_sspA_ybeX,putrescine,0.0,nusA_sspA_ybeX-2
684,proV_ptsP_ybeX,putrescine,0.0893302958737219,proV_ptsP_ybeX-2
685,proV_ptsP_ybeX,putrescine,0.060856293019106,proV_ptsP_ybeX-3
686,rpsG1,putrescine,0.2227872818679889,rpsG1-3
687,rpsG1_ybeX,putrescine,0.1880961573244499,rpsG1_ybeX-2
688,rpsG1_ybeX_mpl,putrescine,0.1359064246855469,rpsG1_ybeX_mpl-2
689,proV_ptsP_ybeX_mpl,putrescine,0.0900979301805171,proV_ptsP_ybeX_mpl-1
690,proV_ptsP,putrescine,0.0,proV_ptsP-3
692,rpsG1_ybeX_mpl,putrescine,0.1456424566112606,rpsG1_ybeX_mpl-1
693,rpsG1_mpl,putrescine,0.2043263701896283,rpsG1_mpl-2
694,proV_ptsP_ybeX,putrescine,0.0386981491653165,proV_ptsP_ybeX-1
695,nusA_sspA_ybeX_mpl,putrescine,0.0748369036197953,nusA_sspA_ybeX_mpl-3
696,MG1655,putrescine,0.0652979106952657,MG1655-3
697,MG1655,putrescine,0.0644466989438256,MG1655-1
698,mpl,putrescine,0.1170030830797999,mpl-2
699,rpsG1_ybeX,putrescine,0.1816593589530483,rpsG1_ybeX-3
700,mpl,putrescine,0.1188125291565346,mpl-3
701,proV_ptsP_mpl,putrescine,0.0822737727808189,proV_ptsP_mpl-3
702,rlmH,octanoate,0.2102815552803674,rlmH-1
704,MG1655,octanoate,0.2902803655711152,MG1655-2
707,gtrS,octanoate,0.1204252322000331,gtrS-2
709,gtrS,octanoate,0.1934058462519212,gtrS-3
715,rlmH,octanoate,0.305062510696117,rlmH-3
718,gtrS,octanoate,0.1622363223668357,gtrS-1
719,rlmH,octanoate,0.3207427383571715,rlmH-2
720,MG1655,octanoate,0.2739601132273818,MG1655-3
721,MG1655,octanoate,0.2696489160987441,MG1655-1
727,bioAB,hexanoate,0.2957096777465586,bioAB-3
728,proQ,hexanoate,0.3135730786900728,proQ-2
730,MG1655,hexanoate,0.2950511205031718,MG1655-2
731,proQ,hexanoate,0.2258468309425832,proQ-3
732,ompR_proP,hexanoate,0.42681799092071,ompR_proP-1
734,ompR_proQ,hexanoate,0.4399929274506754,ompR_proQ-3
736,bioAB_ompR_proQ,hexanoate,0.3792907309402853,bioAB_ompR_proQ-1
737,opgH,hexanoate,0.3143005117077724,opgH-3
738,bioAB_ompR,hexanoate,0.4462354636885053,bioAB_ompR-3
740,bioAB,hexanoate,0.3444214061512767,bioAB-1
741,opgH,hexanoate,0.2879522594175298,opgH-1
743,proP,hexanoate,0.3220140586995348,proP-1
744,proP,hexanoate,0.254699097790195,proP-3
745,bioAB_ompR_proQ,hexanoate,0.0,bioAB_ompR_proQ-3
746,bioAB_ompR_proQ,hexanoate,0.4367398851380509,bioAB_ompR_proQ-2
747,ompR_proQ,hexanoate,0.4576183729608971,ompR_proQ-2
748,bioAB_ompR,hexanoate,0.431042630214434,bioAB_ompR-1
749,ompR_proP,hexanoate,0.4349749744683047,ompR_proP-2
750,bioAB,hexanoate,0.2584846712027261,bioAB-2
752,bioAB_ompR_proQ,hexanoate,0.4436757326966033,bioAB_ompR_proQ-1
756,proQ,hexanoate,0.3040323466953745,proQ-1
758,bioAB_ompR_proQ,hexanoate,0.4529461298546159,bioAB_ompR_proQ-2
759,ompR_proP,hexanoate,0.4436220007896973,ompR_proP-3
760,bioAB_ompR_proQ,hexanoate,0.4589325886655904,bioAB_ompR_proQ-3
762,opgH,hexanoate,0.2999576570679212,opgH-2
763,proP,hexanoate,0.2772208021459459,proP-2
764,ompR_proQ,hexanoate,0.4165295715943237,ompR_proQ-1
765,MG1655,hexanoate,0.2770271193390407,MG1655-1
766,bioAB_ompR,hexanoate,0.4408757197602113,bioAB_ompR-2
767,MG1655,hexanoate,0.2820307618404588,MG1655-3
770,MG1655,isobutyrate,0.0,MG1655-2
771,pykF,isobutyrate,0.2498287689287115,pykF-1
772,pykF_yobF,isobutyrate,0.2893157261716471,pykF_yobF-1
775,yobF,isobutyrate,0.1955622024218108,yobF-1
776,pykF,isobutyrate,0.2306126305211394,pykF-2
777,pykF_rpoS_yobF,isobutyrate,0.2505722722750054,pykF_rpoS_yobF-3
778,yobF,isobutyrate,0.1981898483267017,yobF-3
781,pykF_rpoS,isobutyrate,0.2879660593786846,pykF_rpoS-2
782,pykF_rpoS_yobF,isobutyrate,0.2115821196966647,pykF_rpoS_yobF-1
785,rpoS,isobutyrate,0.0772763041507033,rpoS-2
787,pykF_rpoS,isobutyrate,0.2796022347824746,pykF_rpoS-3
788,pykF_rpoS,isobutyrate,0.292989465332377,pykF_rpoS-1
789,pykF,isobutyrate,0.3248085901310528,pykF-3
790,rpoS,isobutyrate,0.2095070472544284,rpoS-1
791,pykF_rpoS_yobF,isobutyrate,0.2129162775091977,pykF_rpoS_yobF-2
793,yobF,isobutyrate,0.1690849503005392,yobF-2
794,pykF_yobF,isobutyrate,0.2602619910312052,pykF_yobF-2
796,rpoS,isobutyrate,0.2481654492289527,rpoS-3
797,pykF_yobF,isobutyrate,0.2456656124106183,pykF_yobF-3
798,MG1655,isobutyrate,0.2150051981903405,MG1655-1
800,MG1655,isobutyrate,0.2069544582137383,MG1655-3
802,nadR_rpoA,coumarate,0.536541408940745,nadR_rpoA-3
804,MG1655,coumarate,0.2627049847659428,MG1655-3
805,MG1655,coumarate,0.3102821946826766,MG1655-2
807,MG1655,coumarate,0.2576188590715947,MG1655-1
808,nadR_rpoA,coumarate,0.4988676430765261,nadR_rpoA-2
809,nadR_rpoA,coumarate,0.4759497201532382,nadR_rpoA-1
810,marC_rob,butanol,0.436050497506412,marC_rob-1
811,yobF,butanol,0.430423142578363,yobF-3
812,MG1655,butanol,0.4612454244923635,MG1655-1
814,yobF,butanol,0.4366626113085598,yobF-1
815,marC_rob_mppA_yobF,butanol,0.4711202640461094,marC_rob_mppA_yobF-1
816,cspC,butanol,0.4769920552686192,cspC-3
817,marC_rob,butanol,0.4605880007714675,marC_rob-3
818,ypjA_mprA_nadR_yhjK,coumarate,0.2146377018068757,ypjA_mprA_nadR_yhjK-1
819,rob_yobF,butanol,0.4522590052891057,rob_yobF-1
820,marC_rob_yobF,butanol,0.4636667608658493,marC_rob_yobF-3
823,marC_rob_yobF,butanol,0.4554675532229198,marC_rob_yobF-1
824,rob,butanol,0.4338328536148714,rob-1
826,rob,butanol,0.4108603394307543,rob-3
827,marC_rob_yobF,butanol,0.4429009723753433,marC_rob_yobF-2
829,marC_yobF,butanol,0.4202095826181832,marC_yobF-1
830,marC,butanol,0.4084416448667393,marC-1
831,marC_rob_mppA_yobF,butanol,0.4595395860307537,marC_rob_mppA_yobF-3
832,MG1655,butanol,0.4568634590657502,MG1655-2
833,rob_yobF,butanol,0.4696941336860822,rob_yobF-2
834,ypjA_mprA_nadR_yhjK,coumarate,0.2825749936702115,ypjA_mprA_nadR_yhjK-2
835,marC_rob_mppA,butanol,0.4500410335771287,marC_rob_mppA-3
837,cspC,butanol,0.4578105254170677,cspC-1
839,ypjA_mprA_nadR_yhjK,coumarate,0.0,ypjA_mprA_nadR_yhjK-3
840,marC_rob_mppA_yobF,butanol,0.5025516031388312,marC_rob_mppA_yobF-2
841,marC_yobF,butanol,0.4537701055581268,marC_yobF-3
843,marC,butanol,0.3904328012447907,marC-2
844,marC_rob_mppA,butanol,0.4548458462900417,marC_rob_mppA-2
845,rob_yobF,butanol,0.4953576878011846,rob_yobF-3
846,marC_rob_mppA,butanol,0.4168863518054529,marC_rob_mppA-1
847,marC,butanol,0.3967568490697845,marC-3
849,rob,butanol,0.4139028496644684,rob-2
850,yobF,butanol,0.4067911865791888,yobF-2
851,MG1655,butanol,0.4498201227461227,MG1655-3
852,marC_rob,butanol,0.4312951186731693,marC_rob-2
854,marC_yobF,butanol,0.4191490286499706,marC_yobF-2
856,cspC,butanol,0.4757972360418914,cspC-2
860,ybjL,glutarate,0.1245109848468314,ybjL-1
861,ybjL,glutarate,0.133205578519788,ybjL-2
862,MG1655,glutarate,0.0819686348260226,MG1655-2
864,kgtP_sspA,glutarate,0.2497034448052899,kgtP_sspA-3
866,kgtP_proV,glutarate,0.244885272865399,kgtP_proV-3
868,kgtP_proV_ybjL,glutarate,0.2869695942003378,kgtP_proV_ybjL-2
870,kgtP_proV,glutarate,0.2442041856600684,kgtP_proV-2
871,kgtP_proV_ybjL,glutarate,0.312474042881281,kgtP_proV_ybjL-1
873,kgtP,glutarate,0.1786803886075922,kgtP-2
874,kgtP_ybjL,glutarate,0.2214973630138368,kgtP_ybjL-3
875,kgtP_proV_ybjL,glutarate,0.3019427046736256,kgtP_proV_ybjL-3
876,kgtP_ybjL,glutarate,0.20761937951404,kgtP_ybjL-1
877,kgtP,glutarate,0.18700404891705,kgtP-3
878,proV,glutarate,0.0813957284612549,proV-1
880,kgtP_sspA,glutarate,0.2631828309214784,kgtP_sspA-1
881,ybjL,glutarate,0.1208050811212672,ybjL-3
883,proV,glutarate,0.0944509357992448,proV-2
884,kgtP_sspA,glutarate,0.2548155933434659,kgtP_sspA-1
887,MG1655,glutarate,0.1175336593217761,MG1655-3
888,kgtP_proV,glutarate,0.244034613629702,kgtP_proV-1
889,MG1655,glutarate,0.1015391956411587,MG1655-1
891,kgtP,glutarate,0.178467123278941,kgtP-1
892,proV,glutarate,0.0785126019719821,proV-3
893,kgtP_ybjL,glutarate,0.2094675745962256,kgtP_ybjL-2
896,ompR,hexanoate,0.2059948273016108,ompR-1
897,ompR,hexanoate,0.2118237940193173,ompR-2
899,ompR_proQ_mdtK,hexanoate,0.2075534532807921,ompR_proQ_mdtK-1
900,ptrA,hexanoate,0.2054888948953369,ptrA-2
901,ompR_proQ,hexanoate,0.3001635278760688,ompR_proQ-2
902,ompR_proQ_ptrA,hexanoate,0.2299624535236214,ompR_proQ_ptrA-3
905,mdtK_ptrA,hexanoate,0.2617653328238308,mdtK_ptrA-2
906,ompR_proQ_ptrA,hexanoate,0.2052195013941102,ompR_proQ_ptrA-1
908,bioAB_ptrA_ompR,hexanoate,0.326677259629893,bioAB_ptrA_ompR-3
909,ompR_ptrA,hexanoate,0.1884070463098224,ompR_ptrA-2
910,proQ,hexanoate,0.1488628325858222,proQ-3
911,bioAB_ptrA_ompR,hexanoate,0.309199323068646,bioAB_ptrA_ompR-1
912,bioAB,hexanoate,0.24733750897911,bioAB-3
913,proQ,hexanoate,0.1383883120462473,proQ-2
914,ompR_proQ_mdtK,hexanoate,0.1877515241237961,ompR_proQ_mdtK-3
915,MG1655,hexanoate,0.2009790638787113,MG1655-2
916,mdtK_ptrA,hexanoate,0.2135277183124113,mdtK_ptrA-3
918,ptrA,hexanoate,0.2260565415359308,ptrA-3
919,bioAB_ptrA,hexanoate,0.280878480023265,bioAB_ptrA-2
920,bioAB_ptrA_mdtK,hexanoate,0.2899642513223701,bioAB_ptrA_mdtK-1
921,ompR_proQ,hexanoate,0.2590989092981436,ompR_proQ-3
922,bioAB_ptrA,hexanoate,0.2195689287592944,bioAB_ptrA-1
923,bioAB_ptrA,hexanoate,0.2682790064265664,bioAB_ptrA-3
924,ptrA,hexanoate,0.2239406648020616,ptrA-1
925,bioAB,hexanoate,0.2401474266311281,bioAB-2
926,bioAB,hexanoate,0.2191382019642697,bioAB-1
927,bioAB_ptrA_ompR,hexanoate,0.3079575868736268,bioAB_ptrA_ompR-2
928,mdtK_ptrA,hexanoate,0.2943605826429917,mdtK_ptrA-1
929,bioAB_ptrA_mdtK,hexanoate,0.3111107206578197,bioAB_ptrA_mdtK-3
931,ompR,hexanoate,0.1985363265125738,ompR-3
932,proQ,hexanoate,0.1241464350122717,proQ-1
934,bioAB_ptrA_mdtK,hexanoate,0.3092238233681693,bioAB_ptrA_mdtK-2
935,ompR_proQ,hexanoate,0.2922196901486101,ompR_proQ-1
936,MG1655,hexanoate,0.176872509873972,MG1655-3
937,MG1655,hexanoate,0.2230292040650379,MG1655-1
938,ompR_proQ_mdtK,hexanoate,0.184108113964199,ompR_proQ_mdtK-2
939,ompR_ptrA,hexanoate,0.1955333443697813,ompR_ptrA-3
940,ompR_proQ_ptrA,hexanoate,0.2249039235055233,ompR_proQ_ptrA-2
941,ompR_ptrA,hexanoate,0.2075081686082626,ompR_ptrA-1
944,pykF_glyQ,isobutyrate,0.282383687646114,pykF_glyQ-3
945,pykF,isobutyrate,0.2229267854391095,pykF-1
946,glyQ,isobutyrate,0.1276317421639528,glyQ-1
947,glyQ,isobutyrate,0.1293764688398257,glyQ-3
949,pykF,isobutyrate,0.2103669749331905,pykF-2
950,ilvH,isobutyrate,0.1307293342271548,ilvH-1
951,ilvH_glyQ,isobutyrate,0.1542593200313141,ilvH_glyQ-2
952,glyQ,isobutyrate,0.1800938094682996,glyQ-2
954,pykF_glyQ,isobutyrate,0.2582985116282519,pykF_glyQ-2
955,ilvH,isobutyrate,0.1109461692638431,ilvH-3
956,MG1655,isobutyrate,0.0773771307448662,MG1655-2
958,pykF_ilvH_glyQ,isobutyrate,0.2751249023894458,pykF_ilvH_glyQ-1
959,pykF,isobutyrate,0.2144341138683491,pykF-3
960,pykF_ilvH,isobutyrate,0.2294825937199607,pykF_ilvH-1
962,ilvH_glyQ,isobutyrate,0.090041826389361,ilvH_glyQ-1
963,ilvH_glyQ,isobutyrate,0.1429352146507456,ilvH_glyQ-3
964,pykF_ilvH_glyQ,isobutyrate,0.291016475722568,pykF_ilvH_glyQ-2
965,pykF_ilvH,isobutyrate,0.1937406733727968,pykF_ilvH-2
966,pykF_ilvH,isobutyrate,0.2044879904286388,pykF_ilvH-3
967,pykF_ilvH_glyQ,isobutyrate,0.2989089006448567,pykF_ilvH_glyQ-3
968,MG1655,isobutyrate,0.0722506664378593,MG1655-1
969,ilvH,isobutyrate,0.1391236456796352,ilvH-2
970,pykF_glyQ,isobutyrate,0.276255910465259,pykF_glyQ-1
971,MG1655,isobutyrate,0.1042284559598178,MG1655-3
972,sspA,"2,3-butanediol",0.2605234155610829,sspA-3
973,sspA,"2,3-butanediol",0.1518504010373536,sspA-1
974,sspA,"2,3-butanediol",0.2265950435840545,sspA-2
975,MG1655,"2,3-butanediol",0.0,MG1655-3
976,MG1655,"2,3-butanediol",0.0310670706080065,MG1655-2
978,MG1655,"2,3-butanediol",0.0256701316695453,MG1655-1
981,ompR,hexanoate,0.1649934504567939,ompR-1
982,ompR,hexanoate,0.1769839264305706,ompR-2
985,rph,hexanoate,0.1283426672276212,rph-1
986,ompR_ompC,hexanoate,0.2036706889405137,ompR_ompC-2
987,ompR_proQ,hexanoate,0.2908692888657297,ompR_proQ-2
989,ompC,hexanoate,0.2132217794566253,ompC-2
990,MG1655,hexanoate,0.1180193643971738,MG1655-2
991,phoU,hexanoate,0.0,phoU-1
993,ompC,hexanoate,0.2459663573685069,ompC-1
994,rph,hexanoate,0.0,rph-2
995,ompR_proQ_ompC,hexanoate,0.2370713486570335,ompR_proQ_ompC-1
996,proQ_ompC,hexanoate,0.3054158403675684,proQ_ompC-3
997,proQ,hexanoate,0.1539393789627026,proQ-3
998,proQ_ompC,hexanoate,0.2422657775228687,proQ_ompC-1
999,ompR_proQ,hexanoate,0.3157327315392347,ompR_proQ-1
1000,proQ,hexanoate,0.1774885282623039,proQ-2
1001,ompC,hexanoate,0.2106605415949004,ompC-3
1002,MG1655,hexanoate,0.1867267916966593,MG1655-2
1003,ompR_ompC,hexanoate,0.1882759266161856,ompR_ompC-1
1004,proQ_ompC,hexanoate,0.2383836187203387,proQ_ompC-2
1006,ompR_proQ_ompC,hexanoate,0.2382332666096224,ompR_proQ_ompC-3
1007,MG1655,hexanoate,0.0580423294663293,MG1655-3
1009,phoU,hexanoate,0.1018277029178815,phoU-2
1010,ompR_proQ,hexanoate,0.3009398653200346,ompR_proQ-3
1011,rph,hexanoate,0.0330173348481826,rph-3
1013,ompR_ompC,hexanoate,0.190392795545497,ompR_ompC-3
1015,ompR,hexanoate,0.1716515532743341,ompR-3
1016,proQ,hexanoate,0.1689660700459188,proQ-1
1017,ompR_proQ_ompC,hexanoate,0.2323196641924952,ompR_proQ_ompC-2
1020,MG1655,hexanoate,0.1977606938170106,MG1655-3
1022,MG1655,hexanoate,0.1723061091697525,MG1655-1
1024,MG1655,hexanoate,0.1191107189057337,MG1655-1
1025,phoU,hexanoate,0.0729920517318204,phoU-3
1026,proV_rpsG1,HMDA,0.2694919389979599,proV_rpsG1-2
1028,proV_sspA,HMDA,0.2798945844799456,proV_sspA-1
1029,rpsG1,HMDA,0.2256669744432102,rpsG1-2
1030,proV,HMDA,0.6683525341734483,proV-1
1031,MG1655,HMDA,0.7437215594996903,MG1655-2
1032,proV_sspA,HMDA,0.262939087459809,proV_sspA-2
1034,proV,HMDA,0.4278636615806441,proV-2
1035,proV_sspA,HMDA,0.2715337827143872,proV_sspA-3
1036,proV_sspA_nusA,HMDA,0.290311808273664,proV_sspA_nusA-2
1037,proV_sspA_nusA,HMDA,0.2815554931972644,proV_sspA_nusA-3
1038,proV_sspA_nusA,HMDA,0.2964307445860824,proV_sspA_nusA-1
1039,rpsG1,HMDA,0.2238787074690661,rpsG1-1
1040,MG1655,HMDA,0.5985578065658036,MG1655-3
1041,MG1655,HMDA,0.6485231600613174,MG1655-1
1043,proV_rpsG1,HMDA,0.2722705284366087,proV_rpsG1-1
1044,rpsG1,HMDA,0.2249289781215993,rpsG1-3
1045,proV,HMDA,0.7174601879215367,proV-3
1046,proV_rpsG1,HMDA,0.2705048188982323,proV_rpsG1-3
1048,proQ,hexanoate,0.1486359804704905,proQ-2
1050,MG1655,hexanoate,0.2210905568354967,MG1655-2
1051,proQ,hexanoate,0.1458959967848309,proQ-3
1052,ompR,hexanoate,0.2906650072120476,ompR-1
1054,ompR_proQ,hexanoate,0.3397856413544073,ompR_proQ-3
1058,ompR,hexanoate,0.1945491192793055,ompR-2
1059,ompR_proQ,hexanoate,0.3319714725669299,ompR_proQ-2
1064,ompR,hexanoate,0.2438235097107684,ompR-3
1065,proQ,hexanoate,0.1547375734087108,proQ-1
1067,ompR_proQ,hexanoate,0.3380216651280607,ompR_proQ-1
1068,MG1655,hexanoate,0.1798774436084723,MG1655-3
1069,MG1655,hexanoate,0.190080273101317,MG1655-1
1072,nadR_yhjK,coumarate,0.4313653564231897,nadR_yhjK-2
1073,ypjA_mprA,coumarate,0.4674407518209297,ypjA_mprA-3
1075,ypjA_mprA_nadR,coumarate,0.498301642079968,ypjA_mprA_nadR-1
1076,mprA_yhjK,coumarate,0.5405799389344029,mprA_yhjK-2
1077,mprA,coumarate,0.430282815205288,mprA-2
1078,ypjA,coumarate,0.2808323171763725,ypjA-1
1079,nadR_mprA,coumarate,0.5118003957736121,nadR_mprA-3
1081,nadR_yhjK,coumarate,0.4079005294903077,nadR_yhjK-3
1082,nadR,coumarate,0.4195584331269998,nadR-3
1084,ypjA,coumarate,0.259199268827039,ypjA-3
1086,ypjA_mprA,coumarate,0.4422840641830995,ypjA_mprA-2
1088,nadR_mprA,coumarate,0.491986188637818,nadR_mprA-1
1089,ypjA_mprA_yhjK,coumarate,0.4706139284668198,ypjA_mprA_yhjK-2
1090,ypjA_mprA_yhjK,coumarate,0.4845157708596578,ypjA_mprA_yhjK-1
1093,ypjA_mprA_nadR,coumarate,0.5602289974364325,ypjA_mprA_nadR-3
1095,nadR_mprA_yhjK,coumarate,0.5606382781817268,nadR_mprA_yhjK-3
1096,nadR,coumarate,0.4051171983736584,nadR-2
1097,MG1655,coumarate,0.3154511136588486,MG1655-2
1098,nadR_yhjK,coumarate,0.4125540672594101,nadR_yhjK-1
1100,nadR_mprA_yhjK,coumarate,0.6180583026057391,nadR_mprA_yhjK-2
1101,mprA,coumarate,0.4541477291014129,mprA-1
1102,yhjK,coumarate,0.3867478554895185,yhjK-2
1103,ypjA_mprA_nadR,coumarate,0.5420683791689199,ypjA_mprA_nadR-2
1104,mprA,coumarate,0.4180147046658835,mprA-3
1105,nadR_mprA,coumarate,0.4698443359078172,nadR_mprA-2
1106,yhjK,coumarate,0.3864954766617666,yhjK-3
1107,mprA_yhjK,coumarate,0.5836063619722431,mprA_yhjK-3
1108,nadR,coumarate,0.4266668710838759,nadR-1
1109,ypjA,coumarate,0.3661311532940734,ypjA-2
1111,yhjK,coumarate,0.4272914858804466,yhjK-1
1112,ypjA_mprA_yhjK,coumarate,0.4514236513888148,ypjA_mprA_yhjK-3
1113,MG1655,coumarate,0.2458283587794405,MG1655-3
1115,MG1655,coumarate,0.1919735404018865,MG1655-1
